S.No.,State/UT,year,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Category
39,ASSAM,2016,716,684,669,606,616,548,523,548,554,645,577,584,7270,State
40,BIHAR,2016,682,705,815,774,699,722,660,577,578,620,730,660,8222,State
41,CHANDIGARH,2016,47,35,34,36,35,29,32,34,32,43,36,33,426,UT
42,CHHATTISGARH,2016,1397,1252,1183,1178,1258,1116,1040,944,988,1085,1069,1071,13581,State
43,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2016,7,6,7,12,5,10,17,5,11,8,11,14,113,UT
44,DELHI,2016,608,641,705,574,604,601,623,632,586,671,549,581,7375,UT
45,GOA,2016,409,356,350,332,412,311,321,303,323,387,356,444,4304,State
46,GUJARAT,2016,1915,1848,1840,1953,2074,1810,1612,1552,1580,1778,1774,1822,21558,State
47,HARYANA,2016,827,921,982,954,905,917,901,916,960,1001,1043,998,11325,State
48,HIMACHAL PRADESH,2016,223,215,239,286,270,292,278,293,243,314,261,239,3153,State
49,JAMMU AND KASHMIR,2016,420,442,461,442,560,560,441,397,392,486,444,432,5477,UT
50,JHARKHAND,2016,414,428,425,419,403,419,451,395,347,392,392,447,4932,State
51,KARNATAKA,2016,3846,3676,3923,3960,4247,3517,3365,3542,3396,3647,3617,3700,44436,State
52,KERALA,2016,3687,3379,3312,3211,3399,3151,3182,3221,3268,3218,3130,3262,39420,State
53,LAKSHADWEEP,2016,1,0,0,0,0,0,0,0,0,0,0,0,1,UT
54,MADHYA PRADESH,2016,5021,4633,4759,4731,4828,4260,3848,3463,3778,4439,4221,3963,51944,State
55,MAHARASHTRA,2016,3343,3189,3441,3325,3677,3201,2779,2784,2834,3052,2930,3331,37886,State
56,MANIPUR,2016,43,57,66,62,64,55,42,38,47,58,63,73,668,State
57,MEGHALAYA,2016,28,32,24,24,21,16,19,30,25,21,20,22,282,State
58,MIZORAM,2016,8,8,4,7,3,3,2,7,4,5,5,8,64,State
59,NAGALAND,2016,5,3,10,8,4,5,4,0,5,2,3,4,53,State
60,ODISHA,2016,1016,900,952,903,936,903,732,780,756,778,870,1006,10532,State
61,PUDUCHERRY,2016,174,123,160,151,145,157,151,149,134,161,124,134,1763,UT
62,PUNJAB,2016,547,555,583,587,609,590,515,541,487,663,709,566,6952,State
63,RAJASTHAN,2016,2093,1912,2065,2088,2172,1921,1971,1691,1818,1881,1846,1608,23066,State
64,SIKKIM,2016,22,16,18,17,25,17,14,16,18,26,16,18,223,State
