S.No.,Category,State/UT,Road_Accidents_0000_hrs_to_0300_hrs_Night,Road_Accidents_0300_hrs_to_0600_hrs_Night,Road_Accidents_0600_hrs_to_0900_hrs_Day,Road_Accidents_0900_hrs_to_1200_hrs_Day,Road_Accidents_1200_hrs_to_1500_hrs_Day,Road_Accidents_1500_hrs_to_1800_hrs_Day,Road_Accidents_1800_hrs_to_2100_hrs_Night,Road_Accidents_2100_hrs_to_2400_hrs_Night,Road_Accidents_Total,year
128,State,ODISHA,680,780,1174,1584,1718,1993,2207,1126,11262,2018
129,State,PUNJAB,504,566,818,813,773,881,1257,812,6424,2018
130,State,RAJASTHAN,1112,1281,2150,3116,3565,4123,4184,2212,21743,2018
131,State,SIKKIM,14,11,10,23,26,31,35,19,169,2018
132,State,TAMIL NADU,2450,3319,7657,9384,9478,11171,14238,6223,63920,2018
133,State,TELANGANA,1043,1183,2372,3196,3442,4249,4485,2260,22230,2018
134,State,TRIPURA,15,7,51,79,88,111,119,81,551,2018
135,State,UTTAR PRADESH,3468,3305,4289,4885,4590,5179,6300,4839,36855,2018
136,State,UTTARAKHAND,107,138,196,178,175,237,260,178,1469,2018
137,State,WEST BENGAL,979,1137,1379,1720,1795,1794,1688,1335,11827,2018
138,UT,A & N ISLANDS,6,10,35,38,40,48,52,25,254,2018
139,UT,CHANDIGARH,19,10,52,73,33,52,43,35,317,2018
140,UT,D & N HAVELI,2,1,6,11,8,14,25,13,80,2018
141,UT,DAMAN & DIU,6,1,3,9,11,13,16,12,71,2018
142,UT,DELHI (UT),793,675,738,745,731,817,1059,959,6517,2018
143,UT,LAKSHADWEEP,0,0,0,0,1,1,1,0,3,2018
144,UT,PUDUCHERRY,58,88,230,301,151,297,346,126,1597,2018
145,State,ANDHRA PRADESH,858,1206,2311,2864,3261,3679,4425,2073,20677,2019
146,State,ARUNACHAL PRADESH,12,12,17,24,24,52,43,16,200,2019
147,State,ASSAM,443,548,958,1481,1244,1420,1122,839,8055,2019
148,State,BIHAR,566,1665,1627,1630,1201,1485,1255,578,10007,2019
149,State,CHHATTISGARH,563,632,1515,2107,2226,2598,2882,1376,13899,2019
150,State,GOA,245,150,306,528,563,595,635,418,3440,2019
151,State,GUJARAT,906,808,1643,2586,2576,2750,3396,1838,16503,2019
152,State,HARYANA,740,927,1281,1477,1552,1738,1946,1276,10937,2019
153,State,HIMACHAL PRADESH,136,91,220,372,430,575,679,393,2896,2019
154,State,JAMMU & KASHMIR,191,250,531,1088,1182,1145,935,473,5795,2019
155,State,JHARKHAND,317,499,708,828,837,804,809,415,5217,2019
156,State,KARNATAKA,1870,2052,4319,6026,6590,7164,8197,4426,40644,2019
157,State,KERALA,1063,1394,4866,7312,6199,7862,7962,3286,39944,2019
158,State,MADHYA PRADESH,2720,2467,4936,7616,8884,9284,9767,5967,51641,2019
159,State,MAHARASHTRA,2047,2040,2694,3771,4107,4509,4801,3317,27286,2019
160,State,MANIPUR,14,16,81,101,127,127,143,63,672,2019
161,State,MEGHALAYA,17,22,25,28,33,39,36,36,236,2019
162,State,MIZORAM,3,7,3,9,4,12,9,10,57,2019
163,State,NAGALAND,0,1,3,6,5,5,5,1,26,2019
164,State,ODISHA,1023,1193,1399,1367,1359,1456,1485,1782,11064,2019
165,State,PUNJAB,347,414,705,824,867,967,1215,977,6316,2019
166,State,RAJASTHAN,1048,1200,2503,3395,4022,4702,4369,2239,23478,2019
167,State,SIKKIM,5,6,11,28,37,33,41,11,172,2019
168,State,TAMIL NADU,2008,2781,6768,8190,8109,9971,13143,6258,57228,2019
169,State,TELANGANA,1124,991,2227,3105,3260,4131,4489,2243,21570,2019
170,State,TRIPURA,13,8,59,128,133,149,114,51,655,2019
171,State,UTTAR PRADESH,3612,3701,4401,4953,4962,5476,5823,4609,37537,2019
