S.No.,State/UT,year,Road_Accidents,Road_Injured,Road_Deaths,Category
236,PUDUCHERRY,2021,1049,1099,143,UT
237,PUNJAB,2021,6097,3034,4516,State
238,RAJASTHAN,2021,20954,19357,10043,State
239,SIKKIM,2021,122,178,64,State
240,TAMIL NADU,2021,55682,55996,15384,State
241,TELANGANA,2021,21315,20107,7557,State
242,TRIPURA,2021,478,546,194,State
243,UTTAR PRADESH,2021,33711,19813,21792,State
244,UTTARAKHAND,2021,1405,1127,824,State
245,WEST BENGAL,2021,11501,9796,5831,State
246,ANDAMAN AND NICOBAR ISLANDS,2022,141,136,19,UT
247,ANDHRA PRADESH,2022,21070,21340,8293,State
248,ARUNACHAL PRADESH,2022,215,177,152,State
249,ASSAM,2022,7028,5679,3060,State
250,BIHAR,2022,10801,7068,8898,State
251,CHANDIGARH,2022,238,203,83,UT
252,CHHATTISGARH,2022,13091,11459,5890,State
253,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2022,175,257,80,UT
254,DELHI,2022,5560,4713,1461,UT
255,GOA,2022,3012,1071,274,State
256,GUJARAT,2022,15777,15139,7634,State
257,HARYANA,2022,10654,8353,5228,State
258,HIMACHAL PRADESH,2022,2484,3891,979,State
259,JAMMU AND KASHMIR,2022,6358,8683,904,UT
260,JHARKHAND,2022,5175,3747,3898,State
261,KARNATAKA,2022,39765,48154,11705,State
262,KERALA,2022,43592,49317,4317,State
263,LAKSHADWEEP,2022,4,3,2,UT
264,MADHYA PRADESH,2022,51965,51264,13918,State
265,MAHARASHTRA,2022,30546,23878,15748,State
266,MANIPUR,2022,508,817,127,State
267,MEGHALAYA,2022,246,310,162,State
268,MIZORAM,2022,71,28,83,State
269,NAGALAND,2022,24,42,22,State
270,ODISHA,2022,11663,10269,5470,State
271,PUDUCHERRY,2022,1181,1282,181,UT
272,PUNJAB,2022,6122,3372,4688,State
273,RAJASTHAN,2022,23620,22249,11103,State
274,SIKKIM,2022,199,371,98,State
275,TAMIL NADU,2022,64105,67703,17884,State
276,TELANGANA,2022,21619,20209,7559,State
277,TRIPURA,2022,575,541,241,State
278,UTTAR PRADESH,2022,36875,21696,24109,State
279,UTTARAKHAND,2022,1674,1613,1042,State
280,WEST BENGAL,2022,10635,8124,5788,State
