S.No.,State/UT,Year,National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died
174,Uttarakhand,2019,339,234,0,294,867
175,West Bengal,2019,1967,1617,79,2061,5724
176,Andaman and Nicobar Islands,2020,8,3,0,3,14
177,Andhra Pradesh,2020,2858,1704,0,2477,7039
178,Arunachal Pradesh,2020,33,34,0,23,90
179,Assam,2020,1370,633,67,743,2813
180,Bihar,2020,3061,1902,0,1735,6698
181,Chandigarh,2020,6,0,0,47,53
182,Chhattisgarh,2020,1469,943,0,2204,4616
183,Dadra and Nagar Haveli and Daman and Diu,2020,0,18,0,46,64
184,Delhi,2020,216,54,5,921,1196
185,Goa,2020,75,34,0,115,224
186,Gujarat,2020,1724,1952,28,2496,6200
187,Haryana,2020,1489,976,108,2058,4631
188,Himachal Pradesh,2020,356,123,0,385,864
189,Jammu and Kashmir,2020,286,94,0,383,763
190,Jharkhand,2020,1176,1011,0,857,3044
191,Karnataka,2020,3330,2899,0,3531,9760
192,Kerala,2020,864,724,0,1389,2977
193,Lakshadweep,2020,0,0,0,0,0
194,Madhya Pradesh,2020,3001,2948,0,5716,11665
195,Maharashtra,2020,3334,3365,60,5259,12018
196,Manipur,2020,90,16,0,21,127
197,Meghalaya,2020,80,9,0,49,138
198,Mizoram,2020,26,21,0,6,53
199,Nagaland,2020,11,9,0,7,27
200,Odisha,2020,1760,1245,31,1702,4738
201,Puducherry,2020,123,17,0,5,145
202,Punjab,2020,1409,940,20,1547,3916
203,Rajasthan,2020,3289,1806,28,4129,9252
204,Sikkim,2020,11,9,0,22,42
205,Tamil Nadu,2020,3027,2515,0,2517,8059
206,Telangana,2020,2496,791,40,3555,6882
207,Tripura,2020,78,67,0,47,192
208,Uttar Pradesh,2020,6137,5324,711,6865,19037
209,Uttarakhand,2020,367,131,0,195,693
210,West Bengal,2020,1715,1507,71,1878,5171
211,Andaman and Nicobar Islands,2021,6,4,0,12,22
212,Andhra Pradesh,2021,3602,1904,0,2680,8186
213,Arunachal Pradesh,2021,59,56,0,58,173
214,Assam,2021,1586,724,0,704,3014
215,Bihar,2021,3493,1777,0,2390,7660
216,Chandigarh,2021,21,0,0,75,96
217,Chhattisgarh,2021,1665,1092,0,2656,5413
218,Dadra and Nagar Haveli and Daman and Diu,2021,0,37,0,39,76
219,Delhi,2021,232,126,5,876,1239
220,Goa,2021,93,32,0,101,226
221,Gujarat,2021,2017,2543,33,2864,7457
222,Haryana,2021,1846,885,126,2126,4983
223,Himachal Pradesh,2021,388,137,0,507,1032
224,Jammu and Kashmir,2021,397,120,1,342,860
225,Jharkhand,2021,1106,1060,0,1347,3513
226,Karnataka,2021,3490,2758,0,3790,10038
227,Kerala,2021,1021,877,0,1531,3429
228,Lakshadweep,2021,0,0,0,1,1
229,Madhya Pradesh,2021,3287,3088,0,6105,12480
230,Maharashtra,2021,3996,3807,87,6021,13911
231,Manipur,2021,76,21,0,13,110
232,Meghalaya,2021,118,32,0,37,187
233,Mizoram,2021,23,30,0,11,64
234,Nagaland,2021,10,11,0,2,23
235,Odisha,2021,1888,1070,32,2091,5081
236,Puducherry,2021,120,17,0,6,143
237,Punjab,2021,1545,1445,43,1483,4516
238,Rajasthan,2021,3653,1912,18,4460,10043
239,Sikkim,2021,23,20,0,21,64
240,Tamil Nadu,2021,5360,5067,2,4955,15384
241,Telangana,2021,2732,864,3,3958,7557
242,Tripura,2021,94,61,0,39,194
243,Uttar Pradesh,2021,7212,5891,965,7724,21792
244,Uttarakhand,2021,345,172,0,307,824
245,West Bengal,2021,2111,1400,41,2279,5831
246,Andaman and Nicobar Islands,2022,11,2,0,6,19
247,Andhra Pradesh,2022,3793,1869,0,2631,8293
248,Arunachal Pradesh,2022,54,16,0,82,152
249,Assam,2022,1547,668,0,845,3060
250,Bihar,2022,3926,2032,0,2940,8898
251,Chandigarh,2022,9,0,0,74,83
252,Chhattisgarh,2022,1861,1001,0,3028,5890
253,Dadra and Nagar Haveli and Daman and Diu,2022,1,33,0,46,80
254,Delhi,2022,157,129,0,1175,1461
255,Goa,2022,121,37,0,116,274
256,Gujarat,2022,2029,2163,64,3378,7634
257,Haryana,2022,2083,922,107,2116,5228
258,Himachal Pradesh,2022,393,214,0,372,979
259,Jammu and Kashmir,2022,424,100,0,380,904
260,Jharkhand,2022,1699,812,0,1387,3898
261,Karnataka,2022,4201,3276,0,4228,11705
262,Kerala,2022,1281,1050,0,1986,4317
263,Lakshadweep,2022,0,0,0,2,2
264,Madhya Pradesh,2022,3673,3509,0,6736,13918
265,Maharashtra,2022,4833,4098,88,6729,15748
266,Manipur,2022,71,21,0,35,127
267,Meghalaya,2022,88,26,0,48,162
268,Mizoram,2022,50,31,0,2,83
269,Nagaland,2022,13,5,0,4,22
270,Odisha,2022,1998,1272,50,2150,5470
271,Puducherry,2022,71,10,0,100,181
272,Punjab,2022,1590,1272,27,1799,4688
273,Rajasthan,2022,3997,2395,29,4682,11103
274,Sikkim,2022,28,25,0,45,98
275,Tamil Nadu,2022,5978,6364,0,5542,17884
276,Telangana,2022,3006,820,4,3729,7559
277,Tripura,2022,105,77,0,59,241
278,Uttar Pradesh,2022,8236,6070,1310,8493,24109
279,Uttarakhand,2022,464,296,0,282,1042
280,West Bengal,2022,1882,1388,101,2417,5788
