S.No.,State/UT,year,Road_Accidents_0000_hrs_to_0300_hrs_Night,Road_Accidents_0300_hrs_to_0600_hrs_Night,Road_Accidents_0600_hrs_to_0900_hrs_Day,Road_Accidents_0900_hrs_to_1200_hrs_Day,Road_Accidents_1200_hrs_to_1500_hrs_Day,Road_Accidents_1500_hrs_to_1800_hrs_Day,Road_Accidents_1800_hrs_to_2100_hrs_Night,Road_Accidents_2100_hrs_to_2400_hrs_Night,Road_Accidents_Total,Category
196,MANIPUR,2020,8,5,52,71,71,95,91,39,432,State
197,MEGHALAYA,2020,15,14,18,24,26,29,42,37,205,State
198,MIZORAM,2020,2,1,5,11,8,7,5,8,47,State
199,NAGALAND,2020,1,1,1,2,6,9,3,4,27,State
200,ODISHA,2020,480,646,947,1426,1646,1885,1849,938,9817,State
201,PUDUCHERRY,2020,112,123,106,121,130,115,130,132,969,UT
202,PUNJAB,2020,348,494,620,737,638,742,986,608,5173,State
203,RAJASTHAN,2020,758,893,2106,2830,3043,3647,3742,2102,19121,State
204,SIKKIM,2020,6,1,14,17,17,17,19,17,108,State
205,TAMIL NADU,2020,1906,2060,5186,6864,6853,7751,10751,4113,45484,State
206,TELANGANA,2020,1299,1240,1912,2460,2797,3479,3988,1997,19172,State
207,TRIPURA,2020,8,4,46,99,85,110,70,44,466,State
208,UTTAR PRADESH,2020,2472,2755,3208,3967,3619,4336,4894,3402,28653,State
209,UTTARAKHAND,2020,76,79,105,137,177,178,180,118,1050,State
210,WEST BENGAL,2020,781,813,1199,1709,1714,1793,1740,1094,10843,State
211,ANDAMAN AND NICOBAR ISLANDS,2021,3,3,6,11,20,31,25,18,117,UT
212,ANDHRA PRADESH,2021,780,1126,2337,3324,3416,4125,4522,1926,21556,State
213,ARUNACHAL PRADESH,2021,10,6,41,42,40,62,43,17,261,State
214,ASSAM,2021,377,551,820,1187,1034,1323,1014,763,7069,State
215,BIHAR,2021,242,1357,1414,1526,1363,1508,1497,646,9553,State
216,CHANDIGARH,2021,22,7,16,28,18,31,42,44,208,UT
217,CHHATTISGARH,2021,546,810,1047,1807,2224,2415,2480,1066,12395,State
218,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2021,4,3,14,9,22,25,37,26,140,UT
219,DELHI,2021,577,371,517,550,540,661,804,700,4720,UT
220,GOA,2021,237,164,263,402,453,463,521,347,2850,State
221,GUJARAT,2021,798,663,1622,2372,2416,2598,3114,1617,15200,State
222,HARYANA,2021,777,835,1166,1168,1239,1547,1955,1362,10049,State
223,HIMACHAL PRADESH,2021,122,55,246,315,335,449,574,312,2408,State
224,JAMMU AND KASHMIR,2021,132,164,589,1096,1305,1107,882,364,5639,UT
225,JHARKHAND,2021,307,512,639,730,679,783,686,392,4728,State
226,KARNATAKA,2021,1909,1990,3674,5117,5560,5983,6684,3730,34647,State
227,KERALA,2021,718,1167,3882,6099,5327,6308,6765,2493,32759,State
228,LAKSHADWEEP,2021,0,0,0,2,0,1,0,1,4,UT
229,MADHYA PRADESH,2021,2316,2197,4131,7180,8211,8969,9798,5417,48219,State
230,MAHARASHTRA,2021,1579,1601,2563,3626,4150,4321,5304,3454,26598,State
231,MANIPUR,2021,14,21,52,45,60,75,69,30,366,State
232,MEGHALAYA,2021,12,18,25,24,30,58,38,39,244,State
233,MIZORAM,2021,4,2,9,12,12,12,10,3,64,State
234,NAGALAND,2021,1,0,5,3,4,5,3,4,25,State
235,ODISHA,2021,544,830,1189,1619,1776,1908,2102,1015,10983,State
236,PUDUCHERRY,2021,119,127,114,129,132,125,138,165,1049,UT
237,PUNJAB,2021,490,500,666,708,743,962,1135,893,6097,State
