S.No.,State/UT,Year,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night)
158,Lakshadweep,2019,0,0,0,1,0,0,0,0
159,Madhya Pradesh,2019,2720,2467,4936,7616,8884,9284,9767,5967
160,Maharashtra,2019,2047,2040,2694,3771,4107,4509,4801,3317
161,Manipur,2019,14,16,81,101,127,127,143,63
162,Meghalaya,2019,17,22,25,28,33,39,36,36
163,Mizoram,2019,3,7,3,9,4,12,9,10
164,Nagaland,2019,0,1,3,6,5,5,5,1
165,Odisha,2019,1023,1193,1399,1367,1359,1456,1485,1782
166,Puducherry,2019,180,185,180,190,201,190,114,152
167,Punjab,2019,347,414,705,824,867,967,1215,977
168,Rajasthan,2019,1048,1200,2503,3395,4022,4702,4369,2239
169,Sikkim,2019,5,6,11,28,37,33,41,11
170,Tamil Nadu,2019,2008,2781,6768,8190,8109,9971,13143,6258
171,Telangana,2019,1124,991,2227,3105,3260,4131,4489,2243
172,Tripura,2019,13,8,59,128,133,149,114,51
173,Uttar Pradesh,2019,3612,3701,4401,4953,4962,5476,5823,4609
174,Uttarakhand,2019,115,116,152,185,209,202,200,173
175,West Bengal,2019,944,992,1345,1821,1742,1990,1979,1420
176,Andaman and Nicobar Islands,2020,1,3,10,14,28,29,41,15
177,Andhra Pradesh,2020,483,966,2242,2776,2748,3476,3793,1440
178,Arunachal Pradesh,2020,7,4,15,22,24,34,34,19
179,Assam,2020,495,577,726,1205,1114,1087,915,618
180,Bihar,2020,422,837,1100,1599,1093,1829,1178,581
181,Chandigarh,2020,8,6,15,12,14,24,40,38
182,Chhattisgarh,2020,598,738,1225,1808,2083,2228,2082,912
183,Dadra and Nagar Haveli and Daman and Diu,2020,3,2,8,10,16,22,17,20
184,Delhi,2020,446,340,470,558,454,533,655,731
185,Goa,2020,175,95,208,372,338,413,463,311
186,Gujarat,2020,777,808,1476,2035,2207,2272,2616,1216
187,Haryana,2020,547,800,1110,1216,1299,1453,1876,1205
188,Himachal Pradesh,2020,101,47,190,283,292,471,545,306
189,Jammu and Kashmir,2020,99,156,618,941,1051,1049,797,289
190,Jharkhand,2020,213,266,575,827,817,698,664,345
191,Karnataka,2020,1835,1921,3459,5098,5630,5774,6914,3547
192,Kerala,2020,630,958,3517,5141,4216,5635,5690,2012
193,Lakshadweep,2020,0,0,0,0,0,1,0,0
194,Madhya Pradesh,2020,1994,1731,3672,5860,7190,7994,9008,4947
195,Maharashtra,2020,1442,1299,2301,3058,3369,3712,4365,2665
196,Manipur,2020,8,5,52,71,71,95,91,39
197,Meghalaya,2020,15,14,18,24,26,29,42,37
198,Mizoram,2020,2,1,5,11,8,7,5,8
199,Nagaland,2020,1,1,1,2,6,9,3,4
200,Odisha,2020,480,646,947,1426,1646,1885,1849,938
201,Puducherry,2020,112,123,106,121,130,115,130,132
202,Punjab,2020,348,494,620,737,638,742,986,608
203,Rajasthan,2020,758,893,2106,2830,3043,3647,3742,2102
204,Sikkim,2020,6,1,14,17,17,17,19,17
205,Tamil Nadu,2020,1906,2060,5186,6864,6853,7751,10751,4113
206,Telangana,2020,1299,1240,1912,2460,2797,3479,3988,1997
207,Tripura,2020,8,4,46,99,85,110,70,44
208,Uttar Pradesh,2020,2472,2755,3208,3967,3619,4336,4894,3402
209,Uttarakhand,2020,76,79,105,137,177,178,180,118
210,West Bengal,2020,781,813,1199,1709,1714,1793,1740,1094
211,Andaman and Nicobar Islands,2021,3,3,6,11,20,31,25,18
212,Andhra Pradesh,2021,780,1126,2337,3324,3416,4125,4522,1926
213,Arunachal Pradesh,2021,10,6,41,42,40,62,43,17
214,Assam,2021,377,551,820,1187,1034,1323,1014,763
215,Bihar,2021,242,1357,1414,1526,1363,1508,1497,646
216,Chandigarh,2021,22,7,16,28,18,31,42,44
217,Chhattisgarh,2021,546,810,1047,1807,2224,2415,2480,1066
218,Dadra and Nagar Haveli and Daman and Diu,2021,4,3,14,9,22,25,37,26
219,Delhi,2021,577,371,517,550,540,661,804,700
220,Goa,2021,237,164,263,402,453,463,521,347
221,Gujarat,2021,798,663,1622,2372,2416,2598,3114,1617
222,Haryana,2021,777,835,1166,1168,1239,1547,1955,1362
223,Himachal Pradesh,2021,122,55,246,315,335,449,574,312
224,Jammu and Kashmir,2021,132,164,589,1096,1305,1107,882,364
225,Jharkhand,2021,307,512,639,730,679,783,686,392
226,Karnataka,2021,1909,1990,3674,5117,5560,5983,6684,3730
227,Kerala,2021,718,1167,3882,6099,5327,6308,6765,2493
228,Lakshadweep,2021,0,0,0,2,0,1,0,1
229,Madhya Pradesh,2021,2316,2197,4131,7180,8211,8969,9798,5417
230,Maharashtra,2021,1579,1601,2563,3626,4150,4321,5304,3454
231,Manipur,2021,14,21,52,45,60,75,69,30
232,Meghalaya,2021,12,18,25,24,30,58,38,39
233,Mizoram,2021,4,2,9,12,12,12,10,3
234,Nagaland,2021,1,0,5,3,4,5,3,4
235,Odisha,2021,544,830,1189,1619,1776,1908,2102,1015
236,Puducherry,2021,119,127,114,129,132,125,138,165
237,Punjab,2021,490,500,666,708,743,962,1135,893
238,Rajasthan,2021,894,1058,2345,2905,3317,4179,4269,1987
239,Sikkim,2021,7,8,11,9,17,22,28,20
240,Tamil Nadu,2021,1141,2244,6248,8357,8437,10383,14415,4457
241,Telangana,2021,935,936,2120,3115,3452,4028,4587,2142
242,Tripura,2021,4,13,48,85,86,101,101,40
243,Uttar Pradesh,2021,3484,3325,3954,4069,4313,5017,5592,3957
244,Uttarakhand,2021,107,121,136,198,176,233,261,173
245,West Bengal,2021,841,1014,1208,1740,1680,1893,1915,1210
246,Andaman and Nicobar Islands,2022,6,6,12,15,27,32,20,23
247,Andhra Pradesh,2022,886,1045,2290,3139,3141,3813,4591,2165
248,Arunachal Pradesh,2022,11,12,14,25,46,47,36,24
249,Assam,2022,409,452,903,1063,1143,1156,1133,769
250,Bihar,2022,485,1117,1602,1700,1405,1784,1865,843
251,Chandigarh,2022,36,8,16,18,25,36,35,64
252,Chhattisgarh,2022,442,493,1099,1875,2059,2500,3215,1408
253,Delhi,2022,626,528,609,667,776,692,828,834
254,Goa,2022,286,152,260,393,471,457,619,374
255,Gujarat,2022,957,817,1727,2333,2477,2596,3167,1703
256,Haryana,2022,1048,801,1217,1330,1250,1554,2153,1301
257,Himachal Pradesh,2022,156,169,211,299,364,426,548,311
258,Jammu and Kashmir,2022,130,239,774,1215,1440,1269,971,320
259,Jharkhand,2022,330,390,686,769,823,933,833,411
260,Karnataka,2022,2246,3119,4018,5628,5780,6233,7424,5317
261,Kerala,2022,1021,1426,5240,7790,6613,8543,9089,3870
262,Lakshadweep,2022,0,0,0,2,0,0,2,0
263,Madhya Pradesh,2022,2935,2234,4560,7508,8837,9568,9907,6416
264,Maharashtra,2022,2010,1876,2829,4100,4467,5218,6095,3951
265,Manipur,2022,17,3,48,96,67,91,117,69
266,Meghalaya,2022,13,9,24,48,29,51,41,31
267,Mizoram,2022,1,3,14,15,18,6,13,1
268,Nagaland,2022,3,1,6,4,3,2,2,3
269,Odisha,2022,629,741,1252,1753,1767,2112,2279,1130
270,Puducherry,2022,32,35,144,157,199,202,261,151
271,Punjab,2022,383,450,721,737,850,949,1140,892
272,Rajasthan,2022,933,902,2534,3379,3811,4496,5147,2418
273,Sikkim,2022,18,9,17,28,29,37,40,21
274,Tamil Nadu,2022,1624,2737,7397,9202,9107,11506,16285,6247
275,Telangana,2022,1094,952,2163,2988,3312,4051,4544,2515
276,Tripura,2022,12,16,54,104,93,100,123,73
277,Uttar Pradesh,2022,3941,3886,3937,4299,4580,5213,6154,4865
278,Uttarakhand,2022,122,141,207,244,235,248,243,234
279,West Bengal,2022,838,910,1193,1523,1495,1556,1699,1421
