S.No.,State/UT,Year,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died
146,Chandigarh,2019,2,0,2,0,7,46,47
147,Chhattisgarh,2019,689,135,548,268,60,2499,804
148,Dadra and Nagar Haveli and Daman and Diu,2019,30,1,12,2,6,19,8
149,Delhi,2019,154,70,417,8,55,455,349
150,Goa,2019,7,4,29,0,2,207,50
151,Gujarat,2019,962,257,1573,157,409,2991,1079
152,Haryana,2019,763,199,1104,171,130,1210,1692
153,Himachal Pradesh,2019,103,115,547,34,1,271,53
154,Jammu and Kashmir,2019,105,113,319,30,12,201,229
155,Jharkhand,2019,422,178,849,32,251,1949,120
156,Karnataka,2019,963,559,1983,214,534,4946,1752
157,Kerala,2019,271,233,489,4,229,2115,1029
158,Lakshadweep,2019,0,0,0,0,0,0,0
159,Madhya Pradesh,2019,1625,587,2440,701,330,4732,1441
160,Maharashtra,2019,1812,460,2437,286,507,7137,1969
161,Manipur,2019,32,2,38,0,6,48,30
162,Meghalaya,2019,41,6,64,1,10,46,8
163,Mizoram,2019,13,2,28,0,1,19,0
164,Nagaland,2019,13,0,4,0,0,5,0
165,Odisha,2019,630,260,672,51,217,2311,1192
166,Puducherry,2019,1,5,12,0,0,62,67
167,Punjab,2019,460,224,1301,91,108,1743,686
168,Rajasthan,2019,1477,527,2746,386,231,3504,1692
169,Sikkim,2019,18,0,52,0,0,10,4
170,Tamil Nadu,2019,1663,1135,1804,119,296,3537,1971
171,Telangana,2019,855,315,1287,243,668,3185,411
172,Tripura,2019,38,6,41,0,20,86,48
173,Uttar Pradesh,2019,5272,1957,5818,806,1518,6431,1483
174,Uttarakhand,2019,157,69,247,32,16,266,80
175,West Bengal,2019,1569,467,989,232,180,1318,969
176,Andaman and Nicobar Islands,2020,1,0,1,0,0,8,4
177,Andhra Pradesh,2020,398,63,602,95,559,3714,1608
178,Arunachal Pradesh,2020,29,0,28,1,0,27,5
179,Assam,2020,252,120,620,31,107,1441,242
