S.No.,State/UT,year,Deaths_Natural,Deaths_Other_Causes,Deaths_Total,Population_Lakh,Category
113,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2018,0,300,300,9.3,UT
114,DELHI,2018,0,5103,5103,195.6,UT
115,GOA,2018,0,738,738,15.3,State
116,GUJARAT,2018,61,24653,24714,673.2,State
117,HARYANA,2018,182,15376,15558,284.0,State
118,HIMACHAL PRADESH,2018,61,2806,2867,72.7,State
119,JAMMU AND KASHMIR,2018,131,1388,1519,134.3,UT
120,JHARKHAND,2018,395,6199,6594,370.5,State
121,KARNATAKA,2018,164,24829,24993,654.5,State
122,KERALA,2018,295,12016,12311,350.0,State
123,LAKSHADWEEP,2018,0,6,6,0.7,UT
124,MADHYA PRADESH,2018,472,41682,42154,814.7,State
125,MAHARASHTRA,2018,383,68451,68834,1213.9,State
126,MANIPUR,2018,15,285,300,30.8,State
127,MEGHALAYA,2018,19,440,459,11.8,State
128,MIZORAM,2018,6,181,187,32.0,State
129,NAGALAND,2018,2,84,86,21.3,State
130,ODISHA,2018,1196,17052,18248,435.5,State
131,PUDUCHERRY,2018,0,1213,1213,14.8,UT
132,PUNJAB,2018,126,10202,10328,297.0,State
133,RAJASTHAN,2018,114,28261,28375,765.9,State
134,SIKKIM,2018,4,275,279,6.6,State
135,TAMIL NADU,2018,179,24433,24612,754.6,State
136,TELANGANA,2018,175,10847,11022,370.3,State
137,TRIPURA,2018,25,686,711,39.6,State
138,UTTAR PRADESH,2018,752,36868,37620,2230.0,State
139,UTTARAKHAND,2018,69,1855,1924,110.6,State
140,WEST BENGAL,2018,275,16109,16384,965.0,State
141,ANDAMAN AND NICOBAR ISLANDS,2019,2,196,198,4.0,UT
142,ANDHRA PRADESH,2019,257,17681,17938,523.2,State
143,ARUNACHAL PRADESH,2019,7,268,275,15.1,State
144,ASSAM,2019,136,5300,5436,344.2,State
145,BIHAR,2019,1521,13690,15211,1201.1,State
146,CHANDIGARH,2019,2,412,414,11.8,UT
147,CHHATTISGARH,2019,254,19535,19789,288.5,State
148,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2019,1,271,272,9.8,UT
149,DELHI,2019,0,4919,4919,199.4,UT
150,GOA,2019,3,792,795,15.4,State
151,GUJARAT,2019,140,23770,23910,682.5,State
152,HARYANA,2019,134,15505,15639,288.1,State
153,HIMACHAL PRADESH,2019,39,3217,3256,73.2,State
154,JAMMU AND KASHMIR,2019,63,1388,1451,135.3,UT
155,JHARKHAND,2019,556,7147,7703,375.8,State
156,KARNATAKA,2019,169,25282,25451,659.7,State
