Sl. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
11,State,Jharkhand,202,186,388,93,241,334,87,79,166,174,188,362,114,69,183,42,26,68,222,135,357,900,673,1573,5,0,5,19,24,43,0,0,0,0,0,0,29,34,63,0,0,0,1887,1655,3542
12,State,Karnataka,438,715,1153,123,617,740,63,111,174,505,1034,1539,152,80,232,78,154,232,194,374,568,2545,2475,5020,84,162,246,0,13,13,0,0,0,0,1,1,4,719,723,225,124,349,4411,6579,10990
13,State,Kerala,62,173,235,37,177,214,6,26,32,79,361,440,6,39,45,1,5,6,29,184,213,236,1816,2052,6,18,24,6,64,70,1,3,4,0,1,1,18,915,933,0,34,34,487,3816,4303
14,State,Madhya Pradesh,503,1018,1521,186,463,649,171,296,467,482,729,1211,151,290,441,210,451,661,97,176,273,1935,2342,4277,61,397,458,47,116,163,0,3,3,7,11,18,113,879,992,67,226,293,4030,7397,11427
15,State,Maharashtra,611,1409,2020,98,446,544,107,232,339,414,962,1376,138,396,534,80,198,278,147,473,620,2838,3551,6389,90,196,286,34,43,77,1,6,7,14,6,20,81,1140,1221,41,111,152,4694,9169,13863
16,State,Manipur,8,32,40,1,3,4,0,0,0,7,21,28,2,0,2,0,0,0,2,3,5,22,17,39,0,3,3,0,1,1,0,0,0,0,0,0,0,11,11,0,2,2,42,93,135
17,State,Meghalaya,42,23,65,4,1,5,10,11,21,18,24,42,2,0,2,1,0,1,9,8,17,19,14,33,1,0,1,0,1,1,0,0,0,0,0,0,3,4,7,0,1,1,109,87,196
18,State,Mizoram,5,5,10,11,0,11,3,4,7,6,5,11,1,2,3,0,0,0,4,4,8,9,1,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,21,62
19,State,Nagaland,8,4,12,0,0,0,1,4,5,10,2,12,0,1,1,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,23,12,35
20,State,Odisha,271,387,658,31,159,190,89,86,175,205,324,529,15,34,49,33,57,90,102,210,312,1287,856,2143,135,217,352,79,53,132,0,0,0,0,0,0,27,443,470,6,130,136,2280,2956,5236
21,State,Punjab,53,436,489,13,247,260,29,210,239,81,851,932,17,81,98,9,50,59,18,242,260,353,1579,1932,2,72,74,18,76,94,7,7,14,14,21,35,29,190,219,0,33,33,643,4095,4738
22,State,Rajasthan,538,966,1504,193,438,631,143,269,412,581,1057,1638,284,652,936,133,418,551,100,108,208,1428,1555,2983,229,429,658,9,16,25,0,0,0,1,6,7,0,645,645,51,71,122,3690,6630,10320
23,State,Sikkim,11,3,14,0,0,0,14,17,31,12,1,13,5,0,5,0,0,0,1,0,1,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,49,22,71
24,State,Tamil Nadu,621,1317,1938,341,1130,1471,66,225,291,892,1709,2601,141,35,176,33,72,105,141,133,274,3192,773,3965,0,0,0,82,59,141,0,0,0,0,0,0,276,978,1254,0,0,0,5785,6431,12216
25,State,Telangana,137,744,881,44,382,426,5,237,242,154,853,1007,0,22,22,43,194,237,53,380,433,758,2070,2828,14,102,116,7,41,48,0,0,0,0,1,1,0,360,360,0,2,2,1215,5388,6603
26,State,Tripura,0,18,18,0,3,3,0,0,0,6,27,33,3,13,16,0,0,0,0,14,14,22,41,63,0,0,0,2,0,2,0,0,0,0,0,0,3,57,60,0,3,3,36,176,212
27,State,Uttar Pradesh,1048,4247,5295,420,1569,1989,462,1096,1558,825,2271,3096,336,578,914,115,798,913,294,896,1190,1900,4574,6474,77,385,462,28,82,110,5,27,32,5,12,17,13,204,217,97,177,274,5625,16916,22541
28,State,Uttarakhand,17,107,124,14,140,154,30,62,92,55,239,294,5,5,10,0,23,23,3,4,7,43,217,260,0,0,0,0,15,15,0,0,0,0,0,0,1,79,80,0,14,14,168,905,1073
29,State,West Bengal,663,1075,1738,124,402,526,132,162,294,164,427,591,7,12,19,34,192,226,42,136,178,399,775,1174,46,174,220,35,35,70,0,6,6,0,0,0,35,221,256,76,95,171,1757,3712,5469
State,State,Total (States),7387,16560,23947,2638,7754,10392,2079,4217,6296,6370,14418,20788,1977,2880,4857,1210,3446,4656,2242,4914,7156,24178,29789,53967,1081,2848,3929,661,904,1565,25,68,93,50,97,147,928,9407,10335,882,1599,2481,51708,98901,150609
30,Union Territory,A & N Islands,0,5,5,0,4,4,0,1,1,0,0,0,0,3,3,0,0,0,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
31,Union Territory,Chandigarh,0,4,4,0,2,2,2,19,21,4,39,43,0,3,3,0,0,0,0,15,15,3,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2,9,92,101
32,Union Territory,D & N Haveli,0,20,20,0,1,1,0,0,0,0,4,4,1,0,1,0,0,0,0,2,2,1,18,19,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,52,54
33,Union Territory,Daman & Diu,1,10,11,0,1,1,0,1,1,0,5,5,0,0,0,0,0,0,1,3,4,5,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,36
34,Union Territory,Delhi (UT),68,204,272,28,81,109,9,31,40,163,279,442,2,7,9,1,4,5,21,73,94,132,366,498,17,75,92,0,19,19,0,1,1,0,3,3,11,54,65,14,71,85,466,1268,1734
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
36,Union Territory,Puducherry,1,0,1,5,0,5,0,0,0,8,0,8,0,0,0,0,0,0,4,0,4,99,0,99,0,0,0,30,0,30,0,0,0,0,0,0,75,0,75,4,0,4,226,0,226
Union Territory,Union Territory,Total (UTs),70,243,313,33,89,122,11,52,63,175,327,502,3,13,16,1,4,5,26,94,120,241,402,643,17,79,96,30,19,49,0,1,1,0,3,3,86,61,147,18,73,91,711,1460,2171
Total (All India),Total (All India),Total (All India),7457,16803,24260,2671,7843,10514,2090,4269,6359,6545,14745,21290,1980,2893,4873,1211,3450,4661,2268,5008,7276,24419,30191,54610,1098,2927,4025,691,923,1614,25,69,94,50,100,150,1014,9468,10482,900,1672,2572,52419,100361,152780
37,City,Agra,0,81,81,0,7,7,0,34,34,0,17,17,0,0,0,0,6,6,0,7,7,29,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,157,186
38,City,Ahmedabad,0,0,0,0,0,0,0,0,0,2,15,17,0,1,1,0,0,0,3,30,33,31,254,285,0,0,0,0,4,4,0,0,0,0,0,0,0,33,33,0,0,0,36,337,373
39,City,Allahabad,25,32,57,15,28,43,6,13,19,16,28,44,3,6,9,2,5,7,11,23,34,24,25,49,26,24,50,0,14,14,0,10,10,0,0,0,0,11,11,13,14,27,141,233,374
40,City,Amritsar,0,6,6,0,3,3,0,0,0,6,28,34,0,0,0,0,1,1,0,11,11,6,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,65,77
41,City,Asansol,0,7,7,0,1,1,0,0,0,0,29,29,0,0,0,0,0,0,0,1,1,0,102,102,0,2,2,0,17,17,0,0,0,0,0,0,0,91,91,0,0,0,0,250,250
42,City,Aurangabad,0,3,3,0,2,2,2,4,6,0,0,0,1,5,6,1,5,6,0,0,0,14,141,155,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,18,174,192
43,City,Bengaluru,1,6,7,0,6,6,1,10,11,2,45,47,0,1,1,0,7,7,5,7,12,82,229,311,0,5,5,0,3,3,0,0,0,0,0,0,0,276,276,0,0,0,91,595,686
44,City,Bhopal,0,2,2,0,21,21,0,0,0,0,38,38,0,1,1,0,3,3,0,7,7,0,36,36,0,18,18,0,1,1,0,0,0,0,0,0,0,10,10,0,12,12,0,149,149
45,City,Chandigarh (City),0,4,4,0,2,2,2,19,21,4,39,43,0,3,3,0,0,0,0,15,15,3,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2,9,92,101
46,City,Chennai,1,241,242,0,81,81,2,9,11,1,25,26,0,0,0,0,0,0,2,31,33,185,327,512,0,62,62,0,1,1,0,0,0,0,0,0,4,287,291,1,0,1,196,1064,1260
47,City,Coimbatore,0,20,20,0,31,31,0,8,8,0,26,26,0,4,4,0,0,0,0,2,2,13,47,60,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,162
48,City,Delhi (City),52,159,211,27,68,95,8,31,39,128,241,369,2,7,9,1,3,4,20,64,84,104,333,437,17,61,78,0,18,18,0,1,1,0,3,3,2,38,40,9,48,57,370,1075,1445
49,City,Dhanbad,10,0,10,1,0,1,0,0,0,3,0,3,3,0,3,0,0,0,2,0,2,95,0,95,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,119,0,119
50,City,Durg Bhilainagar,1,32,33,0,3,3,0,0,0,0,14,14,0,5,5,0,0,0,0,7,7,15,46,61,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,0,0,0,16,115,131
51,City,Faridabad,65,0,65,3,0,3,0,0,0,31,0,31,0,0,0,0,0,0,8,0,8,5,0,5,30,0,30,0,0,0,0,0,0,0,0,0,0,113,113,0,0,0,142,113,255
52,City,Ghaziabad,0,40,40,0,83,83,0,19,19,0,39,39,0,0,0,0,9,9,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,216,216
53,City,Gwalior,2,7,9,1,3,4,4,1,5,9,16,25,0,0,0,0,5,5,2,6,8,15,53,68,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,33,117,150
54,City,Hyderabad,4,3,7,7,6,13,1,1,2,16,13,29,0,0,0,0,0,0,5,3,8,122,107,229,0,0,0,6,5,11,0,0,0,0,0,0,0,11,11,0,0,0,161,149,310
55,City,Indore,0,3,3,0,5,5,0,2,2,0,5,5,0,0,0,0,0,0,0,0,0,0,176,176,0,0,0,0,1,1,0,1,1,0,0,0,0,110,110,0,0,0,0,303,303
56,City,Jabalpur,0,21,21,0,16,16,0,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,175
57,City,Jaipur,14,23,37,10,20,30,0,3,3,8,48,56,36,88,124,4,12,16,1,4,5,162,114,276,15,40,55,2,0,2,0,0,0,0,0,0,0,84,84,1,3,4,253,439,692
58,City,Jamshedpur,2,12,14,1,2,3,0,0,0,2,2,4,0,0,0,0,0,0,5,2,7,7,37,44,0,0,0,6,0,6,0,0,0,0,0,0,0,5,5,0,0,0,23,60,83
59,City,Jodhpur,34,48,82,0,9,9,0,0,0,23,49,72,16,0,16,0,3,3,4,3,7,21,26,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,98,147,245
60,City,Kannur,0,1,1,0,1,1,0,0,0,0,8,8,0,0,0,0,0,0,0,4,4,1,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,1,67,68
61,City,Kanpur,5,106,111,2,15,17,1,23,24,16,122,138,1,2,3,0,0,0,17,159,176,22,162,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,589,653
62,City,Kochi,4,18,22,1,27,28,0,0,0,0,20,20,0,0,0,0,0,0,0,5,5,4,38,42,0,5,5,0,0,0,0,0,0,0,0,0,2,17,19,0,0,0,11,130,141
63,City,Kolkata,0,72,72,0,86,86,0,4,4,0,42,42,0,0,0,0,0,0,0,8,8,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,294,294
64,City,Kollam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,137,137,0,0,0,0,9,9,0,0,0,0,0,0,0,67,67,0,0,0,0,241,241
65,City,Kota,0,2,2,0,0,0,0,0,0,5,1,6,1,0,1,2,0,2,1,0,1,43,11,54,3,0,3,3,0,3,0,0,0,0,0,0,0,17,17,0,0,0,58,31,89
66,City,Kozhikode,0,1,1,0,3,3,0,1,1,0,20,20,0,1,1,0,0,0,0,10,10,2,76,78,0,0,0,0,2,2,0,0,0,0,0,0,0,38,38,0,0,0,2,152,154
67,City,Lucknow,23,71,94,16,33,49,3,18,21,27,38,65,3,3,6,1,15,16,7,15,22,60,78,138,6,15,21,0,4,4,0,0,0,0,4,4,0,0,0,10,2,12,156,296,452
68,City,Ludhiana,0,77,77,2,11,13,0,9,9,5,54,59,1,5,6,0,10,10,4,12,16,46,16,62,0,49,49,1,0,1,0,0,0,0,0,0,26,0,26,0,0,0,85,243,328
69,City,Madurai,0,23,23,0,23,23,0,11,11,0,29,29,0,0,0,0,10,10,0,7,7,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,103,153
70,City,Malappuram,0,11,11,0,5,5,0,2,2,1,12,13,0,1,1,0,0,0,1,6,7,12,47,59,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,14,108,122
71,City,Meerut,11,36,47,2,30,32,13,30,43,5,32,37,0,0,0,0,0,0,0,12,12,32,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,160,223
72,City,Mumbai,34,72,106,5,14,19,1,5,6,16,76,92,1,6,7,0,0,0,5,33,38,98,119,217,1,22,23,0,1,1,1,0,1,0,0,0,10,24,34,1,1,2,173,373,546
73,City,Nagpur,0,69,69,0,5,5,0,7,7,0,24,24,0,2,2,0,1,1,0,3,3,0,168,168,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,284,284
74,City,Nasik,5,0,5,0,0,0,19,0,19,23,0,23,3,0,3,0,0,0,1,1,2,48,159,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,160,259
75,City,Patna,0,22,22,0,20,20,7,32,39,0,0,0,0,0,0,0,0,0,0,0,0,164,132,296,0,0,0,14,0,14,0,0,0,0,0,0,15,0,15,0,0,0,200,206,406
76,City,Pune,27,30,57,9,7,16,2,3,5,14,16,30,0,2,2,3,0,3,2,2,4,83,40,123,10,0,10,1,1,2,0,0,0,0,0,0,9,0,9,24,1,25,184,102,286
77,City,Raipur,32,22,54,2,1,3,2,1,3,16,1,17,0,0,0,0,0,0,0,2,2,24,11,35,0,0,0,5,0,5,0,0,0,0,0,0,0,21,21,0,0,0,81,59,140
78,City,Rajkot,9,14,23,2,9,11,0,0,0,12,51,63,0,0,0,0,0,0,6,20,26,19,26,45,3,9,12,2,0,2,0,0,0,0,0,0,0,20,20,0,0,0,53,149,202
79,City,Ranchi,35,0,35,58,0,58,0,0,0,9,10,19,7,0,7,4,0,4,23,0,23,33,0,33,8,0,8,12,0,12,3,0,3,7,0,7,21,0,21,0,0,0,220,10,230
80,City,Srinagar,0,2,2,0,1,1,0,15,15,0,18,18,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,43,46
81,City,Surat,2,28,30,0,4,4,0,1,1,2,29,31,7,0,7,0,0,0,6,15,21,44,112,156,0,0,0,0,2,2,0,0,0,0,0,0,0,66,66,0,0,0,61,257,318
82,City,Thiruvananthapuram,0,14,14,0,28,28,0,0,0,0,29,29,0,2,2,0,0,0,0,14,14,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,202,202
83,City,Thrissur,0,0,0,0,3,3,0,0,0,0,14,14,0,0,0,0,0,0,0,16,16,0,103,103,0,1,1,0,8,8,0,0,0,0,0,0,0,73,73,0,0,0,0,218,218
84,City,Tiruchirappalli,0,16,16,0,18,18,0,0,0,5,8,13,0,0,0,0,0,0,0,4,4,33,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,38,84,122
85,City,Vadodara,0,5,5,0,0,0,2,4,6,0,13,13,0,0,0,0,0,0,1,2,3,15,55,70,0,0,0,0,10,10,0,0,0,0,0,0,0,75,75,0,0,0,18,164,182
86,City,Varanasi,0,14,14,0,6,6,0,3,3,1,6,7,1,2,3,0,0,0,2,9,11,2,52,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92,98
87,City,Vasai Virar,19,9,28,0,0,0,0,0,0,32,17,49,0,0,0,0,0,0,0,0,0,73,5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,124,50,174
88,City,Vijayawada,3,19,22,0,34,34,0,62,62,0,0,0,0,2,2,0,15,15,3,22,25,10,131,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,16,341,357
89,City,Vishakhapatnam,42,60,102,10,26,36,0,3,3,2,30,32,0,3,3,1,3,4,7,11,18,69,52,121,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,204,343
City,City,Total (Cities),462,1564,2026,174,807,981,76,409,485,442,1458,1900,86,152,238,19,113,132,154,652,806,1923,4086,6009,127,349,476,52,134,186,4,12,16,7,7,14,94,1689,1783,59,154,213,3679,11586,15265
