Si. No.,Category,State/UT/City,Rural Area(Near School/College/Educational Institution) - Male,Rural Area(Near School/College/Educational Institution) - Female,Rural Area(Near School/College/Educational Institution) - Transgender,Rural Area(Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/ Cinema Hall) - Male,Rural Area (Near Recreation Place/ Cinema Hall) - Female,Rural Area (Near Recreation Place/ Cinema Hall) - Transgender,Rural Area (Near Recreation Place/ Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/ Educational Institution) - Male,Urban Area (Near School/College/ Educational Institution) - Female,Urban Area (Near School/College/ Educational Institution) - Transgender,Urban Area (Near School/College/ Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/ Cinema Hall) - Male,Urban Area (Near Recreation Place/ Cinema Hall) - Female,Urban Area (Near Recreation Place/ Cinema Hall) - Transgender,Urban Area (Near Recreation Place/ Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
36,Union Territories,Puducherry,31,9,0,40,29,5,0,34,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,73,14,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0,58,57,1,0,58,130,15,0,145
Total (UTs),Total (UTs),Total (UTs),67,11,0,78,215,41,0,256,16,3,0,19,10,0,0,10,27,1,0,28,269,57,0,326,604,113,0,717,74,6,0,80,416,41,0,457,50,5,0,55,19,0,0,19,54,3,0,57,45,4,0,49,756,45,0,801,1414,104,0,1518,2018,217,0,2235
Total (All India),Total (All India),Total (All India),4985,883,0,5868,21851,3263,0,25114,3138,574,0,3712,2315,402,0,2717,3233,457,0,3690,39562,5099,0,44661,75084,10678,0,85762,4146,831,0,4977,12877,2220,0,15097,2729,524,0,3253,2758,518,0,3276,3508,608,0,4116,1644,375,0,2019,12778,1923,0,14701,40440,6999,0,47439,115524,17677,0,133201
38,City,Agra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,187,20,0,207,6,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,196,20,0,216,196,20,0,216
39,City,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,14,0,96,15,0,0,15,40,8,0,48,40,2,0,42,94,27,0,121,16,2,0,18,287,53,0,340,287,53,0,340
40,City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,14,9,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,34,43,17,0,60,43,17,0,60
41,City,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,10,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,48,59,7,0,66,59,7,0,66
42,City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,15,0,148,133,15,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,10,0,166,156,10,0,166,289,25,0,314
43,City,Aurangabad,2,0,0,2,43,2,0,45,10,2,0,12,0,0,0,0,16,1,0,17,0,0,0,0,71,5,0,76,2,1,0,3,51,12,0,63,1,0,0,1,0,0,0,0,5,0,0,5,6,1,0,7,8,0,0,8,73,14,0,87,144,19,0,163
44,City,Bengaluru,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,43,40,5,0,45,21,5,0,26,111,7,0,118,11,3,0,14,22,1,0,23,30,3,0,33,17,3,0,20,316,51,0,367,528,73,0,601,568,78,0,646
45,City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,21,5,0,26,13,2,0,15,6,1,0,7,3,0,0,3,14,5,0,19,16,3,0,19,77,16,0,93,77,16,0,93
46,City,Chandigarh (City),2,1,0,3,2,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,7,3,1,0,4,2,1,0,3,4,0,0,4,0,0,0,0,3,0,0,3,6,0,0,6,23,3,0,26,41,5,0,46,46,7,0,53
47,City,Chennai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,15,0,67,121,31,0,152,54,36,0,90,49,25,0,74,138,42,0,180,118,33,0,151,133,25,0,158,665,207,0,872,665,207,0,872
48,City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,26,5,1,0,6,8,2,0,10,7,2,0,9,7,3,0,10,0,0,0,0,4,0,0,4,54,11,0,65,54,11,0,65
49,City,Delhi (City),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3,0,62,358,27,0,385,39,3,0,42,14,0,0,14,42,2,0,44,23,0,0,23,546,35,0,581,1081,70,0,1151,1081,70,0,1151
50,City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,0,83,78,5,0,83
51,City,Durg Bhilainagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,54,9,0,63,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,58,11,0,69,58,11,0,69
52,City,Faridabad,2,0,0,2,9,0,0,9,0,0,0,0,0,0,0,0,2,0,0,2,24,7,0,31,37,7,0,44,3,0,0,3,36,6,0,42,1,0,0,1,0,0,0,0,16,2,0,18,4,1,0,5,98,19,0,117,158,28,0,186,195,35,0,230
53,City,Ghaziabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,14,0,0,14,5,0,0,5,43,2,0,45,32,5,0,37,4,0,0,4,39,8,0,47,149,15,0,164,149,15,0,164
54,City,Gwalior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,109,8,0,117,5,2,0,7,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,118,12,0,130,118,12,0,130
55,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,27,29,2,0,31,37,3,0,40,12,6,0,18,0,0,0,0,0,0,0,0,122,16,0,138,222,32,0,254,222,32,0,254
56,City,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,13,20,2,0,22,9,2,0,11,17,2,0,19,5,5,0,10,0,0,0,0,114,24,0,138,177,36,0,213,177,36,0,213
57,City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,30,137,14,0,151,16,2,0,18,0,0,0,0,18,3,0,21,0,0,0,0,11,1,0,12,206,26,0,232,206,26,0,232
58,City,Jaipur,4,1,0,5,55,10,0,65,4,0,0,4,0,0,0,0,19,5,0,24,169,13,0,182,251,29,0,280,22,3,0,25,34,8,0,42,15,1,0,16,3,0,0,3,6,2,0,8,17,2,0,19,197,16,0,213,294,32,0,326,545,61,0,606
59,City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,11,7,1,0,8,4,1,0,5,7,2,0,9,8,2,0,10,1,1,0,2,1,1,0,2,37,10,0,47,37,10,0,47
60,City,Jodhpur,4,1,0,5,11,3,0,14,2,0,0,2,1,0,0,1,26,2,0,28,6,2,0,8,50,8,0,58,6,1,0,7,19,7,0,26,3,1,0,4,0,1,0,1,66,3,0,69,0,0,0,0,36,5,0,41,130,18,0,148,180,26,0,206
61,City,Kannur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,40,6,0,46,1,0,0,1,0,0,0,0,1,0,0,1,4,1,0,5,0,0,0,0,50,7,0,57,50,7,0,57
62,City,Kanpur,14,1,0,15,18,1,0,19,4,0,0,4,0,0,0,0,0,0,0,0,1,1,0,2,37,3,0,40,57,3,0,60,190,23,0,213,14,1,0,15,4,2,0,6,46,15,0,61,0,0,0,0,17,4,0,21,328,48,0,376,365,51,0,416
63,City,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,18,23,4,0,27,11,1,0,12,17,2,0,19,10,1,0,11,8,2,0,10,4,0,0,4,87,14,0,101,87,14,0,101
64,City,Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,36,69,12,0,81,3,2,0,5,4,7,0,11,15,1,0,16,31,6,0,37,12,3,0,15,160,41,0,201,160,41,0,201
65,City,Kollam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,23,109,20,0,129,13,3,0,16,0,0,0,0,19,3,0,22,3,1,0,4,0,0,0,0,163,31,0,194,163,31,0,194
