Si. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/ Cycle Rickshaw - Offenders,Hand Drawn Vehicle/ Cycle Rickshaw - Victims,Hand Drawn Vehicle/ Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
82,City,Surat,5,1,6,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,3,7,10,20,78,98,0,0,0,0,9,9,0,0,0,0,0,0,0,63,63,0,0,0,29,162,191
83,City,Thiruvananthapuram,1,2,3,0,2,2,0,0,0,3,4,7,0,0,0,0,0,0,0,5,5,9,46,55,0,0,0,0,2,2,0,0,0,0,0,0,0,34,34,0,0,0,13,95,108
84,City,Thrissur,0,5,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,5,0,74,74,0,2,2,0,6,6,0,0,0,0,0,0,0,40,40,0,0,0,0,134,134
85,City,Tiruchirappalli,1,7,8,1,2,3,0,8,8,3,8,11,0,0,0,0,0,0,1,0,1,45,5,50,1,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,57,30,87
86,City,Vadodara,2,18,20,0,1,1,0,0,0,1,4,5,0,1,1,0,0,0,0,4,4,12,59,71,0,0,0,0,5,5,0,0,0,0,0,0,0,46,46,0,0,0,15,138,153
87,City,Varanasi,0,7,7,0,2,2,0,8,8,0,0,0,0,1,1,0,0,0,0,1,1,1,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,51
88,City,Vasai Virar,12,23,35,1,1,2,0,0,0,9,17,26,0,0,0,0,0,0,0,3,3,29,59,88,1,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,52,108,160
89,City,Vijayawada,4,2,6,0,3,3,0,0,0,1,16,17,0,0,0,0,0,0,0,8,8,9,142,151,0,0,0,0,16,16,0,0,0,0,0,0,0,72,72,0,1,1,14,260,274
90,City,Vishakhapatnam,8,3,11,1,0,1,0,0,0,2,4,6,0,0,0,0,0,0,4,7,11,106,27,133,0,0,0,1,0,1,0,0,0,0,0,0,0,82,82,2,8,10,124,131,255
Total (Cities),Total (Cities),Total (Cities),345,929,1274,91,293,384,81,187,268,379,894,1273,39,58,97,19,61,80,136,339,475,1773,3376,5149,41,362,403,46,211,257,1,12,13,0,4,4,53,1437,1490,34,232,266,3038,8395,11433
