Sl. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
36,Union Territory,Puducherry,88,84,220,241,254,278,307,221,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,84,220,241,254,278,307,221,1693
Union Territory,Union Territory,Total (UTs),868,804,1028,1087,1152,1285,1459,1355,9038,1,3,2,1,0,2,4,2,15,94,104,106,125,103,102,135,122,891,963,911,1136,1213,1255,1389,1598,1479,9944
Total (All India),Total (All India),Total (All India),23784,28781,52614,67544,69156,78079,80567,45205,445730,172,174,211,228,198,206,233,166,1588,2254,2485,3920,4388,3659,3447,3898,3146,27197,26210,31440,56745,72160,73013,81732,84698,48517,474515
37,City,Agra,16,26,29,43,54,37,41,32,278,2,5,0,1,2,1,2,1,14,0,0,0,0,0,0,0,0,0,18,31,29,44,56,38,43,33,292
38,City,Ahmedabad,101,101,174,259,221,222,271,201,1550,0,0,0,0,0,0,0,0,0,5,8,3,5,6,5,3,3,38,106,109,177,264,227,227,274,204,1588
39,City,Allahabad,109,68,120,79,78,64,86,138,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,68,120,79,78,64,86,138,742
40,City,Amritsar,5,6,7,18,15,18,30,20,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,18,15,18,30,20,119
41,City,Asansol,41,34,28,32,44,59,74,49,361,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,3,4,16,41,34,29,32,46,65,77,53,377
42,City,Aurangabad,41,57,78,86,97,100,95,89,643,0,0,0,0,0,0,0,0,0,0,1,2,5,4,2,4,6,24,41,58,80,91,101,102,99,95,667
43,City,Bengaluru,288,170,642,871,803,897,905,488,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,170,642,871,803,897,905,488,5064
44,City,Bhopal,131,116,290,414,428,445,442,352,2618,0,0,2,1,1,2,1,2,9,0,4,5,4,0,2,3,11,29,131,120,297,419,429,449,446,365,2656
45,City,Chandigarh (City),21,11,53,74,37,55,39,29,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,53,74,37,55,39,29,319
46,City,Chennai,310,378,938,1186,1007,1135,1244,1059,7257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,378,938,1186,1007,1135,1244,1059,7257
47,City,Coimbatore,42,51,177,218,195,183,267,166,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,51,177,218,195,183,267,166,1299
48,City,Delhi (City),676,645,668,657,722,786,920,949,6023,1,3,2,1,0,2,4,2,15,94,104,106,125,103,102,135,122,891,771,752,776,783,825,890,1059,1073,6929
49,City,Dhanbad,36,25,24,25,22,23,36,22,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,25,24,25,22,23,36,22,213
50,City,Durg Bhilainagar,125,115,110,116,141,119,104,29,859,0,0,0,0,0,0,0,0,0,2,1,3,3,4,1,4,4,22,127,116,113,119,145,120,108,33,881
51,City,Faridabad,20,18,50,82,96,117,195,134,712,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,18,50,82,97,117,195,134,713
52,City,Ghaziabad,11,10,26,39,24,21,47,34,212,0,0,0,0,0,0,0,0,0,12,11,9,7,9,7,9,8,72,23,21,35,46,33,28,56,42,284
53,City,Gwalior,36,33,99,251,251,237,222,162,1291,0,0,0,0,0,0,0,0,0,2,3,1,4,2,1,3,5,21,38,36,100,255,253,238,225,167,1312
54,City,Hyderabad,241,155,320,430,418,432,479,359,2834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,155,320,430,418,432,479,359,2834
55,City,Indore,210,86,227,508,587,638,593,464,3313,0,0,0,0,0,0,0,0,0,2,5,6,3,4,4,3,1,28,212,91,233,511,591,642,596,465,3341
56,City,Jabalpur,61,23,595,475,370,397,225,189,2335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,23,595,475,370,397,225,189,2335
57,City,Jaipur,213,209,302,386,445,527,542,359,2983,0,0,0,0,0,0,0,0,0,2,5,4,8,5,9,4,9,46,215,214,306,394,450,536,546,368,3029
58,City,Jamshedpur,11,8,23,27,21,22,34,36,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,23,27,21,22,34,36,182
59,City,Jodhpur,10,14,56,90,109,137,123,81,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,56,90,109,137,123,81,620
60,City,Kannur,8,16,55,94,96,114,141,54,578,0,0,0,0,0,0,0,0,0,2,3,1,0,2,2,3,2,15,10,19,56,94,98,116,144,56,593
61,City,Kanpur,97,88,99,125,172,195,217,222,1215,14,6,28,14,15,22,30,14,143,0,0,0,0,0,0,0,0,0,111,94,127,139,187,217,247,236,1358
62,City,Kochi,49,63,352,535,409,476,426,193,2503,1,0,0,1,2,0,2,2,8,3,10,3,3,1,1,3,2,26,53,73,355,539,412,477,431,197,2537
63,City,Kolkata,208,222,292,385,387,335,385,353,2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,222,292,385,387,335,385,353,2567
64,City,Kollam,36,76,217,311,283,338,352,167,1780,2,1,5,5,0,5,1,5,24,0,0,0,0,0,0,0,0,0,38,77,222,316,283,343,353,172,1804
65,City,Kota,8,6,38,68,96,91,99,75,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,38,68,96,91,99,75,481
66,City,Kozhikode,38,64,177,281,218,287,269,133,1467,0,0,0,0,0,0,0,0,0,2,0,2,0,2,6,5,5,22,40,64,179,281,220,293,274,138,1489
67,City,Lucknow,78,89,106,117,97,122,124,125,858,1,1,0,0,0,0,0,1,3,4,5,2,2,1,4,4,2,24,83,95,108,119,98,126,128,128,885
68,City,Ludhiana,20,19,64,62,83,89,150,76,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,64,62,83,89,150,76,563
69,City,Madurai,28,39,105,152,143,149,169,135,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,105,152,143,149,169,135,920
70,City,Malappuram,32,45,89,149,139,176,137,70,837,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,6,32,45,89,149,141,177,139,71,843
