Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
City,Raipur,246,109,54,135,99,27,0,0,0,551,358,64,932,566,145
City,Rajkot,64,59,41,77,62,31,0,0,0,222,167,63,363,288,135
City,Ranchi,0,0,0,0,0,0,0,0,0,183,129,102,183,129,102
City,Srinagar,99,102,14,0,0,0,0,0,0,232,245,26,331,347,40
City,Surat,60,30,38,43,19,22,0,0,0,567,464,212,670,513,272
City,Thiruvananthapuram,489,554,50,256,264,18,0,0,0,693,697,49,1438,1515,117
City,Thrissur,209,225,49,729,777,83,0,0,0,781,873,69,1719,1875,201
City,Tiruchirappalli,165,167,67,9,11,2,0,0,0,225,199,61,399,377,130
City,Vadodara,117,58,72,1,1,0,1,1,1,345,289,73,464,349,146
City,Varanasi,56,42,71,48,26,43,0,0,0,29,18,31,133,86,145
City,Vasai Virar,150,87,83,9,7,5,0,0,0,193,162,62,352,256,150
City,Vijayawada,623,542,177,74,56,17,0,0,0,531,483,93,1228,1081,287
City,Vishakhapatnam,659,424,133,54,33,9,0,0,0,1626,1076,226,2339,1533,368
City,Total (Cities),11915,9670,3884,7195,6201,1791,203,130,109,36129,31522,7600,55442,47523,13384
