Sl. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
16,State,Manipur,21,16,37,2,4,6,10,0,10,11,9,20,3,1,4,1,0,1,2,1,3,11,14,25,11,3,14,0,1,1,0,0,0,0,0,0,4,4,8,0,0,0,76,53,129
17,State,Meghalaya,7,50,57,2,52,54,2,12,14,4,18,22,0,9,9,0,0,0,1,15,16,7,16,23,1,3,4,1,0,1,0,0,0,0,0,0,2,2,4,0,0,0,27,177,204
18,State,Mizoram,18,1,19,0,0,0,1,2,3,25,1,26,0,0,0,0,0,0,1,0,1,10,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4,60
19,State,Nagaland,14,3,17,0,1,1,3,2,5,4,2,6,0,0,0,0,0,0,7,0,7,9,0,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,47
20,State,Odisha,257,613,870,74,310,384,65,135,200,156,314,470,9,82,91,43,96,139,137,207,344,735,654,1389,73,127,200,36,30,66,0,4,4,0,0,0,12,204,216,20,70,90,1617,2846,4463
21,State,Punjab,83,662,745,44,338,382,66,331,397,158,669,827,25,116,141,25,156,181,32,150,182,407,1131,1538,18,131,149,28,71,99,1,4,5,1,32,33,8,275,283,11,104,115,907,4170,5077
22,State,Rajasthan,492,1429,1921,151,522,673,29,294,323,322,1202,1524,260,751,1011,91,541,632,51,138,189,1176,1471,2647,227,674,901,23,48,71,0,0,0,0,8,8,19,439,458,27,80,107,2868,7597,10465
23,State,Sikkim,16,6,22,0,0,0,12,19,31,23,19,42,8,4,12,0,0,0,0,0,0,3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,49,112
24,State,Tamil Nadu,319,1757,2076,234,1906,2140,175,263,438,687,2192,2879,73,253,326,47,186,233,102,264,366,1689,3977,5666,68,2216,2284,7,120,127,0,0,0,0,8,8,46,560,606,7,62,69,3454,13764,17218
25,State,Telangana,185,887,1072,22,359,381,54,222,276,128,724,852,25,148,173,79,522,601,209,622,831,963,1443,2406,91,184,275,11,13,24,0,2,2,0,1,1,0,205,205,33,87,120,1800,5419,7219
26,State,Tripura,4,14,18,1,8,9,0,10,10,8,14,22,5,13,18,0,1,1,2,14,16,22,22,44,2,2,4,2,2,4,0,0,0,0,0,0,0,27,27,0,0,0,46,127,173
27,State,Uttar Pradesh,366,5615,5981,120,1976,2096,125,1038,1163,303,2062,2365,172,770,942,96,737,833,123,828,951,821,3239,4060,8,253,261,0,87,87,0,6,6,0,17,17,0,145,145,0,99,99,2134,16872,19006
28,State,Uttarakhand,85,61,146,25,41,66,11,39,50,91,125,216,21,28,49,13,36,49,13,38,51,155,80,235,4,5,9,9,2,11,0,0,0,0,0,0,2,22,24,1,9,10,430,486,916
29,State,West Bengal,434,1519,1953,156,736,892,52,199,251,154,418,572,31,121,152,50,157,207,52,178,230,661,817,1478,45,260,305,40,62,102,3,2,5,0,0,0,82,135,217,92,194,286,1852,4798,6650
State,State,Total (States),5344,20842,26186,1834,10623,12457,1177,4594,5771,5066,15246,20312,1406,4307,5713,1279,4423,5702,1970,5738,7708,18197,27571,45768,1759,6578,8337,484,898,1382,21,90,111,23,170,193,845,7060,7905,745,1437,2182,40150,109577,149727
30,Union Territory,A & N Islands,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,17
31,Union Territory,Chandigarh,0,26,26,0,16,16,0,2,2,3,57,60,0,7,7,0,1,1,2,4,6,3,21,24,0,8,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,143,151
32,Union Territory,D & N Haveli,1,1,2,0,0,0,0,0,0,1,3,4,0,0,0,3,0,3,0,1,1,16,11,27,0,0,0,1,0,1,0,0,0,0,0,0,0,8,8,0,0,0,22,24,46
33,Union Territory,Daman & Diu,2,5,7,0,0,0,0,1,1,2,2,4,0,0,0,0,0,0,1,2,3,9,2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,27
34,Union Territory,Delhi (UT),21,257,278,5,103,108,3,53,56,51,268,319,0,17,17,2,12,14,6,41,47,117,246,363,12,136,148,14,8,22,0,3,3,0,0,0,1,125,126,0,90,90,232,1359,1591
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,Union Territory,Puducherry,13,0,13,13,6,19,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,153,12,165,4,1,5,4,0,4,0,0,0,0,0,0,6,2,8,12,0,12,220,21,241
Union Territory,Union Territory,Total (UTs),37,291,328,18,127,145,3,56,59,72,330,402,0,24,24,5,13,18,9,50,59,301,301,602,16,146,162,19,8,27,0,4,4,0,0,0,7,135,142,12,90,102,499,1575,2074
Total (All India),Total (All India),Total (All India),5381,21133,26514,1852,10750,12602,1180,4650,5830,5138,15576,20714,1406,4331,5737,1284,4436,5720,1979,5788,7767,18498,27872,46370,1775,6724,8499,503,906,1409,21,94,115,23,170,193,852,7195,8047,757,1527,2284,40649,111152,151801
37,City,Agra,6,242,248,2,24,26,0,33,33,7,38,45,0,16,16,0,0,0,0,29,29,5,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,20,414,434
38,City,Ahmedabad,1,98,99,0,39,39,0,24,24,0,94,94,0,3,3,0,8,8,0,46,46,1,133,134,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,449,451
39,City,Allahabad,7,88,95,4,31,35,12,0,12,7,0,7,1,0,1,0,0,0,10,39,49,27,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,68,184,252
40,City,Amritsar,3,6,9,2,8,10,0,0,0,2,9,11,0,0,0,0,0,0,0,1,1,5,29,34,0,0,0,1,0,1,0,1,1,1,1,2,6,16,22,10,1,11,30,72,102
41,City,Asansol,0,0,0,0,3,3,0,0,0,2,8,10,0,0,0,0,0,0,0,0,0,94,68,162,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,96,123,219
42,City,Aurangabad,0,26,26,0,3,3,0,7,7,0,17,17,0,3,3,0,2,2,1,10,11,21,58,79,0,6,6,0,1,1,0,0,0,0,0,0,0,25,25,0,7,7,22,165,187
43,City,Bengaluru,20,101,121,4,67,71,5,14,19,16,141,157,3,2,5,2,12,14,2,44,46,116,274,390,2,25,27,0,2,2,0,0,0,0,0,0,21,111,132,0,4,4,191,797,988
44,City,Bhopal,10,40,50,7,10,17,3,10,13,5,13,18,6,11,17,0,0,0,3,18,21,8,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,42,122,164
45,City,Chandigarh (City),0,26,26,0,16,16,0,2,2,3,55,58,0,6,6,0,1,1,2,4,6,3,20,23,0,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,138,146
46,City,Chennai,0,188,188,0,143,143,3,0,3,2,285,287,0,1,1,1,1,2,7,31,38,20,438,458,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,1,1,33,1150,1183
47,City,Coimbatore,0,11,11,0,41,41,0,3,3,3,8,11,0,1,1,0,0,0,1,11,12,34,68,102,0,0,0,0,4,4,0,0,0,0,0,0,0,103,103,0,0,0,38,250,288
48,City,Delhi (City),14,205,219,4,75,79,3,44,47,24,192,216,0,17,17,1,5,6,5,26,31,88,174,262,12,104,116,14,8,22,0,3,3,0,0,0,1,96,97,0,76,76,166,1025,1191
49,City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,10,88,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,78,19,97
50,City,Durg Bhilainagar,7,28,35,0,5,5,0,0,0,4,28,32,0,43,43,0,0,0,3,1,4,0,66,66,0,0,0,0,6,6,0,0,0,0,0,0,0,15,15,0,0,0,14,192,206
51,City,Faridabad,1,24,25,0,28,28,0,15,15,2,38,40,0,0,0,0,20,20,0,3,3,4,71,75,0,33,33,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,7,234,241
52,City,Ghaziabad,4,145,149,4,54,58,5,16,21,5,61,66,0,6,6,1,10,11,4,6,10,12,4,16,2,3,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,39,305,344
53,City,Gwalior,6,14,20,2,8,10,2,9,11,3,13,16,0,3,3,3,10,13,2,8,10,17,18,35,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,87,122
54,City,Hyderabad,0,25,25,0,44,44,0,0,0,0,59,59,0,0,0,0,0,0,1,3,4,43,184,227,0,39,39,0,0,0,0,0,0,0,0,0,0,48,48,0,2,2,44,404,448
55,City,Indore,0,29,29,0,10,10,0,8,8,0,10,10,0,1,1,0,4,4,0,18,18,0,83,83,0,15,15,0,8,8,0,0,0,0,0,0,0,99,99,0,0,0,0,285,285
56,City,Jabalpur,24,10,34,11,2,13,3,0,3,27,0,27,12,0,12,9,4,13,7,0,7,40,8,48,0,0,0,0,0,0,0,0,0,0,0,0,3,23,26,0,0,0,136,47,183
57,City,Jaipur,18,100,118,3,34,37,0,3,3,4,77,81,51,89,140,0,9,9,5,15,20,171,96,267,9,61,70,13,0,13,0,0,0,0,0,0,12,93,105,0,27,27,286,604,890
58,City,Jamshedpur,4,14,18,2,3,5,1,2,3,1,4,5,1,1,2,1,1,2,2,2,4,16,16,32,0,0,0,3,1,4,0,0,0,0,0,0,0,2,2,0,0,0,31,46,77
59,City,Jodhpur,9,5,14,5,29,34,0,0,0,13,36,49,11,21,32,0,0,0,0,1,1,67,43,110,4,14,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,110,149,259
60,City,Kannur,0,0,0,0,0,0,0,0,0,2,7,9,0,0,0,0,0,0,0,1,1,1,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,1,1,3,49,52
61,City,Kanpur,3,150,153,0,58,58,3,7,10,7,76,83,3,28,31,0,13,13,8,81,89,17,39,56,0,3,3,0,2,2,0,0,0,0,0,0,0,3,3,0,2,2,41,462,503
62,City,Kochi,0,26,26,0,20,20,0,3,3,0,17,17,0,0,0,0,0,0,0,3,3,0,40,40,0,1,1,0,9,9,0,1,1,0,0,0,0,49,49,0,0,0,0,169,169
63,City,Kolkata,3,81,84,1,82,83,0,0,0,6,35,41,0,0,0,0,0,0,2,7,9,21,76,97,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,33,313,346
64,City,Kollam,0,0,0,0,2,2,0,4,4,0,8,8,0,0,0,0,0,0,0,5,5,0,120,120,0,0,0,0,13,13,0,0,0,0,0,0,0,55,55,0,0,0,0,207,207
65,City,Kota,0,0,0,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,3,0,3,51,11,62,2,0,2,2,0,2,0,0,0,0,0,0,0,21,21,0,0,0,64,38,102
66,City,Kozhikode,0,2,2,0,0,0,0,0,0,0,4,4,0,1,1,0,0,0,0,3,3,8,70,78,0,0,0,0,4,4,0,0,0,0,0,0,0,53,53,0,0,0,8,137,145
67,City,Lucknow,3,171,174,0,53,53,0,0,0,5,93,98,0,10,10,1,10,11,3,13,16,0,16,16,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,12,370,382
68,City,Ludhiana,10,74,84,1,23,24,1,14,15,4,68,72,3,7,10,1,9,10,1,4,5,40,26,66,3,17,20,1,1,2,0,0,0,0,1,1,5,35,40,0,35,35,70,314,384
69,City,Madurai,0,25,25,0,49,49,0,0,0,0,32,32,0,1,1,0,1,1,0,16,16,0,58,58,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,222
70,City,Malappuram,1,2,3,1,0,1,1,0,1,1,5,6,0,2,2,0,0,0,3,6,9,6,48,54,0,0,0,0,1,1,0,0,0,0,0,0,0,31,31,0,0,0,13,95,108
71,City,Meerut,0,68,68,0,39,39,0,14,14,2,51,53,0,2,2,0,8,8,2,5,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,4,201,205
72,City,Mumbai,0,106,106,0,37,37,1,10,11,6,130,136,0,2,2,0,0,0,5,22,27,115,111,226,0,13,13,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,127,450,577
73,City,Nagpur,32,65,97,7,6,13,5,6,11,24,29,53,0,3,3,0,1,1,6,4,10,56,93,149,7,9,16,0,8,8,0,1,1,0,1,1,0,21,21,0,12,12,137,259,396
74,City,Nasik,3,0,3,0,1,1,1,0,1,2,8,10,0,4,4,0,2,2,2,1,3,38,107,145,0,0,0,0,4,4,0,1,1,0,0,0,0,68,68,0,0,0,46,196,242
75,City,Patna,1,85,86,2,34,36,0,0,0,6,18,24,4,26,30,2,8,10,3,20,23,22,55,77,0,0,0,17,0,17,0,0,0,0,0,0,0,20,20,0,0,0,57,266,323
76,City,Pune,5,91,96,2,46,48,2,24,26,20,88,108,3,6,9,0,8,8,4,12,16,72,120,192,0,12,12,1,2,3,0,0,0,0,0,0,5,10,15,0,0,0,114,419,533
77,City,Raipur,34,15,49,1,6,7,4,2,6,2,3,5,1,0,1,0,2,2,1,1,2,44,8,52,9,17,26,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,96,57,153
78,City,Rajkot,6,15,21,2,9,11,0,0,0,14,24,38,0,0,0,0,5,5,7,12,19,15,19,34,3,5,8,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,47,107,154
79,City,Ranchi,5,30,35,8,50,58,0,0,0,9,0,9,7,0,7,4,0,4,23,0,23,33,0,33,8,0,8,12,0,12,3,0,3,7,0,7,1,8,9,0,12,12,120,100,220
80,City,Srinagar,4,0,4,1,0,1,2,31,33,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,35,51
81,City,Surat,0,35,35,0,14,14,0,9,9,0,32,32,0,2,2,0,0,0,1,14,15,12,102,114,0,0,0,0,5,5,0,0,0,0,0,0,0,59,59,0,0,0,13,272,285
82,City,Thiruvananthapuram,0,14,14,0,23,23,0,3,3,0,25,25,0,0,0,0,0,0,0,11,11,0,46,46,0,4,4,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,180,180
83,City,Thrissur,0,2,2,1,0,1,0,0,0,0,3,3,0,0,0,0,0,0,1,3,4,4,63,67,1,1,2,0,10,10,0,0,0,0,0,0,0,39,39,0,0,0,7,121,128
84,City,Tiruchirappalli,0,23,23,0,32,32,0,0,0,0,3,3,0,0,0,0,0,0,2,2,4,15,24,39,3,40,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,124,144
85,City,Vadodara,1,17,18,0,5,5,0,8,8,1,29,30,0,2,2,0,1,1,2,3,5,20,58,78,0,0,0,1,11,12,0,0,0,0,0,0,0,55,55,0,0,0,25,189,214
86,City,Varanasi,9,69,78,4,9,13,0,3,3,14,10,24,4,2,6,0,0,0,1,8,9,7,12,19,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,115,154
87,City,Vasai Virar,12,22,34,0,5,5,7,16,23,8,19,27,0,1,1,0,2,2,2,2,4,19,42,61,4,5,9,0,0,0,0,0,0,0,0,0,2,2,4,12,0,12,66,116,182
88,City,Vijayawada,1,114,115,0,3,3,0,0,0,6,71,77,0,1,1,2,13,15,0,26,26,10,98,108,0,24,24,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,19,360,379
89,City,Vishakhapatnam,3,69,72,1,21,22,0,3,3,1,24,25,2,3,5,0,1,1,2,30,32,51,114,165,2,10,12,0,1,1,0,0,0,0,0,0,0,7,7,4,3,7,66,286,352
City,City,Total (Cities),270,2796,3066,82,1304,1386,64,347,411,276,2104,2380,112,327,439,28,171,199,139,631,770,1556,3527,5083,71,517,588,67,105,172,3,9,12,8,4,12,57,1464,1521,26,184,210,2759,13490,16249
