Sl. No.,Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
11,State,Jharkhand,179,23,0,202,243,45,0,288,119,16,0,135,72,4,0,76,73,14,0,87,300,51,0,351,986,153,0,1139,297,43,0,340,411,76,0,487,227,21,0,248,359,18,0,377,114,5,0,119,85,17,0,102,188,27,0,215,1681,207,0,1888,2667,360,0,3027
12,State,Karnataka,177,35,0,212,865,147,1,1013,234,39,0,273,22,1,0,23,153,14,0,167,4097,578,0,4675,5548,814,1,6363,198,29,0,227,1173,183,0,1356,283,62,0,345,148,20,0,168,237,27,0,264,284,61,0,345,1885,333,0,2218,4208,715,0,4923,9756,1529,1,11286
13,State,Kerala,159,33,0,192,624,130,0,754,155,40,0,195,61,3,0,64,33,4,0,37,998,192,0,1190,2030,402,0,2432,103,20,0,123,537,81,0,618,103,28,0,131,75,15,0,90,65,12,0,77,131,40,0,171,539,106,0,645,1553,302,0,1855,3583,704,0,4287
14,State,Madhya Pradesh,351,51,0,402,1858,297,0,2155,303,51,0,354,103,33,0,136,202,35,0,237,2119,352,0,2471,4936,819,0,5755,274,49,0,323,1116,186,0,1302,319,47,0,366,97,16,0,113,146,25,0,171,114,27,0,141,1448,242,0,1690,3514,592,0,4106,8450,1411,0,9861
15,State,Maharashtra,210,44,0,254,1123,179,0,1302,167,36,0,203,41,10,0,51,183,35,0,218,5337,739,0,6076,7061,1043,0,8104,210,35,0,245,1489,268,0,1757,275,53,0,328,98,15,0,113,279,36,0,315,368,76,0,444,2065,311,0,2376,4784,794,0,5578,11845,1837,0,13682
16,State,Manipur,10,3,0,13,60,7,0,67,0,0,0,0,0,0,0,0,7,0,0,7,11,0,0,11,88,10,0,98,2,0,0,2,13,0,0,13,2,0,0,2,0,0,0,0,1,0,0,1,10,1,0,11,2,0,0,2,30,1,0,31,118,11,0,129
17,State,Meghalaya,12,0,0,12,99,11,0,110,6,1,0,7,2,0,0,2,4,1,0,5,10,4,0,14,133,17,0,150,8,3,0,11,24,7,0,31,1,1,0,2,3,0,0,3,0,0,0,0,1,0,0,1,3,3,0,6,40,14,0,54,173,31,0,204
18,State,Mizoram,0,0,0,0,17,4,0,21,0,0,0,0,0,0,0,0,1,0,0,1,19,5,0,24,37,9,0,46,0,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,4,0,8,9,5,0,14,46,14,0,60
19,State,Nagaland,4,1,0,5,12,3,0,15,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,19,4,0,23,2,1,0,3,16,1,0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,22,2,0,24,41,6,0,47
20,State,Odisha,145,32,0,177,346,70,0,416,68,17,0,85,85,12,0,97,50,13,0,63,1679,207,0,1886,2373,351,0,2724,144,24,0,168,156,34,0,190,53,10,0,63,19,3,0,22,38,6,0,44,100,17,0,117,1052,83,0,1135,1562,177,0,1739,3935,528,0,4463
21,State,Punjab,252,35,0,287,985,145,0,1130,169,32,0,201,134,16,0,150,173,14,0,187,1017,104,0,1121,2730,346,0,3076,192,33,0,225,548,97,0,645,127,20,0,147,100,9,0,109,191,34,0,225,161,10,0,171,448,31,0,479,1767,234,0,2001,4497,580,0,5077
22,State,Rajasthan,188,31,0,219,1047,194,0,1241,78,20,0,98,39,6,0,45,148,25,0,173,5109,714,0,5823,6609,990,0,7599,131,29,0,160,523,96,0,619,82,10,0,92,36,7,0,43,58,10,0,68,21,14,0,35,1628,221,0,1849,2479,387,0,2866,9088,1377,0,10465
23,State,Sikkim,8,0,0,8,18,4,0,22,4,2,0,6,2,0,0,2,20,1,0,21,24,1,0,25,76,8,0,84,1,1,0,2,5,2,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,5,0,18,20,8,0,28,96,16,0,112
24,State,Tamil Nadu,567,169,0,736,1020,417,0,1437,204,164,0,368,468,72,0,540,842,145,0,987,7473,425,0,7898,10574,1392,0,11966,340,131,0,471,526,213,0,739,247,234,0,481,431,131,0,562,354,82,0,436,327,156,0,483,1777,303,0,2080,4002,1250,0,5252,14576,2642,0,17218
25,State,Telangana,195,49,0,244,617,101,0,718,177,31,0,208,375,53,0,428,100,17,0,117,1648,171,0,1819,3112,422,0,3534,384,55,0,439,637,121,0,758,269,49,0,318,648,93,0,741,421,45,0,466,93,18,0,111,739,113,0,852,3191,494,0,3685,6303,916,0,7219
26,State,Tripura,5,1,0,6,34,6,0,40,5,0,0,5,3,0,0,3,2,1,0,3,43,12,0,55,92,20,0,112,4,1,0,5,12,5,0,17,5,0,0,5,2,0,0,2,18,2,0,20,4,4,0,8,3,1,0,4,48,13,0,61,140,33,0,173
27,State,Uttar Pradesh,1577,288,0,1865,4357,788,1,5146,641,129,0,770,200,26,0,226,483,86,0,569,3431,578,0,4009,10689,1895,1,12585,593,147,0,740,2080,450,0,2530,275,62,0,337,150,32,0,182,360,71,0,431,129,26,0,155,1801,245,0,2046,5388,1033,0,6421,16077,2928,1,19006
28,State,Uttarakhand,33,9,0,42,87,19,0,106,15,4,0,19,10,4,0,14,5,1,0,6,126,37,0,163,276,74,0,350,40,12,0,52,93,13,0,106,59,4,0,63,23,4,0,27,52,0,0,52,20,2,0,22,219,25,0,244,506,60,0,566,782,134,0,916
