Sl. No,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total
38,City,AHMEDABAD,6,59,65,7,50,57,1,3,4,16,71,87,0,4,4,0,4,4,6,35,41,31,70,101,1,21,22,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,68,319,387
39,City,ALLAHABAD,0,170,170,0,15,15,0,88,88,0,80,80,0,13,13,0,59,59,0,2,2,0,113,113,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,547
40,City,AMRITSAR,0,23,23,0,13,13,0,8,8,0,10,10,0,0,0,0,4,4,0,0,0,0,2,2,0,18,18,0,0,0,0,0,0,0,2,2,0,19,19,0,0,0,0,99,99
41,City,ASANSOL,14,0,14,2,0,2,0,0,0,21,0,21,0,0,0,0,0,0,3,0,3,168,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,208,10,218
42,City,AURANGABAD,0,19,19,0,5,5,0,11,11,0,15,15,2,11,13,0,2,2,0,11,11,22,98,120,0,0,0,0,1,1,0,0,0,0,0,0,0,11,11,0,0,0,24,184,208
43,City,BENGALURU,26,95,121,27,74,101,1,16,17,33,63,96,0,4,4,1,5,6,7,8,15,125,197,322,28,42,70,0,0,0,0,0,0,0,0,0,0,85,85,6,47,53,254,636,890
44,City,BHOPAL,3,4,7,2,20,22,0,0,0,4,39,43,1,3,4,0,0,0,0,4,4,5,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,87,102
45,City,CHANDIGARH (CITY),0,21,21,0,10,10,0,4,4,3,33,36,0,2,2,0,2,2,0,6,6,0,34,34,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,124,127
46,City,CHENNAI,5,111,116,9,108,117,2,85,87,5,64,69,0,1,1,0,0,0,8,18,26,32,229,261,2,197,199,0,2,2,0,0,0,0,0,0,0,2,2,6,0,6,69,817,886
47,City,COIMBATORE,0,40,40,0,34,34,0,17,17,2,28,30,0,4,4,0,1,1,0,5,5,23,66,89,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,220,245
