Category,State/UT/City,Truck/Lorry_Offenders,Truck/Lorry_Victims,Truck/Lorry_Total ,Bus_Offenders,Bus_Victims,Bus_Total ,SUV/Station Wagon/etc._Offenders,SUV/Station Wagon/etc._Victims,SUV/Station Wagon/etc._Total ,Car_Offenders,Car_Victims,Car_Total ,Jeep_Offenders,Jeep_Victims,Jeep_Total ,Tractor_Offenders,Tractor_Victims,Tractor_Total ,Three Wheeler/Auto Rickshaw_Offenders,Three Wheeler/Auto Rickshaw_Victims,Three Wheeler/Auto Rickshaw_Total ,Two Wheeler_Offenders,Two Wheeler_Victims,Two Wheeler_Total ,Other Motor Vehicles_Offenders,Other Motor Vehicles_Victims,Other Motor Vehicles_Total ,Bicycle_Offenders,Bicycle_Victims,Bicycle_Total ,Hand Drawn Vehicle/ Cycle Rickshaw_Offenders,Hand Drawn Vehicle/ Cycle Rickshaw_Victims,Hand Drawn Vehicle/ Cycle Rickshaw_Total ,Animal Drawn Vehicle_Offenders,Animal Drawn Vehicle_Victims,Animal Drawn Vehicle_Total ,Pedestrian_Offenders,Pedestrian_Victims,Pedestrian_Total ,Others_Offenders,Others_Victims,Others_Total ,Grand Total_Offenders,Grand Total_Victims,Grand Total_Total 
State,JHARKHAND,250,172,422,66,112,178,59,102,161,323,234,557,53,78,131,32,0,32,112,139,251,1182,767,1949,1,2,3,33,3,36,16,0,16,0,0,0,15,50,65,0,0,0,2142,1659,3801
State,KARNATAKA,388,575,963,124,435,559,24,45,69,636,1112,1748,97,69,166,88,126,214,184,350,534,2955,1991,4946,41,101,142,36,7,43,0,0,0,0,21,21,109,1179,1288,80,178,258,4762,6189,10951
State,KERALA,55,216,271,33,200,233,5,27,32,71,343,414,6,37,43,0,4,4,29,200,229,276,1839,2115,2,35,37,1,79,80,0,0,0,0,0,0,6,896,902,0,10,10,484,3886,4370
State,MADHYA PRADESH,439,1186,1625,144,443,587,126,450,576,409,1069,1478,98,288,386,186,515,701,71,259,330,1895,2837,4732,63,304,367,37,39,76,3,0,3,8,6,14,137,692,829,44,108,152,3660,8196,11856
State,MAHARASHTRA,504,1308,1812,94,366,460,76,242,318,540,1099,1639,175,305,480,84,202,286,138,369,507,3367,3770,7137,55,113,168,79,83,162,0,1,1,0,7,7,91,1398,1489,70,72,142,5273,9335,14608
State,MANIPUR,12,20,32,0,2,2,0,4,4,14,19,33,0,1,1,0,0,0,3,3,6,20,28,48,1,0,1,0,6,6,0,0,0,0,0,0,5,17,22,0,1,1,55,101,156
State,MEGHALAYA,22,19,41,3,3,6,10,8,18,19,23,42,1,3,4,1,0,1,3,7,10,25,21,46,1,1,2,1,0,1,0,0,0,0,0,0,1,4,5,0,0,0,87,89,176
State,MIZORAM,4,9,13,2,0,2,5,0,5,19,3,22,1,0,1,0,0,0,1,0,1,15,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,16,63
State,NAGALAND,8,5,13,0,0,0,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,22
State,ODISHA,242,388,630,41,219,260,38,68,106,182,312,494,42,30,72,17,34,51,65,152,217,1513,798,2311,61,86,147,86,43,129,4,0,4,0,0,0,304,254,558,122,232,354,2717,2616,5333
State,PUNJAB,20,440,460,16,208,224,76,227,303,102,835,937,6,55,61,11,80,91,15,93,108,390,1353,1743,4,127,131,38,107,145,6,31,37,3,30,33,31,303,334,0,6,6,718,3895,4613
State,RAJASTHAN,484,993,1477,113,414,527,200,297,497,491,1219,1710,153,386,539,81,305,386,58,173,231,1725,1779,3504,131,570,701,19,14,33,1,0,1,18,6,24,0,785,785,37,111,148,3511,7052,10563
State,SIKKIM,15,3,18,0,0,0,5,9,14,29,5,34,1,3,4,0,0,0,0,0,0,8,2,10,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,62,22,84
State,TAMIL NADU,430,1233,1663,239,896,1135,74,211,285,538,870,1408,34,77,111,19,100,119,155,141,296,2254,1283,3537,30,667,697,133,97,230,0,0,0,0,0,0,310,734,1044,0,0,0,4216,6309,10525
State,TELANGANA,198,657,855,46,269,315,53,275,328,221,664,885,17,57,74,70,173,243,94,574,668,1325,1860,3185,0,0,0,0,47,47,0,4,4,0,2,2,0,358,358,0,0,0,2024,4940,6964
State,TRIPURA,16,22,38,1,5,6,2,2,4,2,14,16,7,14,21,0,0,0,6,14,20,25,61,86,1,0,1,0,4,4,0,0,0,0,0,0,0,43,43,0,0,0,60,179,239
State,UTTAR PRADESH,1166,4106,5272,517,1440,1957,420,1214,1634,749,2606,3355,383,446,829,188,618,806,463,1055,1518,2066,4365,6431,101,376,477,53,163,216,15,22,37,7,17,24,18,205,223,285,221,506,6431,16854,23285
State,UTTARAKHAND,55,102,157,21,48,69,11,18,29,93,79,172,23,23,46,2,30,32,6,10,16,120,146,266,0,0,0,0,25,25,0,0,0,0,0,0,0,55,55,0,0,0,331,536,867
State,WEST BENGAL,430,1139,1569,104,363,467,110,162,272,206,491,697,3,17,20,91,141,232,56,124,180,468,850,1318,94,153,247,14,40,54,0,16,16,0,0,0,15,431,446,33,173,206,1624,4100,5724
State,TOTAL (STATES),6616,15834,22450,2312,6803,9115,1819,4324,6143,6535,14278,20813,1534,2325,3859,1393,3048,4441,2231,4983,7214,27427,30725,58152,811,3169,3980,859,1111,1970,92,116,208,71,123,194,1706,10080,11786,846,1704,2550,54252,98623,152875
UT,A & NISLANDS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,20,20
UT,CHANDIGARH,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,7,0,46,46,0,0,0,0,10,10,0,1,1,0,0,0,0,36,36,0,0,0,0,104,104
UT,D & N HAVELI,0,23,23,0,1,1,0,0,0,0,4,4,0,0,0,0,1,1,0,5,5,3,7,10,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,46,49
UT,DAMAN & DIU,2,5,7,0,0,0,0,0,0,1,7,8,0,0,0,0,1,1,1,0,1,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,19,29
UT,DELHI (UT),24,130,154,9,61,70,16,29,45,121,236,357,1,14,15,1,7,8,17,38,55,156,299,455,15,100,115,3,11,14,0,3,3,0,0,0,4,75,79,42,96,138,409,1099,1508
UT,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,PUDUCHERRY,1,0,1,5,0,5,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,62,0,62,0,0,0,6,0,6,0,0,0,0,0,0,52,0,52,9,0,9,147,0,147
UT,TOTAL (UTs),27,160,187,14,63,77,16,29,45,134,249,383,1,14,15,1,9,10,18,50,68,227,368,595,15,103,118,9,21,30,0,4,4,0,0,0,56,119,175,51,99,150,569,1288,1857
TOTAL (ALL INDIA),TOTAL (ALL INDIA),6643,15994,22637,2326,6866,9192,1835,4353,6188,6669,14527,21196,1535,2339,3874,1394,3057,4451,2249,5033,7282,27654,31093,58747,826,3272,4098,868,1132,2000,92,120,212,71,123,194,1762,10199,11961,897,1803,2700,54821,99911,154732
City,AGRA,4,93,97,0,13,13,1,22,23,1,66,67,0,0,0,1,6,7,0,16,16,1,91,92,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,308,316
City,AHMEDABAD,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,10,9,19,170,177,347,0,0,0,0,14,14,0,0,0,0,0,0,0,53,53,0,0,0,184,255,439
City,ALLAHABAD,21,26,47,12,21,33,5,9,14,11,22,33,1,3,4,1,5,6,11,17,28,20,16,36,17,15,32,0,9,9,0,8,8,0,0,0,5,10,15,11,7,18,115,168,283
City,AMRITSAR,0,3,3,0,4,4,0,0,0,1,17,18,0,0,0,0,0,0,0,7,7,7,48,55,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8,87,95
City,ASANSOL,0,0,0,0,0,0,0,0,0,2,60,62,0,0,0,0,0,0,0,0,0,14,80,94,0,0,0,0,19,19,0,0,0,0,0,0,0,139,139,0,0,0,16,298,314
City,AURANGABAD,0,43,43,0,12,12,0,8,8,1,24,25,0,7,7,0,4,4,0,6,6,10,67,77,1,2,3,0,1,1,0,1,1,0,1,1,0,36,36,0,2,2,12,214,226
City,BENGALURU,2,2,4,0,1,1,0,0,0,14,16,30,0,0,0,0,0,0,7,9,16,340,77,417,0,12,12,13,0,13,0,0,0,0,0,0,0,272,272,2,1,3,378,390,768
City,BHOPAL,0,10,10,0,5,5,0,0,0,0,20,20,0,0,0,0,2,2,0,4,4,0,56,56,0,11,11,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,123,123
City,CHANDIGARH (CITY),0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,7,0,46,46,0,0,0,0,10,10,0,1,1,0,0,0,0,36,36,0,0,0,0,104,104
City,CHENNAI,222,0,222,101,0,101,11,0,11,191,0,191,0,0,0,0,0,0,44,0,44,514,0,514,0,0,0,43,0,43,0,0,0,0,0,0,126,0,126,0,0,0,1252,0,1252
City,COIMBATORE,0,28,28,0,24,24,0,5,5,2,5,7,0,0,0,0,0,0,0,2,2,12,42,54,0,0,0,0,3,3,0,0,0,0,0,0,0,9,9,0,0,0,14,118,132
City,DELHI (CITY),24,130,154,9,61,70,16,29,45,108,227,335,1,14,15,1,7,8,17,38,55,126,278,404,13,96,109,3,11,14,0,3,3,0,0,0,4,68,72,36,80,116,358,1042,1400
City,DHANBAD,2,0,2,1,0,1,0,0,0,12,0,12,1,0,1,0,0,0,9,0,9,87,0,87,0,0,0,12,0,12,0,0,0,0,0,0,3,0,3,0,0,0,127,0,127
City,DURG BHILAINAGAR,1,20,21,0,2,2,0,0,0,0,10,10,0,4,4,0,0,0,0,4,4,11,36,47,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,12,81,93
City,FARIDABAD,0,10,10,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,8,8,0,77,77,0,0,0,0,17,17,0,0,0,0,0,0,0,117,117,0,67,67,0,311,311
City,GHAZIABAD,0,50,50,0,43,43,0,12,12,0,55,55,0,0,0,0,8,8,0,10,10,0,10,10,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201
City,GWALIOR,1,7,8,0,5,5,3,2,5,7,21,28,0,1,1,1,4,5,1,7,8,9,57,66,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,104,128
City,HYDERABAD,3,8,11,1,7,8,1,0,1,12,18,30,0,0,0,0,0,0,5,8,13,79,99,178,0,0,0,0,5,5,0,0,0,0,0,0,0,25,25,0,0,0,101,170,271
City,INDORE,0,99,99,0,17,17,0,11,11,0,37,37,0,2,2,0,3,3,0,4,4,0,107,107,0,8,8,0,1,1,0,0,0,0,0,0,0,3,3,0,5,5,0,297,297
City,JABALPUR,0,0,0,6,0,6,0,0,0,21,32,53,0,0,0,0,0,0,6,19,25,65,36,101,0,0,0,14,10,24,0,0,0,0,0,0,0,0,0,0,0,0,112,97,209
City,JAIPUR,29,27,56,8,10,18,0,0,0,57,57,114,5,1,6,6,4,10,0,2,2,149,108,257,33,77,110,3,2,5,1,0,1,0,0,0,0,142,142,0,0,0,291,430,721
City,JAMSHEDPUR,2,12,14,1,2,3,0,0,0,2,3,5,0,0,0,0,0,0,8,4,12,7,40,47,0,0,0,6,0,6,0,0,0,0,0,0,0,5,5,0,0,0,26,66,92
City,JODHPUR,11,18,29,0,4,4,2,2,4,17,49,66,2,49,51,0,0,0,0,0,0,71,22,93,0,10,10,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,105,155,260
City,KANNUR,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,1,2,3,8,31,39,0,0,0,0,2,2,0,0,0,0,0,0,0,30,30,0,0,0,9,73,82
City,KANPUR,2,9,11,0,46,46,0,104,104,5,110,115,0,2,2,0,1,1,6,149,155,4,130,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,551,568
City,KOCHI,7,28,35,3,13,16,1,3,4,4,5,9,0,1,1,0,0,0,1,6,7,15,56,71,0,0,0,0,3,3,0,0,0,0,0,0,0,9,9,0,0,0,31,124,155
City,KOLKATA,0,80,80,0,95,95,0,2,2,0,26,26,0,0,0,0,0,0,0,10,10,0,51,51,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,267
City,KOLLAM,0,1,1,0,2,2,0,0,0,0,5,5,0,0,0,0,0,0,0,2,2,2,131,133,0,3,3,0,11,11,0,0,0,0,0,0,0,68,68,0,0,0,2,223,225
City,KOTA,2,2,4,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,1,1,2,43,13,56,1,0,1,5,0,5,0,0,0,0,0,0,0,19,19,0,0,0,56,40,96
City,KOZHIKODE,3,14,17,1,21,22,0,1,1,1,14,15,0,0,0,0,0,0,0,6,6,11,63,74,0,1,1,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,16,163,179
City,LUCKNOW,46,72,118,17,10,27,5,4,9,10,32,42,8,8,16,1,9,10,13,10,23,51,31,82,7,9,16,2,2,4,0,0,0,0,0,0,2,1,3,10,0,10,172,188,360
City,LUDHIANA,4,101,105,0,12,12,1,17,18,5,40,45,0,8,8,4,8,12,4,6,10,55,18,73,0,62,62,6,0,6,0,0,0,0,0,0,14,0,14,0,0,0,93,272,365
City,MADURAI,16,0,16,29,0,29,5,0,5,17,0,17,0,0,0,0,0,0,14,0,14,77,0,77,13,0,13,8,0,8,0,0,0,0,0,0,14,0,14,0,0,0,193,0,193
City,MALAPPURAM,1,6,7,0,1,1,0,0,0,4,14,18,0,2,2,0,0,0,4,12,16,13,63,76,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,22,127,149
City,MEERUT,8,39,47,8,22,30,11,24,35,4,15,19,0,0,0,0,1,1,3,8,11,31,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,121,186
City,MUMBAI,16,71,87,5,24,29,1,5,6,23,92,115,0,4,4,0,0,0,13,29,42,69,120,189,0,0,0,3,0,3,0,0,0,0,0,0,0,8,8,0,0,0,130,353,483
City,NAGPUR,0,81,81,0,15,15,0,1,1,0,23,23,0,7,7,0,0,0,0,9,9,0,122,122,0,0,0,0,2,2,0,0,0,0,0,0,0,10,10,0,0,0,0,270,270
City,NASIK,0,0,0,4,0,4,2,0,2,8,0,8,7,0,7,0,0,0,0,0,0,159,0,159,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,189
City,PATNA,0,23,23,0,24,24,1,18,19,1,2,3,0,0,0,0,0,0,6,3,9,54,58,112,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,64,128,192
City,PUNE,48,26,74,11,7,18,0,0,0,16,9,25,1,2,3,1,0,1,3,1,4,61,28,89,1,0,1,0,1,1,0,0,0,0,0,0,8,0,8,3,0,3,153,74,227
City,RAIPUR,2,1,3,1,0,1,3,2,5,5,1,6,0,0,0,1,2,3,1,0,1,56,19,75,1,0,1,0,5,5,0,0,0,0,0,0,0,42,42,0,0,0,70,72,142
City,RAJKOT,2,6,8,2,1,3,0,0,0,6,12,18,0,0,0,0,9,9,3,9,12,12,67,79,2,9,11,0,2,2,0,0,0,0,0,0,0,28,28,0,0,0,27,143,170
City,RANCHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,233
City,SRINAGAR,0,2,2,0,3,3,0,8,8,0,16,16,0,0,0,0,0,0,0,0,0,4,7,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41,45
City,SURAT,1,26,27,0,10,10,0,0,0,0,23,23,0,0,0,0,1,1,0,7,7,30,112,142,0,0,0,0,4,4,0,0,0,0,0,0,0,78,78,0,0,0,31,261,292
City,THIRUVANANTHAPURAM,2,1,3,2,19,21,1,2,3,2,14,16,0,0,0,0,0,0,4,8,12,20,50,70,0,0,0,0,2,2,0,0,0,0,0,0,2,31,33,0,0,0,33,127,160
City,THRISSUR,0,0,0,0,2,2,0,0,0,0,9,9,0,1,1,0,1,1,0,13,13,0,104,104,0,3,3,0,10,10,0,0,0,0,0,0,0,70,70,0,0,0,0,213,213
City,TIRUCHIRAPPALLI,21,0,21,11,4,15,0,4,4,11,0,11,0,0,0,0,0,0,3,0,3,25,9,34,0,0,0,4,0,4,0,0,0,0,0,0,12,0,12,0,0,0,87,17,104
City,VADODARA,1,5,6,0,3,3,0,1,1,1,12,13,0,1,1,0,0,0,4,4,8,14,63,77,0,0,0,0,2,2,0,0,0,0,0,0,0,47,47,0,0,0,20,138,158
City,VARANASI,0,7,7,0,2,2,0,8,8,0,3,3,0,1,1,0,0,0,0,1,1,3,49,52,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,73,76
City,VASAI VIRAR,8,13,21,1,7,8,10,17,27,4,4,8,0,0,0,0,0,0,0,3,3,51,29,80,6,0,6,0,2,2,0,0,0,0,0,0,0,11,11,0,0,0,80,86,166
City,VIJAYAWADA,1,3,4,0,1,1,1,5,6,3,14,17,0,0,0,1,3,4,0,6,6,17,184,201,0,0,0,0,16,16,0,2,2,0,2,2,0,96,96,0,0,0,23,332,355
City,VISHAKHAPATNAM,50,10,60,14,2,16,3,1,4,11,9,20,3,1,4,4,0,4,11,7,18,58,77,135,5,8,13,1,4,5,1,0,1,0,0,0,20,20,40,0,0,0,181,139,320
City,TOTAL (CITIES),563,1215,1778,248,577,825,84,327,411,608,1275,1883,29,119,148,22,78,100,213,493,706,2868,3267,6135,109,348,457,129,175,304,2,15,17,0,3,3,210,1580,1790,62,163,225,5147,9635,14782
