Sl. No.,Category,State/UT/City,Road Accidents - 2014,Road Accidents - 2015,Road Accidents - % Var.,Railway Accidents - 2014,Railway Accidents - 2015,Railway Accidents - % Var.,Railway Crossing Accidents - 2014,Railway Crossing Accidents - 2015,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2014,Total Traffic Accidents - 2015,Total Traffic Accidents - % Var.,% Share
44,City,BHOPAL,3098,561,-81.9,0,0,NA,89,68,-23.6,3187,629,-80.3,0.8
45,City,CHANDIGARH (CITY),348,407,17,0,0,NA,0,0,NA,348,407,17,0.5
46,City,CHENNAI,9465,7328,-22.6,0,0,NA,0,0,NA,9465,7328,-22.6,9.1
47,City,COIMBATORE,1594,1513,-5.1,0,0,NA,0,0,NA,1594,1513,-5.1,1.9
48,City,DELHI (CITY),7191,7148,-0.6,914,938,2.6,11,16,45.5,8116,8102,-0.2,10
49,City,DHANBAD,106,114,7.5,0,0,NA,0,0,NA,106,114,7.5,0.1
50,City,DURG BHILAINAGAR,191,941,392.7,46,20,-56.5,0,0,NA,237,961,305.5,1.2
51,City,FARIDABAD,594,693,16.7,0,0,NA,0,0,NA,594,693,16.7,0.9
52,City,GHAZIABAD,300,643,114.3,68,158,132.4,32,10,-68.8,400,811,102.8,1
53,City,GWALIOR,1275,1606,26,28,29,3.6,0,0,NA,1303,1635,25.5,2
54,City,HYDERABAD,2908,2761,-5.1,3,0,-100,0,0,NA,2911,2761,-5.2,3.4
55,City,INDORE,298,224,-24.8,28,17,-39.3,6,0,-100,332,241,-27.4,0.3
56,City,JABALPUR,136,142,4.4,76,47,-38.2,0,0,NA,212,189,-10.8,0.2
57,City,JAIPUR,3085,3151,2.1,0,0,NA,0,0,NA,3085,3151,2.1,3.9
58,City,JAMSHEDPUR,238,226,-5,2,0,-100,0,0,NA,240,226,-5.8,0.3
59,City,JODHPUR,553,678,22.6,0,0,NA,1,0,-100,554,678,22.4,0.8
60,City,KANNUR,570,624,9.5,23,20,-13,0,0,NA,593,644,8.6,0.8
61,City,KANPUR,410,1051,156.3,52,131,151.9,0,11,NA,462,1193,158.2,1.5
62,City,KOCHI,2257,2561,13.5,26,28,7.7,0,0,NA,2283,2589,13.4,3.2
63,City,KOLKATA,4789,4981,4,0,0,NA,0,0,NA,4789,4981,4,6.2
64,City,KOLLAM,1703,1561,-8.3,0,0,NA,0,0,NA,1703,1561,-8.3,1.9
65,City,KOTA,768,745,-3,0,0,NA,0,0,NA,768,745,-3,0.9
66,City,KOZHIKODE,1177,1487,26.3,29,26,-10.3,0,0,NA,1206,1513,25.5,1.9
67,City,LUCKNOW,807,1277,58.2,0,37,NA,0,3,NA,807,1317,63.2,1.6
68,City,LUDHIANA,475,566,19.2,0,0,NA,0,0,NA,475,566,19.2,0.7
69,City,MADURAI,691,1037,50.1,0,0,NA,0,0,NA,691,1037,50.1,1.3
70,City,MALAPPURAM,550,708,28.7,12,9,-25,0,0,NA,562,717,27.6,0.9
71,City,MEERUT,445,964,116.6,10,13,30,5,15,200,460,992,115.7,1.2
72,City,MUMBAI,2219,2551,15,5,4,-20,0,0,NA,2224,2555,14.9,3.2
73,City,NAGPUR,1344,1397,3.9,56,75,33.9,0,0,NA,1400,1472,5.1,1.8
74,City,NASIK,3367,247,-92.7,50,37,-26,0,0,NA,3417,284,-91.7,0.4
75,City,PATNA,796,665,-16.5,0,0,NA,0,0,NA,796,665,-16.5,0.8
76,City,PUNE,1433,1553,8.4,30,26,-13.3,0,0,NA,1463,1579,7.9,2
77,City,RAIPUR,1305,1345,3.1,70,49,-30,0,0,NA,1375,1394,1.4,1.7
78,City,RAJKOT,770,780,1.3,0,0,NA,0,0,NA,770,780,1.3,1
79,City,RANCHI,296,304,2.7,0,0,NA,0,0,NA,296,304,2.7,0.4
80,City,SRINAGAR,374,435,16.3,0,0,NA,0,0,NA,374,435,16.3,0.5
81,City,SURAT,882,903,2.4,17,0,-100,5,24,380,904,927,2.5,1.1
82,City,THIRUVANANTHAPURAM,2007,2199,9.6,37,11,-70.3,0,0,NA,2044,2210,8.1,2.7
83,City,THRISSUR,1317,1406,6.8,23,14,-39.1,0,0,NA,1340,1420,6,1.8
84,City,TIRUCHIRAPPALLI,711,828,16.5,0,0,NA,0,0,NA,711,828,16.5,1
85,City,VADODARA,1161,1164,0.3,0,0,NA,11,17,54.5,1172,1181,0.8,1.5
86,City,VARANASI,350,372,6.3,39,35,-10.3,0,0,NA,389,407,4.6,0.5
87,City,VASAI VIRAR,684,681,-0.4,0,0,NA,0,0,NA,684,681,-0.4,0.8
88,City,VIJAYAWADA,1553,1644,5.9,0,0,NA,0,0,NA,1553,1644,5.9,2
89,City,VISHAKHAPATNAM,1277,1637,28.2,1,1,0,2,0,-100,1280,1638,28,2
TOTAL (CITIES),TOTAL (CITIES),TOTAL (CITIES),79801,78500,-1.6,1876,1923,2.5,197,237,20.3,81874,80660,-1.5,100
