Sl. No.,Category,State/UT/City,Road Accidents - Jan.,Road Accidents - Feb.,Road Accidents - Mar.,Road Accidents - Apr.,Road Accidents - May,Road Accidents - Jun.,Road Accidents - Jul.,Road Accidents - Aug.,Road Accidents - Sep.,Road Accidents - Oct.,Road Accidents - Nov.,Road Accidents - Dec.,Road Accidents - Total,Railway Crossing Accidents - Jan.,Railway Crossing Accidents - Feb.,Railway Crossing Accidents - Mar.,Railway Crossing Accidents - Apr.,Railway Crossing Accidents - May,Railway Crossing Accidents - Jun.,Railway Crossing Accidents - Jul.,Railway Crossing Accidents - Aug.,Railway Crossing Accidents - Sep.,Railway Crossing Accidents - Oct.,Railway Crossing Accidents - Nov.,Railway Crossing Accidents - Dec.,Railway Crossing Accidents - Total,Railway Accidents - Jan.,Railway Accidents - Feb.,Railway Accidents - Mar.,Railway Accidents - Apr.,Railway Accidents - May,Railway Accidents - Jun.,Railway Accidents - Jul.,Railway Accidents - Aug.,Railway Accidents - Sep.,Railway Accidents - Oct.,Railway Accidents - Nov.,Railway Accidents - Dec.,Railway Accidents - Total,Total Traffic Accidents - Jan.,Total Traffic Accidents - Feb.,Total Traffic Accidents - Mar.,Total Traffic Accidents - Apr.,Total Traffic Accidents - May,Total Traffic Accidents - Jun.,Total Traffic Accidents - Jul.,Total Traffic Accidents - Aug.,Total Traffic Accidents - Sep.,Total Traffic Accidents - Oct.,Total Traffic Accidents - Nov.,Total Traffic Accidents - Dec.,Total Traffic Accidents - Total
24,State,Tamil Nadu,5798,5243,5330,5535,5636,5484,5465,5545,5302,5075,4864,4643,63920,1,1,0,1,0,1,1,0,1,0,0,0,6,187,162,187,189,212,178,186,163,179,185,173,183,2184,5986,5406,5517,5725,5848,5663,5652,5708,5482,5260,5037,4826,66110
25,State,Telangana,1976,1763,1899,1995,2138,1908,1750,1681,1516,1788,1919,1897,22230,0,0,0,0,0,0,0,0,0,0,0,0,0,44,38,62,51,60,45,60,54,73,43,61,46,637,2020,1801,1961,2046,2198,1953,1810,1735,1589,1831,1980,1943,22867
26,State,Tripura,52,38,51,40,44,45,35,34,50,55,51,56,551,0,1,0,0,1,0,2,2,2,2,5,1,16,1,0,2,0,2,1,0,0,0,0,1,0,7,53,39,53,40,47,46,37,36,52,57,57,57,574
27,State,Uttar Pradesh,3245,3058,3186,3142,3210,3114,2967,2776,2761,2956,3051,3389,36855,55,49,67,53,58,56,54,54,46,57,51,56,656,277,291,303,248,306,297,261,259,280,247,254,249,3272,3577,3398,3556,3443,3574,3467,3282,3089,3087,3260,3356,3694,40783
28,State,Uttarakhand,135,111,115,126,130,127,115,124,102,110,124,150,1469,3,2,0,0,0,0,0,0,0,2,4,6,17,3,2,3,0,0,0,0,0,1,2,3,2,16,141,115,118,126,130,127,115,124,103,114,131,158,1502
29,State,West Bengal,1084,914,1046,993,969,1047,1006,904,880,973,981,1030,11827,19,12,7,13,14,10,5,13,14,13,9,13,142,240,202,197,201,242,247,241,238,246,237,236,229,2756,1343,1128,1250,1207,1225,1304,1252,1155,1140,1223,1226,1272,14725
State,State,Total(States),39885,35595,37411,37929,39445,36657,34445,33873,33276,35607,35836,36716,436675,127,107,132,128,127,123,113,121,123,132,117,124,1474,2128,1991,2236,2191,2447,2485,2170,2260,2275,2247,2113,2110,26653,42140,37693,39779,40248,42019,39265,36728,36254,35674,37986,38066,38950,464802
30,Union Territory,A & N Islands,21,27,17,18,21,14,22,32,15,26,20,21,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,17,18,21,14,22,32,15,26,20,21,254
31,Union Territory,Chandigarh,31,26,40,26,26,15,27,24,25,28,25,24,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,40,26,26,15,27,24,25,28,25,24,317
32,Union Territory,D & N Haveli,12,14,10,7,9,4,5,3,3,3,8,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,10,7,9,4,5,3,3,3,8,2,80
33,Union Territory,Daman & Diu,6,3,8,3,3,5,9,8,5,8,7,6,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,3,3,5,9,8,5,8,7,6,71
34,Union Territory,Delhi (UT),518,505,594,590,510,506,542,565,515,590,522,560,6517,1,2,1,1,1,0,0,0,0,0,0,0,6,87,79,74,78,87,83,63,105,88,91,95,60,990,606,586,669,669,598,589,605,670,603,681,617,620,7513
35,Union Territory,Lakshadweep,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3
36,Union Territory,Puducherry,133,107,133,144,148,125,137,127,147,128,127,141,1597,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133,107,133,144,148,125,137,127,147,128,128,141,1598
Union Territory,Union Territory,Total (UTs),721,682,802,789,718,669,743,759,710,783,709,754,8839,1,2,1,1,1,0,0,0,0,0,1,0,7,87,79,74,78,87,83,63,105,88,91,95,60,990,809,763,877,868,806,752,806,864,798,874,805,814,9836
Total (All India),Total (All India),Total (All India),40606,36277,38213,38718,40163,37326,35188,34632,33986,36390,36545,37470,445514,128,109,133,129,128,123,113,121,123,132,118,124,1481,2215,2070,2310,2269,2534,2568,2233,2365,2363,2338,2208,2170,27643,42949,38456,40656,41116,42825,40017,37534,37118,36472,38860,38871,39764,474638
37,City,Agra,8,12,18,18,14,20,20,13,13,17,13,20,186,0,0,3,6,2,2,2,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,21,24,16,22,22,13,13,19,13,20,203
38,City,Ahmedabad,124,139,126,114,150,137,132,154,144,136,139,122,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,4,5,3,8,1,5,7,7,52,128,141,130,116,154,142,135,162,145,141,146,129,1669
39,City,Allahabad,59,79,67,65,84,81,79,69,67,74,63,91,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,79,67,65,84,81,79,69,67,74,63,91,878
40,City,Amritsar,16,8,6,6,7,9,10,12,8,12,10,19,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,6,6,7,9,10,12,8,12,10,19,123
41,City,Asansol,33,41,40,41,31,25,37,33,25,26,32,33,397,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,1,0,0,0,7,34,41,41,43,32,25,38,33,26,26,32,33,404
42,City,Aurangabad,52,36,49,42,54,49,45,65,47,46,56,56,597,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,7,4,0,4,3,2,2,3,3,38,56,38,53,49,58,49,49,68,49,48,59,59,635
43,City,Bengaluru,433,412,374,369,386,363,389,392,332,353,369,439,4611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,412,374,369,386,363,389,392,332,353,369,439,4611
44,City,Bhopal,261,200,210,215,211,220,214,244,212,253,221,214,2675,0,1,0,0,0,1,0,1,2,2,3,1,11,4,3,3,2,2,3,2,4,4,2,2,2,33,265,204,213,217,213,224,216,249,218,257,226,217,2719
45,City,Chandigarh (City),31,26,40,26,26,15,27,24,25,28,25,24,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,40,26,26,15,27,24,25,28,25,24,317
46,City,Chennai,611,605,683,698,614,646,619,641,603,642,560,658,7580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,605,683,698,614,646,619,641,603,642,560,658,7580
47,City,Coimbatore,109,97,111,102,81,76,93,84,99,93,84,107,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,97,111,102,81,76,93,84,99,93,84,107,1136
48,City,Delhi (City),457,443,527,524,454,444,484,504,454,516,459,502,5768,1,2,1,1,1,0,0,0,0,0,0,0,6,87,79,74,78,87,83,63,105,88,91,95,60,990,545,524,602,603,542,527,547,609,542,607,554,562,6764
49,City,Dhanbad,15,15,14,12,17,19,16,17,16,18,13,15,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,14,12,17,19,16,17,16,18,13,15,187
50,City,Durg Bhilainagar,87,74,49,35,51,41,53,64,51,72,55,43,675,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,2,1,2,3,1,2,3,2,28,91,77,52,37,53,42,55,67,52,74,58,45,703
51,City,Faridabad,55,50,62,66,58,59,50,66,56,60,65,62,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,55,50,62,66,58,59,50,66,56,61,65,62,710
52,City,Ghaziabad,16,13,14,21,19,17,11,18,15,16,20,19,199,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,6,4,6,6,4,5,4,4,5,63,24,19,19,27,23,23,17,22,20,20,24,24,262
53,City,Gwalior,102,115,110,90,112,116,125,101,99,97,90,83,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,2,1,2,5,2,1,2,1,26,103,117,112,95,114,117,127,106,101,98,92,84,1266
54,City,Hyderabad,253,214,218,207,210,259,229,233,218,261,288,256,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,214,218,207,210,259,229,233,218,261,288,256,2846
55,City,Indore,277,185,223,248,220,205,213,203,223,274,215,212,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,4,4,1,1,0,0,14,277,186,224,248,222,205,217,207,224,275,215,212,2712
56,City,Jabalpur,199,155,229,285,225,231,155,150,132,185,155,145,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,155,229,285,225,231,155,150,132,185,155,145,2246
57,City,Jaipur,281,222,287,250,270,246,233,171,218,228,191,184,2781,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,2,6,4,4,9,14,4,3,60,283,224,292,255,272,252,237,175,227,242,195,187,2841
58,City,Jamshedpur,20,17,14,11,14,12,14,17,14,21,15,17,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,14,11,14,12,14,17,14,21,15,17,186
59,City,Jodhpur,43,47,33,51,54,35,51,53,46,46,43,47,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,33,51,54,35,51,53,46,46,43,47,549
60,City,Kannur,36,46,54,58,53,45,48,53,58,64,50,56,621,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,0,1,0,1,1,2,1,15,37,49,56,59,55,45,49,53,59,65,52,57,636
61,City,Kanpur,121,139,97,85,66,66,86,98,94,92,86,96,1126,5,4,7,7,3,2,8,8,7,9,7,11,78,0,0,0,0,0,0,0,0,0,0,0,0,0,126,143,104,92,69,68,94,106,101,101,93,107,1204
62,City,Kochi,209,194,196,192,204,194,170,184,159,198,221,190,2311,2,4,1,2,3,0,1,4,2,5,4,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,211,198,197,194,207,194,171,188,161,203,225,191,2340
63,City,Kolkata,212,166,197,184,178,176,201,186,140,194,172,167,2173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,166,197,184,178,176,201,186,140,194,172,167,2173
64,City,Kollam,184,190,173,156,161,147,136,136,162,161,172,162,1940,2,1,2,2,3,1,2,1,3,1,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,186,191,175,158,164,148,138,137,165,162,174,163,1961
65,City,Kota,34,32,38,39,52,37,38,43,40,42,40,31,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,38,39,52,37,38,43,40,42,40,31,466
66,City,Kozhikode,128,108,128,114,113,106,124,142,109,90,131,130,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,2,3,2,13,129,109,128,114,114,107,124,143,110,92,134,132,1436
67,City,Lucknow,93,85,78,75,68,57,79,59,64,68,71,75,872,0,0,0,1,0,0,1,0,1,0,0,0,3,4,5,1,1,2,0,1,3,3,1,1,1,23,97,90,79,77,70,57,81,62,68,69,72,76,898
68,City,Ludhiana,43,39,32,43,39,25,39,51,42,47,42,35,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,39,32,43,39,25,39,51,42,47,42,35,477
69,City,Madurai,79,70,68,77,77,76,84,72,80,76,113,90,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,70,68,77,77,76,84,72,80,76,113,90,962
70,City,Malappuram,59,70,71,69,88,79,69,47,76,64,64,56,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,0,8,59,70,71,70,89,80,69,48,78,65,65,56,820
71,City,Meerut,41,37,39,43,52,48,73,43,47,62,32,26,543,0,0,0,0,0,1,2,0,1,3,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,41,37,39,43,52,49,75,43,48,65,34,27,553
72,City,Mumbai,63,64,58,57,41,69,56,54,49,66,60,54,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,64,58,57,41,69,56,54,49,66,60,54,691
73,City,Nagpur,120,107,133,120,99,106,88,116,87,110,134,120,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,2,2,4,2,4,9,5,2,9,50,126,108,137,122,101,110,90,120,96,115,136,129,1390
74,City,Nasik,31,22,19,28,16,21,18,20,13,27,25,24,264,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,5,32,22,19,28,16,22,18,21,14,28,25,24,269
75,City,Patna,29,27,35,28,78,73,52,42,51,71,57,78,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,35,28,78,73,52,42,51,71,57,78,621
76,City,Pune,38,30,40,42,26,27,23,26,39,41,33,29,394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,2,1,1,2,3,0,18,39,32,42,42,28,29,25,27,40,43,36,29,412
77,City,Raipur,111,82,99,99,91,105,114,98,118,127,104,85,1233,1,0,0,0,0,0,1,0,0,0,0,1,3,2,2,2,0,5,6,1,2,0,6,0,2,28,114,84,101,99,96,111,116,100,118,133,104,88,1264
78,City,Rajkot,43,45,47,50,51,60,48,46,43,43,42,50,568,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,0,1,1,2,2,0,1,16,45,47,50,51,52,60,49,47,45,45,42,51,584
79,City,Ranchi,20,29,25,23,39,31,35,39,29,21,24,22,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,25,23,39,31,35,39,29,21,24,22,337
80,City,Srinagar,26,30,36,32,41,35,32,29,35,30,25,24,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,36,32,41,35,32,29,35,30,25,24,375
81,City,Surat,112,81,75,79,75,76,69,70,79,72,81,79,948,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,2,1,3,2,2,2,0,21,115,82,79,79,76,78,70,73,81,74,83,79,969
82,City,Thiruvananthapuram,192,182,186,158,204,215,194,115,114,139,175,162,2036,2,0,1,2,0,1,3,2,1,2,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,194,182,187,160,204,216,197,117,115,141,176,164,2053
83,City,Thrissur,237,192,196,150,208,187,153,164,197,184,195,159,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,3,3,0,5,0,3,5,26,239,194,197,150,210,190,156,164,202,184,198,164,2248
84,City,Tiruchirappalli,56,49,47,44,49,42,62,46,61,50,40,56,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,49,47,44,49,42,62,46,61,50,40,56,602
85,City,Vadodara,97,78,66,75,71,58,48,53,56,59,53,62,776,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,1,2,1,2,15,98,78,67,77,73,59,49,54,57,61,54,64,791
86,City,Varanasi,21,21,20,16,15,16,13,19,15,11,19,22,208,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,1,2,1,1,2,1,1,2,21,25,24,22,17,16,18,14,20,17,12,20,24,229
87,City,Vasai Virar,28,26,31,24,18,26,46,42,36,28,21,38,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,31,24,18,26,46,42,36,28,21,38,364
88,City,Vijayawada,148,132,158,146,161,156,136,130,130,113,117,136,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,132,158,146,161,156,136,130,130,113,117,136,1663
89,City,Vishakhapatnam,69,52,82,82,74,98,67,76,65,84,92,80,921,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,69,52,82,82,74,98,68,76,65,84,92,81,923
City,City,Total (Cities),6222,5630,6028,5884,5870,5782,5700,5627,5405,5908,5672,5762,69490,13,12,15,21,12,8,20,16,17,24,19,19,196,143,122,124,118,132,128,106,159,144,149,139,108,1572,6378,5764,6167,6023,6014,5918,5826,5802,5566,6081,5830,5889,71258
