Sl. No.,Category,State/UT/City,Road Accidents - 2016,Road Accidents - 2017,Road Accidents - % Var.,Railway Accidents - 2016,Railway Accidents - 2017,Railway Accidents - % Var.,Railway Crossing Accidents - 2016,Railway Crossing Accidents - 2017,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2016,Total Traffic Accidents - 2017,Total Traffic Accidents - % Var.,% Share
35,Union Territory,Lakshadweep,1,2,100,0,0,NA,0,0,NA,1,2,100,0
36,Union Territory,Puducherry,1763,1693,-4,3,0,-100,0,0,-,1766,1693,-4.1,0.4
Union Territory,Union Territory,Total (UTs),9916,9038,-8.9,937,891,-4.9,6,15,150,10859,9944,-8.4,2.1
Total (All India),Total (All India),Total (All India),473050,445730,-5.8,26111,27197,4.2,2939,1588,-46,502100,474515,-5.5,100
37,City,Agra,987,278,-71.8,29,0,-100,33,14,-57.6,1049,292,-72.2,0.4
38,City,Ahmedabad,1977,1550,-21.6,42,38,-9.5,0,0,-,2019,1588,-21.3,2.2
39,City,Allahabad,987,742,-24.8,64,0,-100,0,0,-,1051,742,-29.4,1
40,City,Amritsar,152,119,-21.7,0,0,NA,0,0,NA,152,119,-21.7,0.2
41,City,Asansol,418,361,-13.6,1,16,1500,0,0,-,419,377,-10,0.5
42,City,Aurangabad,2470,643,-74,50,24,-52,0,0,-,2520,667,-73.5,0.9
43,City,Bengaluru,5356,5064,-5.5,0,0,NA,0,0,NA,5356,5064,-5.5,6.9
44,City,Bhopal,3218,2618,-18.6,0,29,-,82,9,-89,3300,2656,-19.5,3.6
45,City,Chandigarh (City),413,319,-22.8,0,0,NA,0,0,NA,413,319,-22.8,0.4
46,City,Chennai,7486,7257,-3.1,0,0,NA,0,0,NA,7486,7257,-3.1,9.9
47,City,Coimbatore,1354,1299,-4.1,0,0,NA,0,0,NA,1354,1299,-4.1,1.8
48,City,Delhi (City),5827,6023,3.4,934,891,-4.6,6,15,150,6767,6929,2.4,9.4
49,City,Dhanbad,217,213,-1.8,0,0,NA,0,0,NA,217,213,-1.8,0.3
50,City,Durg Bhilainagar,876,859,-1.9,34,22,-35.3,0,0,-,910,881,-3.2,1.2
51,City,Faridabad,653,712,9,0,1,NA,0,0,NA,653,713,9.2,1
52,City,Ghaziabad,655,212,-67.6,86,72,-16.3,0,0,-,741,284,-61.7,0.4
53,City,Gwalior,1504,1291,-14.2,34,21,-38.2,0,0,-,1538,1312,-14.7,1.8
54,City,Hyderabad,2945,2834,-3.8,0,0,NA,0,0,NA,2945,2834,-3.8,3.9
55,City,Indore,4021,3313,-17.6,15,28,86.7,0,0,-,4036,3341,-17.2,4.6
56,City,Jabalpur,2317,2335,0.8,113,0,-100,0,0,-,2430,2335,-3.9,3.2
57,City,Jaipur,3004,2983,-0.7,50,46,-8,12,0,-100,3066,3029,-1.2,4.1
58,City,Jamshedpur,188,182,-3.2,0,0,NA,0,0,NA,188,182,-3.2,0.2
59,City,Jodhpur,640,620,-3.1,0,0,NA,0,0,NA,640,620,-3.1,0.8
60,City,Kannur,504,578,14.7,28,15,-46.4,0,0,-,532,593,11.5,0.8
61,City,Kanpur,994,1215,22.2,153,0,-100,0,143,-,1147,1358,18.4,1.9
62,City,Kochi,2573,2503,-2.7,23,26,13,0,8,-,2596,2537,-2.3,3.5
63,City,Kolkata,4104,2567,-37.5,0,0,NA,0,0,NA,4104,2567,-37.5,3.5
64,City,Kollam,1677,1780,6.1,0,0,-,14,24,71.4,1691,1804,6.7,2.5
65,City,Kota,590,481,-18.5,0,0,NA,0,0,NA,590,481,-18.5,0.7
66,City,Kozhikode,1542,1467,-4.9,26,22,-15.4,0,0,-,1568,1489,-5,2
67,City,Lucknow,1444,858,-40.6,31,24,-22.6,0,3,-,1475,885,-40,1.2
68,City,Ludhiana,549,563,2.6,0,0,NA,0,0,NA,549,563,2.6,0.8
69,City,Madurai,946,920,-2.7,0,0,NA,0,0,NA,946,920,-2.7,1.3
70,City,Malappuram,678,837,23.5,16,6,-62.5,0,0,-,694,843,21.5,1.1
71,City,Meerut,559,547,-2.1,5,0,-100,8,4,-50,572,551,-3.7,0.8
72,City,Mumbai,2405,755,-68.6,0,0,NA,0,0,NA,2405,755,-68.6,1
73,City,Nagpur,1574,1421,-9.7,51,69,35.3,0,0,-,1625,1490,-8.3,2
74,City,Nasik,230,257,11.7,28,22,-21.4,0,0,-,258,279,8.1,0.4
75,City,Patna,691,669,-3.2,0,0,NA,0,0,NA,691,669,-3.2,0.9
76,City,Pune,1519,493,-67.5,22,14,-36.4,0,0,-,1541,507,-67.1,0.7
77,City,Raipur,1418,1331,-6.1,65,35,-46.2,1,1,0,1484,1367,-7.9,1.9
78,City,Rajkot,719,617,-14.2,15,14,-6.7,0,0,-,734,631,-14,0.9
79,City,Ranchi,355,337,-5.1,0,0,NA,0,0,NA,355,337,-5.1,0.5
80,City,Srinagar,324,363,12,0,0,NA,0,0,NA,324,363,12,0.5
