Sl. No.,State/UT,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs(Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
44,Chandigarh (City),36,8,16,18,25,36,35,64,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,16,18,25,36,35,64,238
45,Chennai,171,203,461,585,506,541,578,407,3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,203,461,585,506,541,578,407,3452
46,Coimbatore,44,44,135,179,153,176,203,151,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,135,179,153,176,203,151,1085
47,Delhi (City),613,507,582,645,741,670,810,819,5387,0,0,0,0,0,0,0,0,0,68,83,124,91,94,101,133,102,796,681,590,706,736,835,771,943,921,6183
48,Dhanbad,18,12,22,26,27,38,19,17,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,22,26,27,38,19,17,179
49,Durg Bhilainagar,28,18,47,119,149,123,180,125,789,0,0,0,0,0,0,0,0,0,4,3,5,4,4,3,4,3,30,32,21,52,123,153,126,184,128,819
50,Faridabad,47,38,70,72,68,86,125,123,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,38,70,72,68,86,125,123,629
51,Ghaziabad,109,115,108,105,117,99,104,126,883,0,0,0,0,0,0,0,0,0,6,7,7,5,8,4,5,6,48,115,122,115,110,125,103,109,132,931
52,Gwalior,108,85,89,200,205,218,169,145,1219,1,2,1,3,2,1,2,1,13,0,0,0,0,0,0,0,0,0,109,87,90,203,207,219,171,146,1232
53,Hyderabad,203,136,307,357,381,411,379,342,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,136,307,357,381,411,379,342,2516
54,Indore,206,70,214,482,612,551,622,560,3317,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,3,4,17,206,70,216,486,614,553,625,564,3334
55,Jabalpur,30,11,344,493,422,608,374,178,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,344,493,422,608,374,178,2460
56,Jaipur,153,86,320,413,396,454,502,363,2687,0,0,0,0,0,0,0,0,0,16,8,23,23,24,23,20,16,153,169,94,343,436,420,477,522,379,2840
57,Jamshedpur,8,24,34,30,27,21,17,6,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,34,30,27,21,17,6,167
58,Jodhpur,28,16,74,97,120,137,103,111,686,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5,4,14,30,19,74,97,120,137,108,115,700
59,Kannur,29,50,180,288,241,361,332,154,1635,0,0,0,0,0,0,0,0,0,3,3,1,3,1,4,5,1,21,32,53,181,291,242,365,337,155,1656
60,Kanpur,335,112,95,107,234,201,205,306,1595,14,5,6,26,37,46,10,11,155,0,0,0,0,0,0,0,0,0,349,117,101,133,271,247,215,317,1750
61,Kochi,75,62,300,445,336,450,443,321,2432,2,2,5,3,3,3,2,2,22,0,0,0,0,0,0,0,0,0,77,64,305,448,339,453,445,323,2454
62,Kolkata,62,52,102,154,152,149,174,192,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,52,102,154,152,149,174,192,1037
63,Kollam,57,57,231,364,330,379,446,219,2083,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,11,61,57,231,364,330,379,446,226,2094
64,Kota,14,5,24,62,75,73,128,63,444,0,0,0,0,0,0,0,0,0,10,5,2,0,0,0,3,9,29,24,10,26,62,75,73,131,72,473
65,Kozhikode,64,57,263,375,304,402,392,197,2054,1,1,3,4,1,0,2,1,13,0,0,1,2,1,1,2,0,7,65,58,267,381,306,403,396,198,2074
66,Lucknow,231,154,126,144,137,143,256,217,1408,2,0,1,1,1,1,2,0,8,2,9,7,2,6,3,2,3,34,235,163,134,147,144,147,260,220,1450
67,Ludhiana,25,15,43,48,71,60,119,86,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,43,48,71,60,119,86,467
68,Madurai,24,21,91,128,134,111,143,92,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,91,128,134,111,143,92,744
69,Malappuram,24,20,113,163,132,195,152,71,870,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,24,21,114,164,132,195,152,71,873
70,Meerut,40,21,35,51,60,78,112,54,451,4,2,0,3,0,6,8,3,26,0,0,0,0,0,0,0,0,0,44,23,35,54,60,84,120,57,477
71,Mumbai,62,56,62,67,74,61,75,81,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,56,62,67,74,61,75,81,538
72,Nagpur,66,42,108,195,173,209,206,182,1181,0,0,0,0,0,0,0,0,0,5,4,10,9,6,6,11,3,54,71,46,118,204,179,215,217,185,1235
73,Nasik,24,24,20,25,20,21,28,28,190,0,0,0,0,0,0,0,0,0,2,4,3,3,2,6,3,1,24,26,28,23,28,22,27,31,29,214
74,Patna,54,34,19,8,41,14,11,94,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,34,19,8,41,14,11,94,275
75,Prayagraj +,148,161,196,168,167,186,176,168,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,161,196,168,167,186,176,168,1370
76,Pune,45,49,38,46,53,52,47,57,387,0,0,0,0,0,0,0,0,0,1,3,3,2,1,2,4,1,17,46,52,41,48,54,54,51,58,404
77,Raipur,47,41,73,173,189,167,190,141,1021,0,0,0,0,0,0,0,0,0,3,3,7,5,5,3,5,2,33,50,44,80,178,194,170,195,143,1054
78,Rajkot,17,14,50,84,78,85,109,61,498,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,4,3,13,20,16,50,84,79,85,113,64,511
79,Ranchi,16,14,19,17,26,36,35,12,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,19,17,26,36,35,12,175
80,Srinagar,0,0,44,133,116,90,41,2,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,133,116,90,41,2,426
81,Surat,30,23,87,102,104,110,141,86,683,0,0,0,0,0,0,0,0,0,2,4,2,1,1,10,8,8,36,32,27,89,103,105,120,149,94,719
82,Thiruvananthapuram,82,84,268,312,192,306,369,212,1825,1,4,3,2,1,4,1,2,18,0,0,0,0,0,0,0,0,0,83,88,271,314,193,310,370,214,1843
83,Thrissur,58,58,298,427,343,423,553,214,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,298,427,343,423,553,214,2374
84,Tiruchirappalli,28,25,51,99,69,95,108,67,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,51,99,69,95,108,67,542
85,Vadodara,25,18,57,79,69,76,98,56,478,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,5,25,19,57,80,69,76,99,58,483
86,Varanasi,11,17,14,16,18,17,19,21,133,0,0,0,0,0,0,0,0,0,5,1,5,4,3,3,4,4,29,16,18,19,20,21,20,23,25,162
87,Vasai Virar,32,36,33,57,33,34,62,55,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,33,57,33,34,62,55,342
88,Vijayawada,70,90,153,226,219,251,294,240,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,90,153,226,219,251,294,240,1543
89,Vishakhapatnam,54,48,158,192,223,220,295,162,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,48,158,192,223,220,295,162,1352
Total (Cities),Total (Cities),4434,3700,7231,9989,9878,10461,11577,9132,66402,28,19,20,46,45,61,31,21,271,156,177,236,179,171,198,246,200,1563,4618,3896,7487,10214,10094,10720,11854,9353,68236
