Category,State/UT/City,Road Accidents_Jan,Road Accidents_Feb,Road Accidents_Mar,Road Accidents_April,Road Accidents_May,Road Accidents_June,Road Accidents_July,Road Accidents_Aug,Road Accidents_Sept,Road Accidents_Oct,Road Accidents_Nov,Road Accidents_Dec,Road Accidents_Total,Railway Crossing Accidents_Jan,Railway Crossing Accidents_Feb,Railway Crossing Accidents_Mar,Railway Crossing Accidents_April,Railway Crossing Accidents_May,Railway Crossing Accidents_June,Railway Crossing Accidents_July,Railway Crossing Accidents_Aug,Railway Crossing Accidents_Sept,Railway Crossing Accidents_Oct,Railway Crossing Accidents_Nov,Railway Crossing Accidents_Dec,Railway Crossing Accidents_Total,Railway Accidents_Jan,Railway Accidents_Feb,Railway Accidents_Mar,Railway Accidents_April,Railway Accidents_May,Railway Accidents_June,Railway Accidents_July,Railway Accidents_Aug,Railway Accidents_Sept,Railway Accidents_Oct,Railway Accidents_Nov,Railway Accidents_Dec,Railway Accidents_Total,Total Traffic Accidents_Jan,Total Traffic Accidents_Feb,Total Traffic Accidents_Mar,Total Traffic Accidents_April,Total Traffic Accidents_May,Total Traffic Accidents_June,Total Traffic Accidents_July,Total Traffic Accidents_Aug,Total Traffic Accidents_Sept,Total Traffic Accidents_Oct,Total Traffic Accidents_Nov,Total Traffic Accidents_Dec,Total Traffic Accidents_Total
City,FARIDABAD,62,67,59,65,60,46,61,70,54,61,68,63,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,67,59,65,60,46,61,70,54,61,68,63,736
City,GHAZIABAD,14,19,8,11,20,17,21,25,18,11,19,14,197,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,4,7,6,5,6,4,2,3,4,59,20,26,13,15,27,23,26,31,22,13,22,18,256
City,GWALIOR,102,105,112,107,91,107,87,100,99,112,99,97,1218,2,3,2,2,3,2,1,4,3,2,3,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,104,108,114,109,94,109,88,104,102,114,102,99,1247
City,HYDERABAD,273,244,235,221,246,231,280,228,203,230,246,263,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,244,235,221,246,231,280,228,203,230,246,263,2900
City,INDORE,363,325,288,310,276,265,289,234,221,245,255,265,3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,2,3,2,0,1,13,363,325,289,310,279,265,290,236,224,247,255,266,3349
City,JABALPUR,245,203,174,178,164,189,198,175,143,189,144,165,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,203,174,178,164,189,198,175,143,189,144,165,2167
City,JAIPUR,305,261,305,247,268,285,310,244,221,215,208,176,3045,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,6,8,20,10,13,8,14,17,12,8,136,313,273,311,255,288,295,323,252,235,232,220,184,3181
City,JAMSHEDPUR,20,17,14,14,14,12,16,17,14,21,15,17,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,14,14,14,12,16,17,14,21,15,17,191
City,JODHPUR,63,64,51,67,60,54,65,62,41,54,53,52,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,64,51,67,60,54,65,62,41,54,53,52,686
City,KANNUR,70,62,42,40,60,51,73,39,62,49,52,57,657,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,6,2,3,1,2,0,3,1,5,30,73,64,44,46,62,54,74,41,62,52,53,62,687
City,KANPUR,157,88,81,63,74,57,51,88,123,83,56,132,1053,7,11,8,6,4,2,3,4,11,12,21,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,164,99,89,69,78,59,54,92,134,95,77,134,1144
City,KOCHI,196,221,195,154,201,173,174,135,118,181,205,185,2138,0,1,0,0,2,1,3,4,3,1,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,196,222,195,154,203,174,177,139,121,182,206,185,2154
City,KOLKATA,127,189,107,100,186,109,233,183,196,222,214,202,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,189,107,100,186,109,233,183,196,222,214,202,2068
City,KOLLAM,157,167,143,170,171,172,139,144,159,177,168,173,1940,2,1,3,2,3,1,2,2,3,1,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,159,168,146,172,174,173,141,146,162,178,170,174,1963
City,KOTA,55,34,36,43,46,53,35,38,35,40,40,36,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,34,36,43,46,53,35,38,35,40,40,36,491
City,KOZHIKODE,136,130,123,125,138,129,125,130,125,145,145,146,1597,1,3,1,0,0,1,1,1,0,0,0,0,8,0,0,1,2,0,2,1,1,2,1,0,1,11,137,133,125,127,138,132,127,132,127,146,145,147,1616
City,LUCKNOW,31,104,85,68,93,51,75,77,66,70,77,82,879,1,0,0,0,1,0,0,0,0,0,0,1,3,9,7,3,4,5,0,6,6,7,3,3,3,56,41,111,88,72,99,51,81,83,73,73,80,86,938
City,LUDHIANA,42,49,37,44,30,39,44,52,33,59,52,45,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,49,37,44,30,39,44,52,33,59,52,45,526
City,MADURAI,66,74,93,75,61,83,70,87,71,57,66,63,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,74,93,75,61,83,70,87,71,57,66,63,866
City,MALAPPURAM,86,64,62,75,87,64,82,56,68,65,63,66,838,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,87,65,62,75,87,64,83,57,68,65,63,66,842
City,MEERUT,41,31,42,33,54,41,51,47,33,39,48,51,511,1,0,2,2,1,1,0,2,4,2,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31,44,35,55,42,51,49,37,41,49,52,528
City,MUMBAI,54,51,58,57,46,49,43,46,39,36,69,40,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,54,51,58,57,46,51,43,46,39,36,69,40,590
City,NAGPUR,105,97,101,105,105,108,91,75,78,82,97,75,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,7,5,1,5,3,4,5,3,3,46,106,101,106,112,110,109,96,78,82,87,100,78,1165
City,NASIK,15,16,19,15,16,22,16,12,14,20,10,14,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,5,1,2,3,2,3,34,15,19,23,19,19,26,21,13,16,23,12,17,223
City,PATNA,43,42,51,37,49,47,47,42,39,37,35,55,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,51,37,49,47,47,42,39,37,35,55,524
City,PUNE,22,43,29,19,28,20,23,23,23,19,39,20,308,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,5,5,3,4,0,3,2,29,24,44,31,20,29,25,28,26,27,19,42,22,337
City,RAIPUR,138,112,95,123,99,78,104,104,107,94,110,93,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,3,3,7,5,5,2,3,2,42,140,115,97,128,102,81,111,109,112,96,113,95,1299
City,RAJKOT,54,46,55,54,56,47,33,50,46,48,45,41,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,0,3,5,3,19,54,46,57,55,59,48,33,51,46,51,50,44,594
City,RANCHI,31,29,27,30,29,32,38,21,29,26,29,33,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,27,30,29,32,38,21,29,26,29,33,354
City,SRINAGAR,20,14,30,20,28,35,48,25,20,24,26,20,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,30,20,28,35,48,25,20,24,26,20,310
City,SURAT,86,92,72,60,65,42,71,79,69,75,60,94,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,3,1,1,5,3,4,25,86,96,73,61,66,43,74,80,70,80,63,98,890
City,THIRUVANANTHAPURAM,152,163,131,120,144,133,140,160,137,147,147,130,1704,1,2,1,1,3,0,1,4,0,2,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,153,165,132,121,147,133,141,164,137,149,147,131,1720
City,THRISSUR,204,192,186,172,207,153,185,170,164,187,174,216,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,4,3,2,5,5,0,4,5,36,205,192,192,173,211,156,187,175,169,187,178,221,2246
City,TIRUCHIRAPPALLI,47,50,47,35,43,34,44,43,43,52,39,40,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,50,47,35,43,34,44,43,43,52,39,40,517
City,VADODARA,74,76,59,62,63,46,51,48,44,55,46,55,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,0,0,0,1,1,2,16,74,77,62,65,65,49,51,48,44,56,47,57,695
City,VARANASI,13,14,13,15,14,12,13,15,15,11,15,10,160,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,1,2,1,3,2,1,20,15,16,14,17,15,14,14,17,16,14,17,11,180
City,VASAI VIRAR,38,24,29,26,34,29,32,24,21,26,31,21,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,24,29,26,34,29,32,24,21,26,31,21,335
City,VIJAYAWADA,129,119,116,131,142,118,115,140,103,108,138,140,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,119,116,131,142,118,115,140,103,108,138,140,1499
City,VISHAKHAPATNAM,101,89,90,92,73,75,80,87,59,71,67,82,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,6,101,90,91,93,73,76,80,87,59,71,68,83,972
City,TOTAL (CITIES),6360,5961,5759,5351,5811,5540,5727,5371,5002,5403,5435,5508,67228,17,28,22,17,24,13,16,27,26,28,34,16,268,127,125,114,150,131,125,140,133,152,126,126,119,1568,6504,6114,5895,5518,5966,5678,5883,5531,5180,5557,5595,5643,69064
