Sl. No.,Category,State/UT/City,Road Accidents - 2017,Road Accidents - 2018,Road Accidents - % Var.,Railway Accidents - 2017,Railway Accidents - 2018,Railway Accidents - % Var.,Railway Crossing Accidents - 2017,Railway Crossing Accidents - 2018,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2017,Total Traffic Accidents - 2018,Total Traffic Accidents - % Var.,% Share
48,City,Delhi (City),6023,5768,-4.2,891,990,11.1,15,6,-60,6929,6764,-2.4,9.5
49,City,Dhanbad,213,187,-12.2,0,0,NA,0,0,NA,213,187,-12.2,0.3
50,City,Durg Bhilainagar,859,675,-21.4,22,28,27.3,0,0,-,881,703,-20.2,1
51,City,Faridabad,712,709,-0.4,1,1,0,0,0,-,713,710,-0.4,1
52,City,Ghaziabad,212,199,-6.1,72,63,-12.5,0,0,-,284,262,-7.7,0.4
53,City,Gwalior,1291,1240,-4,21,26,23.8,0,0,-,1312,1266,-3.5,1.8
54,City,Hyderabad,2834,2846,0.4,0,0,NA,0,0,NA,2834,2846,0.4,4
55,City,Indore,3313,2698,-18.6,28,14,-50,0,0,-,3341,2712,-18.8,3.8
56,City,Jabalpur,2335,2246,-3.8,0,0,NA,0,0,NA,2335,2246,-3.8,3.2
57,City,Jaipur,2983,2781,-6.8,46,60,30.4,0,0,-,3029,2841,-6.2,4
58,City,Jamshedpur,182,186,2.2,0,0,NA,0,0,NA,182,186,2.2,0.3
59,City,Jodhpur,620,549,-11.5,0,0,NA,0,0,NA,620,549,-11.5,0.8
60,City,Kannur,578,621,7.4,15,15,0,0,0,-,593,636,7.3,0.9
61,City,Kanpur,1215,1126,-7.3,0,0,-,143,78,-45.5,1358,1204,-11.3,1.7
62,City,Kochi,2503,2311,-7.7,26,0,-100,8,29,262.5,2537,2340,-7.8,3.3
63,City,Kolkata,2567,2173,-15.3,0,0,NA,0,0,NA,2567,2173,-15.3,3
64,City,Kollam,1780,1940,9,0,0,-,24,21,-12.5,1804,1961,8.7,2.8
65,City,Kota,481,466,-3.1,0,0,NA,0,0,NA,481,466,-3.1,0.7
66,City,Kozhikode,1467,1423,-3,22,13,-40.9,0,0,-,1489,1436,-3.6,2
67,City,Lucknow,858,872,1.6,24,23,-4.2,3,3,0,885,898,1.5,1.3
68,City,Ludhiana,563,477,-15.3,0,0,NA,0,0,NA,563,477,-15.3,0.7
69,City,Madurai,920,962,4.6,0,0,NA,0,0,NA,920,962,4.6,1.4
70,City,Malappuram,837,812,-3,6,8,33.3,0,0,-,843,820,-2.7,1.2
71,City,Meerut,547,543,-0.7,0,0,-,4,10,150,551,553,0.4,0.8
72,City,Mumbai,755,691,-8.5,0,0,NA,0,0,NA,755,691,-8.5,1
73,City,Nagpur,1421,1340,-5.7,69,50,-27.5,0,0,-,1490,1390,-6.7,2
74,City,Nasik,257,264,2.7,22,5,-77.3,0,0,-,279,269,-3.6,0.4
75,City,Patna,669,621,-7.2,0,0,NA,0,0,NA,669,621,-7.2,0.9
76,City,Pune,493,394,-20.1,14,18,28.6,0,0,-,507,412,-18.7,0.6
77,City,Raipur,1331,1233,-7.4,35,28,-20,1,3,200,1367,1264,-7.5,1.8
78,City,Rajkot,617,568,-7.9,14,16,14.3,0,0,-,631,584,-7.4,0.8
79,City,Ranchi,337,337,0,0,0,NA,0,0,NA,337,337,0,0.5
80,City,Srinagar,363,375,3.3,0,0,NA,0,0,NA,363,375,3.3,0.5
81,City,Surat,757,948,25.2,18,21,16.7,0,0,-,775,969,25,1.4
82,City,Thiruvananthapuram,2040,2036,-0.2,0,0,-,30,17,-43.3,2070,2053,-0.8,2.9
83,City,Thrissur,1384,2222,60.5,21,26,23.8,0,0,-,1405,2248,60,3.2
84,City,Tiruchirappalli,638,602,-5.6,0,0,NA,0,0,NA,638,602,-5.6,0.8
85,City,Vadodara,867,776,-10.5,9,15,66.7,0,0,-,876,791,-9.7,1.1
86,City,Varanasi,263,208,-20.9,17,21,23.5,0,0,-,280,229,-18.2,0.3
87,City,Vasai Virar,380,364,-4.2,0,0,NA,0,0,NA,380,364,-4.2,0.5
88,City,Vijayawada,1491,1663,11.5,1,0,-100,0,0,-,1492,1663,11.5,2.3
89,City,Vishakhapatnam,1374,921,-33,2,1,-50,0,1,-,1376,923,-32.9,1.3
City,City,Total (Cities),71580,69490,-2.9,1503,1572,4.6,251,196,-21.9,73334,71258,-2.8,100
