Sl. No.,Category,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
69,City,Madurai,962,945,153,0,0,0,0,0,0,962,945,153
70,City,Malappuram,812,861,122,8,0,8,0,0,0,820,861,130
71,City,Meerut,543,390,223,0,0,0,10,0,10,553,390,233
72,City,Mumbai,691,165,546,0,0,0,0,0,0,691,165,546
73,City,Nagpur,1340,1175,284,50,0,50,0,0,0,1390,1175,334
74,City,Nasik,264,47,259,5,0,5,0,0,0,269,47,264
75,City,Patna,621,216,406,0,0,0,0,0,0,621,216,406
76,City,Pune,394,146,286,18,2,18,0,0,0,412,148,304
77,City,Raipur,1233,706,140,28,0,28,3,3,3,1264,709,171
78,City,Rajkot,568,481,202,16,0,16,0,0,0,584,481,218
79,City,Ranchi,337,243,230,0,0,0,0,0,0,337,243,230
80,City,Srinagar,375,383,46,0,0,0,0,0,0,375,383,46
81,City,Surat,948,813,318,21,0,21,0,0,0,969,813,339
82,City,Thiruvananthapuram,2036,2747,202,0,0,0,17,0,17,2053,2747,219
83,City,Thrissur,2222,2593,218,26,0,26,0,0,0,2248,2593,244
84,City,Tiruchirappalli,602,651,122,0,0,0,0,0,0,602,651,122
85,City,Vadodara,776,640,182,15,0,15,0,0,0,791,640,197
86,City,Varanasi,208,116,98,21,2,19,0,0,0,229,118,117
87,City,Vasai Virar,364,199,174,0,0,0,0,0,0,364,199,174
88,City,Vijayawada,1663,1491,357,0,0,0,0,0,0,1663,1491,357
89,City,Vishakhapatnam,921,725,343,1,0,1,1,0,1,923,725,345
City,City,Total (Cities),69490,61058,15265,1572,126,1448,196,3,196,71258,61187,16909
