Si. No.,Category,State/UT/City,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above-Below 18 years - Male,14 and Above-Below 18 years - Female,14 and Above-Below 18 years - Transgender,14 and Above-Below 18 years - Total,18 and Above-Below 30 years - Male,18 and Above-Below 30 years - Female,18 and Above-Below 30 years - Transgender,18 and Above-Below 30 years - Total,30 and Above-Below 45 years - Male,30 and Above-Below 45 years - Female,30 and Above-Below 45 years - Transgender,30 and Above-Below 45 years - Total,45 and Above-Below 60 years - Male,45 and Above-Below 60 years - Female,45 and Above-Below 60 years - Transgender,45 and Above-Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
27,State,Uttarakhand,15,8,0,23,46,11,0,57,406,91,0,497,488,127,0,615,305,56,0,361,88,22,0,110,1348,315,0,1663
28,State,West Bengal,357,184,0,541,720,293,0,1013,3115,830,0,3945,3621,857,0,4478,2546,679,0,3225,1097,495,0,1592,11456,3338,0,14794
Total (States),Total (States),Total (States),10279,5493,0,15772,19052,6159,1,25212,77310,17429,4,94743,91573,18793,6,110372,66893,13749,5,80647,30361,10193,0,40554,295468,71816,16,367300
29,Union Territories,A & N Islands,6,5,0,11,2,0,0,2,26,5,0,31,50,13,0,63,54,8,0,62,30,14,0,44,168,45,0,213
30,Union Territories,Chandigarh,9,2,0,11,13,2,0,15,56,16,0,72,84,22,0,106,59,21,0,80,28,11,0,39,249,74,0,323
31,Union Territories,D & N Haveli and Daman & Diu,3,3,0,6,8,2,0,10,53,6,0,59,95,5,0,100,51,4,0,55,16,9,0,25,226,29,0,255
32,Union Territories,Delhi (UT),79,42,0,121,106,40,0,146,1075,196,0,1271,1257,221,1,1479,717,135,0,852,199,48,0,247,3433,682,1,4116
33,Union Territories,Jammu & Kashmir,22,11,0,33,56,17,0,73,319,63,0,382,350,53,0,403,231,34,0,265,40,7,0,47,1018,185,0,1203
34,Union Territories,Ladakh,0,0,0,0,2,1,0,3,37,10,0,47,44,2,0,46,6,0,0,6,0,0,0,0,89,13,0,102
35,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,3
36,Union Territories,Puducherry,4,3,0,7,100,6,0,106,102,30,0,132,261,44,0,305,250,23,0,273,34,25,0,59,751,131,0,882
Total (UTs),Total (UTs),Total (UTs),123,66,0,189,287,68,0,355,1669,326,0,1995,2141,360,1,2502,1370,225,0,1595,347,114,0,461,5937,1159,1,7097
Total (All India),Total (All India),Total (All India),10402,5559,0,15961,19339,6227,1,25567,78979,17755,4,96738,93714,19153,7,112874,68263,13974,5,82242,30708,10307,0,41015,301405,72975,17,374397
38,City,Agra,12,2,0,14,17,4,0,21,115,16,0,131,173,20,0,193,140,17,0,157,36,11,0,47,493,70,0,563
39,City,Ahmedabad,25,26,0,51,19,9,0,28,234,61,1,296,460,56,0,516,504,70,1,575,239,63,0,302,1481,285,2,1768
40,City,Allahabad,14,3,0,17,45,20,0,65,30,15,0,45,6,3,0,9,7,0,0,7,0,0,0,0,102,41,0,143
41,City,Amritsar,1,1,0,2,1,2,0,3,52,8,0,60,82,5,0,87,124,8,0,132,100,12,0,112,360,36,0,396
42,City,Asansol,12,5,0,17,16,20,0,36,180,46,0,226,228,44,0,272,182,41,0,223,59,45,0,104,677,201,0,878
43,City,Aurangabad,23,20,0,43,20,7,0,27,107,22,0,129,205,52,0,257,256,48,0,304,158,55,0,213,769,204,0,973
44,City,Bengaluru,54,46,0,100,35,21,0,56,598,98,1,697,1010,156,4,1170,888,151,1,1040,433,148,0,581,3018,620,6,3644
45,City,Bhopal,22,19,0,41,22,8,0,30,106,28,0,134,139,37,0,176,130,27,0,157,89,21,0,110,508,140,0,648
46,City,Chandigarh (City),9,2,0,11,13,2,0,15,56,16,0,72,84,22,0,106,59,21,0,80,28,11,0,39,249,74,0,323
47,City,Chennai,36,19,0,55,62,26,0,88,310,95,0,405,265,57,0,322,283,90,0,373,109,69,0,178,1065,356,0,1421
48,City,Coimbatore,4,7,0,11,4,5,0,9,53,9,0,62,125,26,0,151,123,17,0,140,52,23,0,75,361,87,0,448
49,City,Delhi (City),79,42,0,121,105,40,0,145,1037,188,0,1225,1220,214,1,1435,689,133,0,822,200,46,0,246,3330,663,1,3994
50,City,Dhanbad,0,0,0,0,2,2,0,4,76,8,0,84,31,10,0,41,13,4,0,17,1,3,0,4,123,27,0,150
51,City,Durg Bhilainagar,25,10,0,35,13,8,0,21,98,36,0,134,149,31,0,180,152,34,0,186,137,44,0,181,574,163,0,737
52,City,Faridabad,18,14,0,32,25,17,0,42,541,121,0,662,254,38,0,292,115,32,0,147,57,12,0,69,1010,234,0,1244
53,City,Ghaziabad,2,0,0,2,12,0,0,12,128,13,0,141,104,16,0,120,68,4,0,72,20,0,0,20,334,33,0,367
54,City,Gwalior,10,3,0,13,5,1,0,6,70,10,0,80,82,7,0,89,56,4,0,60,21,9,0,30,244,34,0,278
55,City,Hyderabad,4,0,0,4,19,8,0,27,237,55,0,292,162,41,0,203,115,26,0,141,31,10,0,41,568,140,0,708
56,City,Indore,28,23,0,51,33,11,0,44,198,46,0,244,242,51,0,293,188,27,0,215,99,31,0,130,788,189,0,977
57,City,Jabalpur,13,8,0,21,30,14,0,44,222,39,0,261,164,51,0,215,106,24,0,130,20,7,0,27,555,143,0,698
58,City,Jaipur,34,26,0,60,70,21,0,91,491,83,0,574,603,92,0,695,360,61,0,421,141,27,0,168,1699,310,0,2009
59,City,Jamshedpur,10,7,0,17,22,6,0,28,61,22,0,83,84,21,0,105,56,15,0,71,19,9,0,28,252,80,0,332
60,City,Jodhpur,3,2,0,5,25,9,0,34,161,37,0,198,190,35,0,225,123,24,0,147,44,6,0,50,546,113,0,659
61,City,Kannur,5,2,0,7,1,0,0,1,22,3,0,25,39,5,0,44,61,15,0,76,39,15,0,54,167,40,0,207
62,City,Kanpur,15,2,0,17,31,9,0,40,301,60,0,361,414,101,0,515,305,50,0,355,66,10,0,76,1132,232,0,1364
63,City,Kochi,4,1,0,5,3,0,0,3,70,4,0,74,115,10,0,125,147,24,0,171,79,21,0,100,418,60,0,478
64,City,Kolkata,8,1,0,9,21,9,0,30,42,24,0,66,86,34,0,120,75,47,0,122,69,60,0,129,301,175,0,476
65,City,Kollam,4,3,0,7,2,0,0,2,56,6,0,62,88,11,0,99,154,36,0,190,125,39,0,164,429,95,0,524
66,City,Kota,4,2,0,6,14,2,0,16,46,6,0,52,70,10,0,80,70,11,0,81,29,5,0,34,233,36,0,269
67,City,Kozhikode,7,6,0,13,8,2,0,10,31,4,0,35,68,11,0,79,176,28,0,204,160,47,0,207,450,98,0,548
68,City,Lucknow,11,6,0,17,38,10,0,48,214,36,0,250,160,33,0,193,79,19,0,98,20,2,0,22,522,106,0,628
69,City,Ludhiana,17,5,0,22,12,6,0,18,173,24,0,197,316,44,0,360,272,31,0,303,114,14,0,128,904,124,0,1028
70,City,Madurai,13,4,0,17,6,6,0,12,43,10,0,53,85,16,0,101,103,18,0,121,71,30,0,101,321,84,0,405
71,City,Malappuram,15,7,0,22,6,2,0,8,42,5,0,47,64,9,0,73,66,16,0,82,47,17,0,64,240,56,0,296
72,City,Meerut,5,1,0,6,12,1,0,13,53,6,0,59,60,5,0,65,26,5,0,31,12,2,0,14,168,20,0,188
73,City,Mumbai,145,135,0,280,66,29,0,95,615,164,0,779,1212,226,0,1438,1342,214,0,1556,751,322,0,1073,4131,1090,0,5221
74,City,Nagpur,29,20,0,49,23,10,0,33,293,63,0,356,484,105,0,589,590,124,0,714,360,157,0,517,1779,479,0,2258
75,City,Nasik,4,2,0,6,17,1,0,18,59,16,0,75,147,26,0,173,212,43,0,255,207,79,0,286,646,167,0,813
76,City,Patna,10,3,0,13,104,12,0,116,34,12,0,46,29,13,0,42,6,8,0,14,3,0,0,3,186,48,0,234
77,City,Pune,74,77,0,151,24,13,0,37,251,66,0,317,574,103,0,677,695,145,0,840,395,182,0,577,2013,586,0,2599
78,City,Raipur,34,11,0,45,31,15,0,46,189,38,0,227,257,48,0,305,244,41,0,285,94,29,0,123,849,182,0,1031
79,City,Rajkot,5,2,0,7,51,15,0,66,268,120,0,388,221,128,0,349,287,68,0,355,74,23,0,97,906,356,0,1262
80,City,Ranchi,0,0,0,0,59,0,0,59,65,37,0,102,44,8,0,52,74,11,0,85,78,24,0,102,320,80,0,400
81,City,Srinagar,2,1,0,3,2,0,0,2,19,6,0,25,40,7,0,47,56,4,0,60,14,0,0,14,133,18,0,151
82,City,Surat,42,12,0,54,25,18,0,43,309,72,0,381,649,67,0,716,563,72,0,635,234,56,0,290,1822,297,0,2119
83,City,Thiruvananthapuram,1,5,0,6,7,4,0,11,29,7,0,36,126,29,0,155,185,41,0,226,156,79,0,235,504,165,0,669
84,City,Thrissur,11,3,0,14,2,1,0,3,48,6,0,54,122,18,0,140,218,44,0,262,214,111,0,325,615,183,0,798
85,City,Tiruchirappalli,7,3,0,10,10,0,0,10,21,3,0,24,26,3,0,29,33,7,0,40,28,5,0,33,125,21,0,146
86,City,Vadodara,8,2,0,10,15,0,0,15,109,16,0,125,171,29,0,200,113,24,0,137,95,15,0,110,511,86,0,597
87,City,Varanasi,0,0,0,0,6,2,0,8,64,9,0,73,76,11,0,87,74,15,0,89,20,8,0,28,240,45,0,285
88,City,Vasai Virar,32,33,0,65,13,7,0,20,126,51,0,177,270,68,0,338,227,35,1,263,88,36,0,124,756,230,1,987
89,City,Vijayawada,7,3,0,10,36,10,0,46,127,19,0,146,103,33,0,136,73,16,0,89,11,2,0,13,357,83,0,440
90,City,Vishakhapatnam,18,9,0,27,20,10,0,30,154,39,0,193,192,33,0,225,148,38,0,186,51,21,0,72,583,150,0,733
Total (Cities),Total (Cities),Total (Cities),975,646,0,1621,1280,455,0,1735,9034,2004,2,11040,12370,2329,5,14704,11411,2128,3,13542,5797,2073,0,7870,40867,9635,10,50512
