Si. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs. (Day),Road Accidents - 0900 hrs to 1200 hrs. (Day),Road Accidents - 1200 hrs to 1500 hrs. (Day),Road Accidents - 1500 hrs to 1800 hrs. (Day),Road Accidents - 1800 hrs to 2100 hrs. (Night),Road Accidents - 2100 hrs to 2400 hrs. (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs. (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs. (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs. (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs. (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs. (Night),Railway Crossing Accidents - 2100 hrs to 2400 hrs. (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs. (Day),Railway Accidents - 0900 hrs to 1200 hrs. (Day),Railway Accidents - 1200 hrs to 1500 hrs. (Day),Railway Accidents - 1500 hrs to 1800 hrs. (Day),Railway Accidents - 1800 hrs to 2100 hrs. (Night),Railway Accidents - 2100 hrs to 2400 hrs. (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs. (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs. (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs. (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs. (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs. (Night),Total (Traffic Accidents) - 2100 hrs to 2400 hrs. (Night),Total (Traffic Accidents) - Total
Total (UTs),Total (UTs),Total (UTs),669,630,1227,1656,1693,1773,1680,1225,10553,0,0,0,0,0,1,0,1,2,84,53,85,59,67,63,63,61,535,753,683,1312,1715,1760,1837,1743,1287,11090
Total (All India),Total (All India),Total (All India),18548,20683,38462,53310,54813,62927,70183,35870,354796,84,114,133,150,125,144,134,130,1014,1091,1268,2092,2155,1604,1672,1769,1367,13018,19723,22065,40687,55615,56542,64743,72086,37367,368828
38,City,Agra,6,8,26,24,32,39,45,36,216,1,2,3,3,1,1,3,2,16,0,0,0,0,0,0,0,0,0,7,10,29,27,33,40,48,38,232
39,City,Ahmedabad,165,237,195,172,192,159,34,31,1185,0,0,0,0,0,0,0,0,0,2,1,4,3,4,6,6,4,30,167,238,199,175,196,165,40,35,1215
40,City,Allahabad,31,32,31,23,29,24,25,26,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,31,23,29,24,25,26,221
41,City,Amritsar,4,3,9,10,10,21,28,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,10,10,21,28,15,100
42,City,Asansol,22,32,52,67,74,53,65,62,427,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,22,32,52,68,76,54,65,62,431
43,City,Aurangabad,26,15,46,64,61,64,74,22,372,0,0,0,0,0,0,0,0,0,1,1,1,3,5,6,3,2,22,27,16,47,67,66,70,77,24,394
44,City,Bengaluru,187,202,340,453,488,529,609,425,3233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,202,340,453,488,529,609,425,3233
45,City,Bhopal,47,19,120,180,186,354,369,315,1590,1,1,0,0,0,0,0,0,2,6,6,2,2,2,2,4,4,28,54,26,122,182,188,356,373,319,1620
46,City,Chandigarh (City),8,6,15,12,14,24,40,38,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,15,12,14,24,40,38,157
47,City,Chennai,595,180,541,738,858,494,561,422,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,180,541,738,858,494,561,422,4389
48,City,Coimbatore,15,27,106,121,94,101,157,86,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,106,121,94,101,157,86,707
49,City,Delhi (City),428,326,450,538,438,515,632,701,4028,0,0,0,0,0,1,0,1,2,84,53,81,59,64,62,62,61,526,512,379,531,597,502,578,694,763,4556
50,City,Dhanbad,14,13,14,33,9,10,63,8,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,14,33,9,10,63,8,164
51,City,Durg Bhilainagar,14,9,50,54,103,128,182,63,603,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0,14,19,13,55,54,103,128,182,63,617
52,City,Faridabad,24,33,55,62,56,79,117,98,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,55,62,56,79,117,98,524
53,City,Ghaziabad,8,6,17,26,21,26,29,21,154,0,0,0,0,0,0,0,0,0,3,2,4,3,4,2,1,2,21,11,8,21,29,25,28,30,23,175
54,City,Gwalior,38,50,82,156,202,186,203,96,1013,3,4,4,2,1,2,3,2,21,0,0,0,0,0,0,0,0,0,41,54,86,158,203,188,206,98,1034
