Sl. No.,Category,State/UT,Total Number of Accidental Deaths - Forces of Nature - Col. (3),Total Number of Accidental Deaths - Other Causes - Col. (4),Total Number of Accidental Deaths - Total - Col. (5),Percentage Share in Total Deaths - Col. (6),Projected Mid-Year Population* (in Lakh) - Col. (7),Rate of Accidental Deaths (Col.5/Col.7)
49,City,DURG BHILAINAGAR,0,835,835,1.3,10.6,78.8
50,City,FARIDABAD,10,1428,1438,2.3,14.1,102
51,City,GHAZIABAD,0,673,673,1.1,23.6,28.5
52,City,GWALIOR,2,281,283,0.4,11,25.7
53,City,HYDERABAD,1,774,775,1.2,77.5,10
54,City,INDORE,1,1304,1305,2.1,22,59.3
55,City,JABALPUR,7,737,744,1.2,12.7,58.6
56,City,JAIPUR,1,2516,2517,4,30.7,82
57,City,JAMSHEDPUR,12,391,403,0.6,13.4,30.1
58,City,JODHPUR,0,806,806,1.3,11.4,70.7
59,City,KANNUR,2,408,410,0.7,16.4,25
60,City,KANPUR,22,2176,2198,3.5,29.2,75.3
61,City,KOCHI,0,634,634,1,21.2,29.9
62,City,KOLKATA,0,295,295,0.5,141.1,2.1
63,City,KOLLAM,0,783,783,1.2,11.1,70.5
64,City,KOTA,0,484,484,0.8,10,48.4
65,City,KOZHIKODE,0,618,618,1,20.3,30.4
66,City,LUCKNOW,17,849,866,1.4,29,29.9
67,City,LUDHIANA,54,1262,1316,2.1,16.1,81.7
68,City,MADURAI,0,369,369,0.6,14.6,25.3
69,City,MALAPPURAM,1,329,330,0.5,17,19.4
70,City,MEERUT,5,211,216,0.3,14.3,15.1
71,City,MUMBAI,0,8510,8510,13.5,184.1,46.2
72,City,NAGPUR,2,2190,2192,3.5,25,87.7
73,City,NASIK,0,1108,1108,1.8,15.6,71
74,City,PATNA,22,251,273,0.4,20.5,13.3
75,City,PRAYAGRAJ +,0,883,883,1.4,12.2,72.4
76,City,PUNE,0,4821,4821,7.7,50.5,95.5
77,City,RAIPUR,0,1135,1135,1.8,11.2,101.3
78,City,RAJKOT,0,986,986,1.6,14,70.4
79,City,RANCHI,39,343,382,0.6,11.3,33.8
80,City,SRINAGAR,0,185,185,0.3,12.7,14.6
81,City,SURAT,0,2232,2232,3.5,45.9,48.6
82,City,THIRUVANANTHAPURAM,0,811,811,1.3,16.9,48
83,City,THRISSUR,0,818,818,1.3,18.6,44
84,City,TIRUCHIRAPPALLI,0,262,262,0.4,10.2,25.7
85,City,VADODARA,1,848,849,1.3,18.2,46.6
86,City,VARANASI,0,377,377,0.6,14.4,26.2
87,City,VASAI VIRAR,0,1138,1138,1.8,12.2,93.3
88,City,VIJAYAWADA,10,674,684,1.1,14.9,45.9
89,City,VISHAKHAPATNAM,3,888,891,1.4,17.3,51.5
Total (Cities),Total (Cities),TOTAL (CITIES),670,62325,62995,100,1607.2,39.2
