Si. No.,Category,State/UT/City,Road Accidents - Jan,Road Accidents - Feb,Road Accidents - Mar,Road Accidents - April,Road Accidents - May,Road Accidents - June,Road Accidents - July,Road Accidents - Aug,Road Accidents - Sept,Road Accidents - Oct,Road Accidents - Nov,Road Accidents - Dec,Road Accidents - Total,Railway Crossing Accidents - Jan,Railway Crossing Accidents - Feb,Railway Crossing Accidents - Mar,Railway Crossing Accidents - April,Railway Crossing Accidents - May,Railway Crossing Accidents - June,Railway Crossing Accidents - July,Railway Crossing Accidents - Aug,Railway Crossing Accidents - Sept,Railway Crossing Accidents - Oct,Railway Crossing Accidents - Nov,Railway Crossing Accidents - Dec,Railway Crossing Accidents - Total,Railway Accidents - Jan,Railway Accidents - Feb,Railway Accidents - Mar,Railway Accidents - April,Railway Accidents - May,Railway Accidents - June,Railway Accidents - July,Railway Accidents - Aug,Railway Accidents - Sept,Railway Accidents - Oct,Railway Accidents - Nov,Railway Accidents - Dec,Railway Accidents - Total,Total Traffic Accidents - Jan,Total Traffic Accidents - Feb,Total Traffic Accidents - Mar,Total Traffic Accidents - April,Total Traffic Accidents - May,Total Traffic Accidents - June,Total Traffic Accidents - July,Total Traffic Accidents - Aug,Total Traffic Accidents - Sept,Total Traffic Accidents - Oct,Total Traffic Accidents - Nov,Total Traffic Accidents - Dec,Total Traffic Accidents - Total
11,State,Karnataka,3774,3651,3026,804,2260,2660,2332,2797,2844,2996,3356,3678,34178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3774,3651,3026,804,2260,2660,2332,2797,2844,2996,3356,3678,34178
12,State,Kerala,3991,3776,2881,447,1368,2022,1755,1740,2005,2312,2595,2907,27799,20,21,13,1,1,3,4,5,1,4,8,8,89,20,20,19,3,0,2,4,5,7,11,8,11,110,4031,3817,2913,451,1369,2027,1763,1750,2013,2327,2611,2926,27998
13,State,Madhya Pradesh,4521,4335,3505,852,2100,3534,3497,3465,3561,4131,4599,4296,42396,16,16,11,10,16,10,9,10,12,17,9,8,144,127,134,86,22,58,48,63,46,51,71,62,52,820,4664,4485,3602,884,2174,3592,3569,3521,3624,4219,4670,4356,43360
14,State,Maharashtra,2540,2389,1945,584,1201,1516,1407,1635,1720,2139,2355,2780,22211,0,0,0,0,0,0,0,0,0,0,0,0,0,523,499,376,46,79,100,121,108,139,196,252,258,2697,3063,2888,2321,630,1280,1616,1528,1743,1859,2335,2607,3038,24908
15,State,Manipur,56,64,53,12,28,23,33,20,30,27,43,43,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,64,53,12,28,23,33,20,30,27,43,43,432
16,State,Meghalaya,28,22,16,3,12,14,11,8,16,16,25,34,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,16,3,12,14,11,8,16,16,25,34,205
17,State,Mizoram,7,6,3,2,2,1,4,2,3,2,5,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,2,2,1,4,2,3,2,5,10,47
18,State,Nagaland,3,0,5,1,3,3,1,1,1,0,5,4,27,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,3,3,1,3,1,0,6,4,30
19,State,Odisha,1056,956,801,265,583,757,725,736,844,934,971,1189,9817,0,0,0,0,0,0,0,0,0,0,2,0,2,23,19,27,24,24,23,22,27,23,22,20,25,279,1079,975,828,289,607,780,747,763,867,956,993,1214,10098
20,State,Punjab,491,507,415,146,318,357,437,401,443,554,599,505,5173,0,1,0,1,0,0,0,0,0,0,0,0,2,60,58,55,9,22,29,32,24,24,2,7,20,342,551,566,470,156,340,386,469,425,467,556,606,525,5517
21,State,Rajasthan,1945,2044,1646,369,941,1468,1667,1621,1671,1853,1982,1914,19121,0,0,0,0,0,0,0,0,0,0,0,0,0,72,57,46,15,17,24,32,40,35,32,21,38,429,2017,2101,1692,384,958,1492,1699,1661,1706,1885,2003,1952,19550
22,State,Sikkim,17,12,11,1,7,5,6,6,4,14,12,13,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,11,1,7,5,6,6,4,14,12,13,108
23,State,Tamil Nadu,4675,4407,3790,688,2373,2985,3323,4275,4577,4799,4828,4764,45484,0,0,0,0,0,0,0,0,0,0,0,0,0,198,163,141,21,31,42,36,37,58,59,67,106,959,4873,4570,3931,709,2404,3027,3359,4312,4635,4858,4895,4870,46443
24,State,Telangana,2005,2078,1595,454,1279,1349,1418,1461,1535,1694,2030,2274,19172,0,0,0,0,0,0,0,0,0,0,0,0,0,51,52,56,4,10,16,22,23,21,26,31,21,333,2056,2130,1651,458,1289,1365,1440,1484,1556,1720,2061,2295,19505
25,State,Tripura,58,56,50,8,24,35,28,30,39,40,40,58,466,2,1,1,0,2,2,1,4,2,2,2,4,23,1,0,0,0,0,0,0,0,0,0,0,1,2,61,57,51,8,26,37,29,34,41,42,42,63,491
26,State,Uttar Pradesh,3028,2938,2260,1039,1680,2092,2143,2366,2332,2612,3027,3136,28653,110,79,32,10,12,14,13,17,18,22,29,24,380,208,206,142,49,106,100,85,125,125,139,121,154,1560,3346,3223,2434,1098,1798,2206,2241,2508,2475,2773,3177,3314,30593
27,State,Uttarakhand,118,108,88,12,49,65,74,79,105,109,108,135,1050,1,1,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,1,5,120,112,88,12,49,65,74,79,105,109,108,137,1058
28,State,West Bengal,1214,1155,1028,257,408,740,830,844,952,1147,1152,1116,10843,13,11,13,2,6,4,5,2,5,5,6,11,83,251,202,166,29,48,97,94,74,112,104,153,175,1505,1478,1368,1207,288,462,841,929,920,1069,1256,1311,1302,12431
Total (States),Total (States),Total (States),37818,36827,29776,8079,18921,25594,25387,27471,29038,32630,35568,37134,344243,195,155,99,42,50,48,51,68,64,76,78,86,1012,2062,1907,1536,320,556,733,727,729,826,930,1006,1151,12483,40075,38889,31411,8441,19527,26375,26165,28268,29928,33636,36652,38371,357738
29,Union Territories,A & N Islands,27,21,12,0,14,10,12,3,11,10,8,13,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,12,0,14,10,12,3,11,10,8,13,141
30,Union Territories,Chandigarh,17,17,11,4,9,7,16,17,12,18,14,15,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,11,4,9,7,16,17,12,18,14,15,157
31,Union Territories,D & N Haveli and Daman & Diu,14,9,3,2,5,6,9,9,10,11,11,9,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,3,2,5,6,9,9,10,11,11,9,98
32,Union Territories,Delhi (UT),492,407,390,99,171,261,356,371,382,472,380,406,4187,0,0,0,0,0,0,0,0,0,1,1,0,2,74,87,73,12,23,34,40,34,41,45,39,24,526,566,494,463,111,194,295,396,405,423,518,420,430,4715
33,Union Territories,Jammu & Kashmir,361,440,356,147,321,386,408,465,468,536,520,453,4861,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,1,0,0,1,9,363,444,356,147,322,386,408,465,469,536,520,454,4870
34,Union Territories,Ladakh,5,5,7,2,6,11,20,15,16,30,20,2,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,2,6,11,20,15,16,30,20,2,139
35,Union Territories,Lakshadweep,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,Union Territories,Puducherry,132,133,98,17,35,63,66,65,92,86,86,96,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,133,98,17,35,63,66,65,92,86,86,96,969
