Si. No.,Category,State/UT,Road Accidents - 2018,Road Accidents - 2019,Road Accidents - % Var,Railway Accidents - 2018,Railway Accidents - 2019,Railway Accidents - % Var,Railway Crossing Accidents - 2018,Railway Crossing Accidents - 2019,Railway Crossing Accidents - % Var,Total Traffic Accidents - 2018,Total Traffic Accidents - 2019,Total Traffic Accidents - % Var,% Share
77,City,Pune,308,174,-43.5,29,15,-48.3,0,0,NA,337,189,-43.9,0.4
78,City,Raipur,1257,907,-27.8,42,31,-26.2,0,3,NA,1299,941,-27.6,1.9
79,City,Rajkot,575,432,-24.9,19,10,-47.4,0,0,NA,594,442,-25.6,0.9
80,City,Ranchi,354,247,-30.2,0,0,NA,0,0,NA,354,247,-30.2,0.5
81,City,Srinagar,310,276,-11,0,0,NA,0,0,NA,310,276,-11,0.6
82,City,Surat,865,575,-33.5,25,11,-56,0,0,NA,890,586,-34.2,1.2
83,City,Thiruvananthapuram,1704,1214,-28.8,0,0,NA,16,11,-31.3,1720,1225,-28.8,2.5
84,City,Thrissur,2210,1464,-33.8,36,8,-77.8,0,0,NA,2246,1472,-34.5,3
85,City,Tiruchirappalli,517,398,-23,0,0,NA,0,0,NA,517,398,-23,0.8
86,City,Vadodara,679,481,-29.2,16,8,-50,0,0,NA,695,489,-29.6,1
87,City,Varanasi,160,120,-25,20,20,0,0,0,NA,180,140,-22.2,0.3
88,City,Vasai Virar,335,274,-18.2,0,0,NA,0,0,NA,335,274,-18.2,0.6
89,City,Vijayawada,1499,991,-33.9,0,0,NA,0,0,NA,1499,991,-33.9,2
90,City,Vishakhapatnam,966,1144,18.4,6,0,-100,0,0,NA,972,1144,17.7,2.3
Total (Cities),Total (Cities),Total (Cities),67228,47829,-28.9,1568,999,-36.3,268,139,-48.1,69064,48967,-29.1,100
