Sl. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
37,City,Agra,6,11,13,28,30,23,42,33,186,0,0,8,0,0,2,5,2,17,0,0,0,0,0,0,0,0,0,6,11,21,28,30,25,47,35,203
38,City,Ahmedabad,121,96,128,244,272,263,274,219,1617,0,0,0,0,0,0,0,0,0,2,7,12,7,4,11,5,4,52,123,103,140,251,276,274,279,223,1669
39,City,Allahabad,99,95,136,98,106,113,138,93,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,95,136,98,106,113,138,93,878
40,City,Amritsar,9,4,16,17,19,16,25,17,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,16,17,19,16,25,17,123
41,City,Asansol,46,38,33,36,49,63,79,53,397,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,7,46,38,34,38,51,63,79,55,404
42,City,Aurangabad,2,1,6,4,77,10,94,403,597,0,0,0,0,0,0,0,0,0,0,2,8,3,8,4,7,6,38,2,3,14,7,85,14,101,409,635
43,City,Bengaluru,267,216,630,717,681,760,748,592,4611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,216,630,717,681,760,748,592,4611
44,City,Bhopal,211,119,212,468,368,452,453,392,2675,4,1,3,0,1,0,2,0,11,5,0,4,6,6,5,3,4,33,220,120,219,474,375,457,458,396,2719
45,City,Chandigarh (City),19,10,52,73,33,52,43,35,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,52,73,33,52,43,35,317
46,City,Chennai,782,362,993,1306,1553,1023,963,598,7580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,362,993,1306,1553,1023,963,598,7580
47,City,Coimbatore,32,45,169,188,146,185,208,163,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,45,169,188,146,185,208,163,1136
48,City,Delhi (City),689,587,652,661,644,723,955,857,5768,0,0,3,1,0,0,2,0,6,98,152,145,142,101,122,150,80,990,787,739,800,804,745,845,1107,937,6764
49,City,Dhanbad,22,24,47,24,17,17,31,5,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,47,24,17,17,31,5,187
50,City,Durg Bhilainagar,101,96,90,92,94,91,80,31,675,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,4,3,28,104,100,93,96,97,95,84,34,703
51,City,Faridabad,48,44,74,93,94,103,141,112,709,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,48,44,74,93,95,103,141,112,710
52,City,Ghaziabad,2,7,11,72,16,14,48,29,199,0,0,0,0,0,0,0,0,0,9,7,11,9,8,6,5,8,63,11,14,22,81,24,20,53,37,262
53,City,Gwalior,45,57,66,229,239,213,235,156,1240,0,0,0,0,0,0,0,0,0,2,3,5,2,4,4,3,3,26,47,60,71,231,243,217,238,159,1266
54,City,Hyderabad,192,140,336,450,419,476,453,380,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,140,336,450,419,476,453,380,2846
55,City,Indore,157,47,161,416,490,520,517,390,2698,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,3,1,14,157,47,164,419,492,522,520,391,2712
