Sl. No.,Category,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
61,City,Kanpur,1215,638,577,0,0,0,143,0,143,1358,638,720
62,City,Kochi,2503,2600,137,26,0,26,8,0,8,2537,2600,171
63,City,Kolkata,2567,2235,329,0,0,0,0,0,0,2567,2235,329
64,City,Kollam,1780,1763,213,0,0,0,24,0,24,1804,1763,237
65,City,Kota,481,471,93,0,0,0,0,0,0,481,471,93
66,City,Kozhikode,1467,1544,184,22,0,22,0,0,0,1489,1544,206
67,City,Lucknow,858,611,371,24,6,18,3,0,3,885,617,392
68,City,Ludhiana,563,316,351,0,0,0,0,0,0,563,316,351
69,City,Madurai,920,891,189,0,0,0,0,0,0,920,891,189
70,City,Malappuram,837,882,153,6,0,6,0,0,0,843,882,159
71,City,Meerut,547,408,217,0,0,0,4,0,4,551,408,221
72,City,Mumbai,755,258,590,0,0,0,0,0,0,755,258,590
73,City,Nagpur,1421,1230,301,69,0,69,0,0,0,1490,1230,370
74,City,Nasik,257,115,172,22,0,22,0,0,0,279,115,194
75,City,Patna,669,364,320,0,0,0,0,0,0,669,364,320
76,City,Pune,493,235,351,14,0,14,0,0,0,507,235,365
77,City,Raipur,1331,647,150,35,0,35,1,0,1,1367,647,186
78,City,Rajkot,617,494,161,14,0,14,0,0,0,631,494,175
79,City,Ranchi,337,243,230,0,0,0,0,0,0,337,243,230
80,City,Srinagar,363,345,60,0,0,0,0,0,0,363,345,60
81,City,Surat,757,704,240,18,0,18,0,0,0,775,704,258
82,City,Thiruvananthapuram,2040,2403,172,0,0,0,30,0,30,2070,2403,202
83,City,Thrissur,1384,1545,108,21,0,21,0,0,0,1405,1545,129
84,City,Tiruchirappalli,638,768,134,0,0,0,0,0,0,638,768,134
85,City,Vadodara,867,755,186,9,0,9,0,0,0,876,755,195
86,City,Varanasi,263,156,113,17,1,17,0,0,0,280,157,130
87,City,Vasai Virar,380,206,196,0,0,0,0,0,0,380,206,196
88,City,Vijayawada,1491,1525,349,1,0,1,0,0,0,1492,1525,350
89,City,Vishakhapatnam,1374,1294,296,2,0,2,0,0,0,1376,1294,298
City,City,Total (Cities),71580,62543,15247,1503,116,1389,251,2,249,73334,62661,16885
