S.No.,State/UT,Year,Total Accidental Deaths,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died,January,February,March,April,May,June,July,August,September,October,November,December,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night),National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died,Rural Area - School/College - Total,Rural Area - Residential - Total,Rural Area - Religious - Total,Rural Area - Recreation - Total,Rural Area - Factory - Total,Rural Area - Others - Total,Rural Area - Sub Total,Urban Area - School/College - Total,Urban Area - Residential - Total,Urban Area - Religious - Total,Urban Area - Recreation - Total,Urban Area - Factory - Total,Urban Area - Pedestrian Crossing - Total,Urban Area - Others - Total,Urban Area - Sub Total,Grand Total,Total Night Accidents,Total Day Accidents,Night %,Total Vehicle Deaths,Two Wheeler %,Peak Season,Climate Zone,Population (Lakhs),Deaths per Lakh
27,Punjab,2015,8471,730,478,1396,205,160,1393,531,482,504,540,544,562,546,549,524,520,675,644,612,379,475,820,842,896,1010,1446,834,1561,1430,0,1902,4893,289,911,220,117,236,1303,3076,208,468,79,74,191,126,671,1817,4893,3134,3568,46.8,4893,28.5,Monsoon,Hot & Dry,303.57,27.9
28,Rajasthan,2015,23134,2090,711,2558,652,154,2427,1918,1878,2023,2018,2125,2347,2117,1889,1803,1981,2020,2046,1825,1034,1178,2597,3886,3976,4480,4526,2395,3589,1909,360,4652,10510,185,1006,67,47,177,5882,7364,227,670,110,98,218,47,1776,3146,10510,9133,14939,37.9,10510,23.1,Monsoon,Hot & Dry,815.03,28.4
29,Sikkim,2015,183,28,0,36,0,0,4,7,25,21,22,18,19,21,17,16,16,12,9,15,6,7,20,29,26,43,43,37,12,26,0,37,75,2,8,0,0,0,44,54,2,8,1,0,0,0,10,21,75,93,118,44.1,75,5.3,Monsoon,Alpine/Cold,6.91,26.5
30,Tamil Nadu,2015,28624,2633,2071,3304,214,359,4887,2174,6056,5723,5848,5546,5944,5818,5519,5912,5956,5977,5406,5354,8267,10123,10629,11826,14121,7215,2744,4134,5479,5689,219,4255,15642,619,1179,470,176,448,6484,9376,322,679,209,251,340,1061,3404,6266,15642,25268,43791,36.6,15642,31.2,Monsoon,Tropical Wet & Dry,772.34,37.1
31,Telangana,2015,13225,1195,359,1114,328,587,2526,1001,1781,1704,1781,1840,2126,1754,1835,1616,1498,1752,1727,1838,1208,1487,2145,2919,3054,3741,4033,2665,2086,1641,0,3383,7110,349,639,155,384,223,1181,2931,275,827,317,331,412,1518,499,4179,7110,9393,11859,44.2,7110,35.5,Monsoon,Tropical Wet & Dry,384.67,34.4
32,Tripura,2015,399,31,6,32,0,7,33,49,47,42,57,44,51,51,53,53,64,62,59,64,9,10,54,123,142,138,116,55,50,64,0,44,158,5,31,2,0,3,44,85,3,19,3,0,4,10,34,73,158,190,457,29.4,158,20.9,Monsoon,Heavy Rainfall,40.99,9.7
33,Uttar Pradesh,2015,32636,5720,1767,3943,792,854,3915,1416,2646,2521,2438,2372,2508,2317,2047,2146,2064,2128,2286,2622,2285,3211,3997,3836,3717,3999,4253,2797,6624,4488,301,6994,18407,763,4818,292,139,341,5224,11577,449,2094,221,179,484,237,3166,6830,18407,12546,15549,44.7,18407,21.3,Monsoon,Tropical Wet & Dry,2352.88,13.9
34,Uttarakhand,2015,2134,231,105,217,77,13,127,143,116,129,119,109,139,123,103,114,123,160,144,144,69,82,196,278,223,321,221,133,464,221,0,228,913,21,43,34,29,23,316,466,16,135,28,22,26,20,200,447,913,505,1018,33.2,913,13.9,Monsoon,Alpine/Cold,115.18,18.5
35,West Bengal,2015,13601,2010,594,1225,92,208,1535,1041,1538,1361,1490,1415,1599,1593,1429,1336,1461,1545,1479,1460,985,1379,2000,3413,2748,2746,2525,1910,2124,1893,149,2539,6705,156,806,35,57,179,2931,4164,195,711,69,131,89,415,931,2541,6705,6799,10907,38.4,6705,22.9,Monsoon,Heavy Rainfall,1004.07,13.5
36,Andaman and Nicobar Islands,2016,241,2,2,0,0,2,11,0,19,15,23,24,25,13,19,26,19,15,21,19,8,9,29,34,49,52,40,17,5,2,0,10,17,0,1,1,0,0,7,9,1,2,1,0,0,0,4,8,17,74,164,31.1,17,64.7,Monsoon,Coastal/Humid,3.97,60.7
37,Andhra Pradesh,2016,17382,1246,493,1326,479,905,2442,1650,2033,1940,2106,2182,2011,1843,1843,2064,1813,1929,1892,2002,1375,1639,2583,3310,3434,4128,4571,2618,2931,2213,2,3395,8541,313,1130,309,163,204,3768,5887,239,465,136,193,116,349,1156,2654,8541,10203,13455,43.1,8541,28.6,Monsoon,Tropical Wet & Dry,495.63,35.1
