Sl. No.,State/UT/Cities,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area(Near Residential Area) - Male,Rural Area(Near Residential Area) - Female,Rural Area(Near Residential Area) - Transgender,Rural Area(Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/ Cinema Hall) - Male,Rural Area (Near Recreation Place/ Cinema Hall) - Female,Rural Area (Near Recreation Place/ Cinema Hall) - Transgender,Rural Area (Near Recreation Place/ Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
36,Puducherry,40,21,0,61,35,11,0,46,0,0,0,0,0,0,0,0,0,0,0,0,27,12,0,39,102,44,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,35,30,5,0,35,132,49,0,181
Total (UTs),Total (UTs),67,24,0,91,231,54,0,285,19,5,0,24,8,4,0,12,28,3,0,31,324,61,0,385,677,151,0,828,95,6,0,101,412,45,0,457,39,2,0,41,53,8,0,61,120,9,0,129,110,14,0,124,902,87,0,989,1731,171,0,1902,2408,322,0,2730
Total (All India),Total (All India),6197,1085,0,7282,26498,4264,0,30762,5179,1135,0,6314,4834,782,0,5616,4379,669,0,5048,48547,6536,2,55085,95634,14471,2,110107,4175,839,0,5014,14359,2490,1,16850,2781,622,0,3403,3785,676,1,4462,3908,638,1,4547,4930,966,0,5896,18132,2688,1,20821,52070,8919,4,60993,147704,23390,6,171100
37,Agra,20,3,0,23,59,7,0,66,1,0,0,1,0,0,0,0,17,2,0,19,354,32,0,386,451,44,0,495,15,1,0,16,51,8,0,59,1,0,0,1,0,0,0,0,5,1,0,6,4,0,0,4,101,16,0,117,177,26,0,203,628,70,0,698
38,Ahmedabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,78,23,0,101,1,0,0,1,4,0,0,4,51,8,0,59,155,39,0,194,120,7,0,127,411,77,0,488,411,77,0,488
39,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,17,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,18,0,56,58,24,0,82,58,24,0,82
40,Asansol,10,0,0,10,38,4,0,42,0,0,0,0,0,0,0,0,0,0,0,0,91,3,0,94,139,7,0,146,15,0,0,15,56,6,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,5,0,142,208,11,0,219,347,18,0,365
41,Aurangabad,0,0,0,0,22,6,0,28,0,0,0,0,0,0,0,0,30,6,0,36,0,0,0,0,52,12,0,64,4,0,0,4,90,18,0,108,2,0,0,2,0,0,0,0,7,0,0,7,15,4,0,19,0,0,0,0,118,22,0,140,170,34,0,204
42,Bengaluru,2,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,13,2,0,15,19,2,0,21,46,8,0,54,166,21,0,187,14,4,0,18,9,2,0,11,25,6,0,31,33,7,0,40,350,60,0,410,643,108,0,751,662,110,0,772
43,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,23,3,0,26,17,2,0,19,18,1,0,19,42,4,0,46,16,3,0,19,64,6,0,70,185,20,0,205,185,20,0,205
44,Chandigarh (City),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,5,0,0,5,1,1,0,2,0,0,0,0,7,3,0,10,7,1,0,8,45,9,0,54,68,15,0,83,68,15,0,83
45,Chennai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,0,38,33,6,0,39,3,0,0,3,48,7,1,56,24,4,0,28,10,5,0,15,268,60,0,328,413,93,1,507,413,93,1,507
46,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,42,71,9,0,80,2,0,0,2,15,4,0,19,98,15,1,114,3,0,0,3,11,1,0,12,236,35,1,272,236,35,1,272
47,Delhi (City),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2,0,65,292,31,0,323,31,0,0,31,48,8,0,56,101,4,0,105,83,9,0,92,695,45,0,740,1313,99,0,1412,1313,99,0,1412
48,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,14,15,2,0,17,9,0,0,9,7,0,0,7,51,8,0,59,3,0,0,3,5,0,0,5,103,11,0,114,103,11,0,114
49,Durg Bhilainagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,16,0,135,0,0,0,0,0,0,0,0,4,2,0,6,3,1,0,4,0,0,0,0,126,19,0,145,126,19,0,145
50,Faridabad,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,2,0,0,2,36,4,0,40,50,4,0,54,3,1,0,4,72,11,0,83,1,0,0,1,0,0,0,0,32,9,0,41,6,2,0,8,102,9,0,111,216,32,0,248,266,36,0,302
51,Ghaziabad,16,3,0,19,15,2,0,17,8,2,0,10,31,1,0,32,27,2,0,29,65,5,0,70,162,15,0,177,11,2,0,13,28,1,0,29,11,1,0,12,41,1,0,42,28,4,0,32,6,1,0,7,41,9,0,50,166,19,0,185,328,34,0,362
52,Gwalior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,50,7,0,57,8,5,0,13,4,2,0,6,0,0,0,0,63,6,0,69,0,0,0,0,129,22,0,151,129,22,0,151
53,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,15,21,11,0,32,0,0,0,0,0,0,0,0,12,3,0,15,82,21,0,103,151,7,0,158,276,47,0,323,276,47,0,323
54,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,18,20,2,0,22,0,0,0,0,0,0,0,0,5,2,0,7,0,0,0,0,215,20,0,235,256,26,0,282,256,26,0,282
55,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,24,17,21,0,38,15,11,0,26,2,3,0,5,9,17,0,26,0,0,0,0,27,21,0,48,83,84,0,167,83,84,0,167
56,Jaipur,3,1,0,4,24,3,0,27,1,0,0,1,0,0,0,0,10,2,0,12,287,26,0,313,325,32,0,357,11,0,0,11,74,15,0,89,6,0,0,6,0,0,0,0,31,6,0,37,35,7,0,42,194,29,0,223,351,57,0,408,676,89,0,765
57,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,13,13,4,0,17,9,2,0,11,7,2,0,9,10,2,0,12,1,2,0,3,2,1,0,3,52,16,0,68,52,16,0,68
58,Jodhpur,18,0,0,18,36,5,0,41,4,0,0,4,4,2,0,6,32,4,0,36,29,1,0,30,123,12,0,135,26,3,0,29,34,2,0,36,7,2,0,9,3,1,0,4,20,2,0,22,9,1,0,10,21,1,0,22,120,12,0,132,243,24,0,267
59,Kannur,9,4,0,13,31,9,0,40,14,4,0,18,0,0,0,0,14,0,0,14,26,2,0,28,94,19,0,113,1,0,0,1,5,1,0,6,0,1,0,1,1,0,0,1,15,2,0,17,3,1,0,4,4,2,0,6,29,7,0,36,123,26,0,149
60,Kanpur,63,10,0,73,35,8,0,43,39,14,0,53,20,4,0,24,50,11,0,61,22,2,0,24,229,49,0,278,56,4,0,60,64,2,0,66,45,2,0,47,26,4,0,30,78,2,0,80,44,1,0,45,33,1,0,34,346,16,0,362,575,65,0,640
61,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,38,27,2,0,29,34,3,0,37,31,4,0,35,15,2,0,17,0,0,0,0,0,0,0,0,142,14,0,156,142,14,0,156
62,Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,140,24,0,164,6,8,0,14,2,5,0,7,3,2,0,5,12,2,0,14,5,2,0,7,171,46,0,217,171,46,0,217
63,Kollam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,10,118,26,0,144,10,2,0,12,4,1,0,5,21,4,0,25,4,1,0,5,12,1,0,13,177,37,0,214,177,37,0,214
