Sl. No.,State/UT/Cities,Truck/Lorry/Mini Truck - Injured,Truck/Lorry/Mini Truck - Died,Bus - Injured,Bus - Died,SUV / Car / Jeep / etc. - Injured,SUV / Car / Jeep / etc. - Died,Tractor - Injured,Tractor - Died,Three Wheeler/Auto Rickshaw - Injured,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Injured,Two Wheeler - Died,Other Motor Vehicles - Injured,Other Motor Vehicles - Died,Bicycle - Injured,Bicycle - Died,Hand Drawn Vehicle/Cycle Rickshaw - Injured,Hand Drawn Vehicle/Cycle Rickshaw - Died,Animal Drawn Vehicle - Injured,Animal Drawn Vehicle - Died,Others - Injured,Others - Died,Pedestrian - Injured,Pedestrian - Died,Grand Total - Injured,Grand Total - Died
24,Telangana,839,397,473,98,2722,588,336,221,1788,334,10400,3977,213,184,158,69,160,53,0,0,183,180,2937,1458,20209,7559
25,Tripura,45,21,20,2,94,18,0,0,50,14,172,92,28,2,13,9,0,0,0,0,3,2,116,81,541,241
26,Uttar Pradesh,3061,4109,1576,1744,4263,4337,1012,1015,1561,1658,7756,8305,689,1055,522,537,125,92,122,76,486,492,523,689,21696,24109
27,Uttarakhand,109,73,233,58,300,259,12,10,64,23,590,421,160,120,18,11,0,0,0,0,4,1,123,66,1613,1042
28,West Bengal,1366,1184,954,329,1328,946,176,125,381,211,2632,1754,525,458,207,98,91,34,0,1,151,475,313,173,8124,5788
Total (States),Total (States),25090,14843,20805,5070,68900,23447,6123,3921,24420,7604,194258,76857,7688,4675,6214,3371,616,354,374,257,5795,3455,47598,24516,407881,168370
29,Andaman and Nicobar Islands,4,0,10,7,52,5,0,0,13,0,57,6,0,1,0,0,0,0,0,0,0,0,0,0,136,19
30,Chandigarh,0,0,1,1,12,0,0,0,13,5,120,40,11,2,15,12,0,0,0,0,0,0,31,23,203,83
31,Dadra and Nagar Haveli and Daman and Diu,3,1,73,1,29,7,0,0,15,3,103,42,0,0,5,5,0,0,0,0,1,3,28,18,257,80
32,Delhi,172,89,114,36,1066,316,12,3,294,73,2078,631,187,89,153,41,23,19,9,7,250,59,355,98,4713,1461
33,Jammu and Kashmir,742,110,967,76,3227,254,126,30,241,13,1861,210,532,54,3,4,0,1,0,0,77,17,574,69,8350,838
34,Ladakh,76,9,36,13,180,38,0,0,0,0,20,3,0,0,0,0,0,0,0,0,21,3,0,0,333,66
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2
36,Puducherry,65,35,49,7,135,19,17,2,23,3,780,85,0,0,36,2,0,0,0,0,75,10,102,18,1282,181
Total (UTs),Total (UTs),1062,244,1250,141,4701,639,155,35,599,97,5022,1019,730,146,212,64,23,20,9,7,424,92,1090,226,15277,2730
Total (All India),Total (All India),26152,15087,22055,5211,73601,24086,6278,3956,25019,7701,199280,77876,8418,4821,6426,3435,639,374,383,264,6219,3547,48688,24742,423158,171100
37,Agra,12,158,2,36,26,80,5,25,0,57,34,230,10,63,0,4,0,0,0,2,2,19,0,24,91,698
38,Ahmedabad,3,3,22,2,57,13,0,0,96,32,693,216,0,0,44,23,9,5,0,0,0,0,381,194,1305,488
39,Amritsar,0,0,0,0,2,1,0,0,0,18,54,33,0,0,0,2,0,0,0,0,0,6,6,22,62,82
40,Asansol,0,0,5,4,52,61,0,0,3,4,160,196,6,7,27,31,0,0,0,0,39,46,16,16,308,365
41,Aurangabad,29,33,7,7,51,18,4,4,20,7,176,76,3,3,2,2,0,0,0,0,0,1,60,53,352,204
42,Bengaluru,31,7,82,6,297,51,16,0,126,17,1728,416,3,1,38,8,0,0,0,0,46,19,822,247,3189,772
43,Bhopal,2,3,3,1,113,5,0,0,2,0,1537,107,0,0,0,0,0,0,0,0,2,5,492,84,2151,205
44,Chandigarh (City),0,0,1,1,12,0,0,0,13,5,120,40,11,2,15,12,0,0,0,0,0,0,31,23,203,83
45,Chennai,21,1,23,2,157,13,0,0,227,19,2274,268,0,1,116,16,0,0,0,0,0,0,906,187,3724,507
46,Coimbatore,5,3,7,6,38,8,0,0,13,5,613,164,0,0,19,5,1,0,0,0,0,0,243,81,939,272
